,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,maven_id,maven_url,dependent_project_count,github_dependent_project_count,new_addition,trending,labels
20,scalacheck,typelevel/scalacheck,test,https://github.com/typelevel/scalacheck,https://github.com/typelevel/scalacheck,BSD-3-Clause,2011-05-26 11:44:12,2023-04-06 16:16:00,2023-04-06 14:34:22,1936.0,21.0,374.0,58.0,619.0,47.0,286.0,1862.0,2022-09-15 23:24:43,1.17.0,10.0,Property-based testing for Scala.,135.0,22,True,1.0,,,,,,,,,
21,refined,fthomas/refined,toolkits,https://github.com/fthomas/refined,https://github.com/fthomas/refined,MIT,2015-05-10 16:23:16,2023-03-30 17:06:38,2023-03-30 17:06:38,3020.0,69.0,147.0,29.0,964.0,58.0,147.0,1607.0,2023-03-22 07:06:48,0.10.3,67.0,Refinement types for Scala.,75.0,22,True,2.0,,,,,,,,,
22,finch,finagle/finch,http,https://github.com/finagle/finch,https://github.com/finagle/finch,Apache-2.0,2014-04-15 12:17:44,2023-03-30 19:14:18,2023-03-30 19:14:17,2241.0,33.0,221.0,62.0,1188.0,38.0,367.0,1591.0,2022-09-16 18:19:38,0.34.0,61.0,Scala combinator library for building Finagle HTTP services.,127.0,22,True,2.0,,,,,,,,,
23,Binding.scala,ThoughtWorksInc/Binding.scala,web-frameworks,https://github.com/ThoughtWorksInc/Binding.scala,https://github.com/ThoughtWorksInc/Binding.scala,MIT,2016-01-06 15:28:52,2023-03-28 20:17:45,2023-03-09 15:38:49,1563.0,89.0,103.0,118.0,391.0,39.0,62.0,1572.0,2023-01-26 04:19:51,12.2.0,82.0,Reactive data-binding for Scala.,25.0,22,True,2.0,,,,,,,,,
24,skunk,tpolecat/skunk,db-clients,https://github.com/tpolecat/skunk,https://github.com/tpolecat/skunk,MIT,2018-09-21 06:46:41,2023-04-03 10:30:28,2023-03-28 14:55:15,1439.0,111.0,130.0,31.0,720.0,63.0,54.0,1437.0,2023-01-20 00:56:55,0.5.1,23.0,A data access library for Scala + Postgres.,60.0,22,True,1.0,,,,,,,,,
25,spark-testing-base,holdenk/spark-testing-base,test,https://github.com/holdenk/spark-testing-base,https://github.com/holdenk/spark-testing-base,Apache-2.0,2015-01-30 22:23:59,2023-02-28 15:48:10,2023-02-09 06:46:45,735.0,14.0,347.0,81.0,172.0,85.0,118.0,1423.0,2022-06-29 04:10:24,1.1.2,3.0,Base classes to use when writing tests with Spark.,59.0,22,True,1.0,,,,,30.0,30.0,,,
26,scalikejdbc,scalikejdbc/scalikejdbc,db-clients,https://github.com/scalikejdbc/scalikejdbc,https://github.com/scalikejdbc/scalikejdbc,Apache-2.0,2011-11-18 06:56:36,2023-04-03 23:30:29,2023-04-03 23:30:29,3166.0,36.0,221.0,61.0,1448.0,27.0,448.0,1238.0,2021-10-31 01:07:09,4.0.0,46.0,A tidy SQL-based DB access library for Scala developers. This library naturally wraps JDBC APIs and provides you easy-..,104.0,22,True,1.0,,,org.scalikejdbc:scalikejdbc_2.13,https://search.maven.org/artifact/org.scalikejdbc/scalikejdbc_2.13,,,,,
27,slick-pg,tminglei/slick-pg,db-clients,https://github.com/tminglei/slick-pg,https://github.com/tminglei/slick-pg,BSD-2-Clause,2013-05-09 15:57:40,2023-04-06 02:27:28,2023-04-06 02:27:28,1135.0,36.0,171.0,22.0,256.0,107.0,267.0,819.0,2022-12-08 23:15:05,0.21.1,88.0,Slick extensions for PostgreSQL.,91.0,22,True,1.0,,,,,,,,,
28,airframe,wvlet/airframe,di,https://github.com/wvlet/airframe,https://github.com/wvlet/airframe,Apache-2.0,2016-08-14 07:00:12,2023-04-06 16:45:55,2023-04-06 16:41:57,3822.0,128.0,59.0,21.0,2298.0,93.0,426.0,593.0,2023-04-06 16:43:08,23.4.0,80.0,Essential Building Blocks for Scala.,43.0,22,True,1.0,,,,,,,,,
29,izumi,7mind/izumi,di,https://github.com/7mind/izumi,https://github.com/7mind/izumi,BSD-2-Clause,2017-11-03 10:39:42,2023-04-06 17:04:34,2023-04-06 17:04:33,4255.0,174.0,55.0,22.0,1431.0,53.0,381.0,560.0,2023-03-29 12:07:54,1.1.0-M19,66.0,Productivity-oriented collection of lightweight fancy stuff for Scala toolchain.,30.0,22,True,1.0,,,,,,,,-1.0,
30,scalaxb,eed3si9n/scalaxb,http,https://github.com/eed3si9n/scalaxb,https://github.com/eed3si9n/scalaxb,MIT,2010-02-05 05:50:50,2023-03-27 15:24:26,2023-03-12 07:51:00,1279.0,19.0,150.0,23.0,171.0,151.0,280.0,328.0,2023-02-26 19:01:37,1.11.0,19.0,scalaxb is an XML data binding tool for Scala.,67.0,22,True,2.0,,,,,,,,,
31,util,twitter/util,toolkits,https://github.com/twitter/util,https://github.com/twitter/util,Apache-2.0,2011-03-26 01:23:21,2023-03-20 11:16:13,2023-02-23 02:17:48,3116.0,2.0,555.0,228.0,195.0,4.0,111.0,2611.0,2022-12-26 14:38:56,util-22.12.0,81.0,Wonderful reusable code from Twitter.,316.0,21,True,2.0,,,,,,,,,
32,scalajs-react,japgolly/scalajs-react,web-frameworks,https://github.com/japgolly/scalajs-react,https://github.com/japgolly/scalajs-react,Apache-2.0,2014-07-03 09:58:42,2023-03-06 08:50:32,2022-06-24 03:27:25,3190.0,,228.0,67.0,552.0,23.0,507.0,1613.0,2022-04-26 04:07:04,2.1.1,65.0,Facebooks React on Scala.JS.,80.0,21,True,2.0,,,,,,,,,
33,framework,lift/framework,web-frameworks,https://github.com/lift/framework,https://github.com/lift/framework,Apache-2.0,2011-01-26 13:25:28,2022-06-14 16:43:52,2021-10-08 15:18:07,3930.0,,270.0,106.0,530.0,143.0,1323.0,1264.0,2021-10-08 15:12:09,3.5.0-release,52.0,Lift Framework.,118.0,21,True,2.0,,,,,,,,,
34,udash-core,UdashFramework/udash-core,web-frameworks,https://github.com/UdashFramework/udash-core,https://github.com/UdashFramework/udash-core,Apache-2.0,2016-02-25 09:35:23,2023-03-31 10:27:39,2023-03-28 15:07:18,3249.0,79.0,35.0,21.0,976.0,27.0,86.0,435.0,2023-03-20 16:09:29,0.9.0,16.0,Scala framework for building beautiful and maintainable web applications.,36.0,21,True,2.0,,,,,,,,,
35,mima,lightbend/mima,sbt,https://github.com/lightbend/mima,https://github.com/lightbend/mima,Apache-2.0,2012-05-24 14:08:57,2023-03-31 08:33:54,2023-03-31 08:33:53,1442.0,27.0,62.0,22.0,534.0,25.0,185.0,428.0,2023-03-29 14:01:18,1.1.2,31.0,A tool for catching binary incompatibility in Scala.,47.0,21,True,1.0,,,,,,,,,
36,scanamo,scanamo/scanamo,db-clients,https://github.com/scanamo/scanamo,https://github.com/scanamo/scanamo,Apache-2.0,2016-02-01 10:58:52,2023-04-01 20:43:01,2023-03-06 20:42:43,2048.0,10.0,118.0,37.0,1440.0,45.0,151.0,316.0,2022-11-02 11:53:51,1.0.0-M23,12.0,Simpler DynamoDB access for Scala.,78.0,21,True,2.0,,,,,,,,,
37,scalaz,scalaz/scalaz,toolkits,https://github.com/scalaz/scalaz,https://github.com/scalaz/scalaz,,2010-01-16 06:18:51,2023-04-03 18:15:00,2023-04-03 18:14:58,7232.0,30.0,688.0,213.0,1953.0,126.0,421.0,4610.0,,,,Principled Functional Programming in Scala.,247.0,20,False,2.0,,,,,,,,,
38,sbt-assembly,sbt/sbt-assembly,sbt,https://github.com/sbt/sbt-assembly,https://github.com/sbt/sbt-assembly,MIT,2011-06-10 05:30:27,2023-02-12 06:13:17,2023-02-12 05:50:29,618.0,2.0,215.0,57.0,155.0,98.0,242.0,1894.0,2023-02-12 06:44:54,2.1.1,16.0,Deploy ber-JARs. Restart processes. (port of codahale/assembly-sbt).,78.0,20,True,1.0,,,,,,,,,
39,json4s,json4s/json4s,json,https://github.com/json4s/json4s,https://github.com/json4s/json4s,Apache-2.0,2012-08-23 23:18:46,2023-03-31 12:41:14,2023-03-31 06:30:06,1717.0,26.0,323.0,65.0,869.0,145.0,252.0,1444.0,,,,JSON library.,126.0,20,True,1.0,,,,,,,,,
40,scalatest,scalatest/scalatest,test,https://github.com/scalatest/scalatest,https://github.com/scalatest/scalatest,Apache-2.0,2013-04-07 21:55:49,2023-03-31 15:49:58,2022-12-29 04:21:04,6342.0,,320.0,56.0,1482.0,424.0,325.0,1095.0,2023-01-06 09:17:43,release-3.2.15,37.0,A testing tool for Scala and Java developers.,59.0,20,True,2.0,,,,,,,,,
41,phantom,outworkers/phantom,db-clients,https://github.com/outworkers/phantom,https://github.com/outworkers/phantom,Apache-2.0,2013-11-19 00:08:32,2023-04-05 09:14:46,2021-08-16 22:07:29,1120.0,,182.0,75.0,512.0,19.0,403.0,1046.0,2020-08-10 21:50:24,2.59.0,53.0,"Schema safe, type-safe, reactive Scala driver for Cassandra/Datastax Enterprise.",51.0,20,False,2.0,,,,,,,,,
42,spray-json,spray/spray-json,json,https://github.com/spray/spray-json,https://github.com/spray/spray-json,Apache-2.0,2011-05-06 21:31:38,2022-09-15 12:08:33,2021-12-09 19:21:31,331.0,,187.0,37.0,154.0,82.0,116.0,971.0,2020-11-11 13:05:44,1.3.6,3.0,"A lightweight, clean and simple JSON implementation in Scala.",48.0,20,True,1.0,,,io.spray:spray-json_2.13,https://search.maven.org/artifact/io.spray/spray-json_2.13,143.0,143.0,,,
43,chimney,scalalandio/chimney,toolkits,https://github.com/scalalandio/chimney,https://github.com/scalalandio/chimney,Apache-2.0,2017-05-23 11:24:09,2023-03-29 13:54:46,2023-03-22 13:00:18,403.0,47.0,69.0,21.0,159.0,36.0,97.0,959.0,2023-03-22 17:43:55,0.7.2,13.0,"Scala library for boilerplate-free, type-safe data transformations.",24.0,20,True,2.0,,,,,,,,,
44,scrimage,sksamuel/scrimage,media,https://github.com/sksamuel/scrimage,https://github.com/sksamuel/scrimage,Apache-2.0,2013-06-03 16:40:25,2023-03-26 00:15:09,2023-03-26 00:10:23,1282.0,9.0,129.0,46.0,80.0,4.0,181.0,946.0,2023-03-26 00:17:29,4.0.34,23.0,"Java, Scala and Kotlin image processing library.",53.0,20,True,1.0,,,,,,,,,
45,ReactiveMongo,ReactiveMongo/ReactiveMongo,db-clients,https://github.com/ReactiveMongo/ReactiveMongo,https://github.com/ReactiveMongo/ReactiveMongo,Apache-2.0,2012-07-20 14:24:46,2023-04-02 14:44:50,2023-04-02 14:44:50,1318.0,14.0,224.0,56.0,828.0,14.0,363.0,838.0,2020-01-03 02:08:23,0.20.0,1.0,"Non-blocking, Reactive MongoDB Driver for Scala.",87.0,20,True,2.0,,,,,,,,,
46,jsoniter-scala,plokhotnyuk/jsoniter-scala,json,https://github.com/plokhotnyuk/jsoniter-scala,https://github.com/plokhotnyuk/jsoniter-scala,MIT,2017-09-26 14:47:09,2023-04-06 15:37:31,2023-04-06 15:36:36,4239.0,148.0,75.0,20.0,741.0,50.0,219.0,639.0,2023-03-28 09:59:49,2.22.1,100.0,Scala macros for compile-time generation of safe and ultra-fast JSON codecs.,18.0,20,True,1.0,,,,,1.0,1.0,,,
47,sbt-scoverage,scoverage/sbt-scoverage,sbt,https://github.com/scoverage/sbt-scoverage,https://github.com/scoverage/sbt-scoverage,Apache-2.0,2014-05-16 00:58:21,2023-03-29 05:27:27,2023-03-29 05:27:27,728.0,6.0,149.0,29.0,230.0,35.0,218.0,620.0,2023-02-10 11:14:07,2.0.7,35.0,sbt plugin for scoverage.,71.0,20,True,1.0,,,,,,,,,
48,endpoints4s,endpoints4s/endpoints4s,http,https://github.com/endpoints4s/endpoints4s,https://github.com/endpoints4s/endpoints4s,MIT,2016-04-25 12:48:00,2023-03-24 15:02:23,2023-03-15 20:51:28,1514.0,26.0,89.0,13.0,957.0,27.0,165.0,395.0,2022-11-25 09:05:24,1.9.0,28.0,"Describe HTTP endpoints in Scala and derive clients, servers, and documentation.",59.0,20,True,2.0,,,,,,,,,
49,zio-json,zio/zio-json,json,https://github.com/zio/zio-json,https://github.com/zio/zio-json,Apache-2.0,2020-07-03 16:46:04,2023-04-05 02:55:46,2023-03-31 06:17:32,533.0,47.0,108.0,23.0,784.0,60.0,79.0,376.0,2023-03-18 14:43:34,0.5.0,29.0,"Fast, secure JSON library with tight ZIO integration.",52.0,20,True,1.0,,,,,,,,,['zio']
50,sbt-microsites,47degrees/sbt-microsites,sbt,https://github.com/47degrees/sbt-microsites,https://github.com/47degrees/sbt-microsites,Apache-2.0,2016-09-05 23:33:02,2023-03-29 05:23:18,2023-03-29 05:23:16,1227.0,14.0,62.0,47.0,607.0,18.0,121.0,314.0,2023-03-28 17:15:43,1.4.3,78.0,An sbt plugin to create awesome microsites for your project.,71.0,20,True,1.0,,,,,,,,,
51,better-files,pathikrit/better-files,toolkits,https://github.com/pathikrit/better-files,https://github.com/pathikrit/better-files,MIT,2015-09-12 03:48:31,2023-03-30 20:49:32,2023-02-17 17:30:13,1085.0,93.0,142.0,37.0,391.0,34.0,176.0,1453.0,,,,"Simple, safe and intuitive Scala I/O.",60.0,19,True,2.0,,,,,,,,,
52,macwire,softwaremill/macwire,di,https://github.com/softwaremill/macwire,https://github.com/softwaremill/macwire,Apache-2.0,2013-03-17 13:20:04,2023-02-22 00:23:02,2023-02-22 00:22:31,713.0,10.0,69.0,63.0,158.0,52.0,69.0,1216.0,2022-08-23 07:40:39,2.5.8,16.0,Lightweight and Nonintrusive Scala Dependency Injection Library.,40.0,19,True,2.0,,,,,,,,,
53,colossus,tumblr/colossus,web-frameworks,https://github.com/tumblr/colossus,https://github.com/tumblr/colossus,Apache-2.0,2014-11-11 16:06:06,2021-08-14 08:40:07,2018-11-08 17:52:05,1325.0,,96.0,77.0,411.0,3.0,270.0,1149.0,2018-01-24 17:31:20,0.11.0,32.0,I/O and Microservice library for Scala.,28.0,19,False,2.0,,,,,,,,,
54,skinny-framework,skinny-framework/skinny-framework,web-frameworks,https://github.com/skinny-framework/skinny-framework,https://github.com/skinny-framework/skinny-framework,MIT,2013-09-24 07:39:24,2022-12-14 08:22:49,2022-12-14 08:22:22,1996.0,,69.0,46.0,287.0,20.0,134.0,737.0,2022-12-14 08:24:58,4.0.1,100.0,Scala on Rails - A full-stack web app framework for rapid development in Scala.,32.0,19,True,2.0,11842.0,111.0,,,,,,,
55,specs2,etorreborre/specs2,test,https://github.com/etorreborre/specs2,https://github.com/etorreborre/specs2,,2010-09-03 01:55:10,2023-03-31 08:02:50,2023-03-31 08:02:50,4661.0,22.0,202.0,29.0,494.0,2.0,638.0,731.0,2023-01-28 13:59:06,SPECS2-4.19.2,60.0,Software Specifications for Scala.,88.0,19,False,2.0,,,,,,,,,
56,scribe,outr/scribe,toolkits,https://github.com/outr/scribe,https://github.com/outr/scribe,MIT,2016-01-26 15:49:14,2023-04-05 00:54:55,2023-03-29 19:13:26,1194.0,77.0,35.0,8.0,280.0,16.0,127.0,449.0,2023-02-22 17:32:15,3.11.1,34.0,The fastest logging library in the world. Built from scratch in Scala and programmatically configurable.,17.0,19,True,2.0,,,,,,,,,
57,mdoc,scalameta/mdoc,sbt,https://github.com/scalameta/mdoc,https://github.com/scalameta/mdoc,Apache-2.0,2017-10-23 07:00:47,2023-04-01 17:56:30,2023-03-20 00:45:53,1233.0,36.0,68.0,11.0,571.0,46.0,143.0,361.0,2023-02-07 19:04:02,2.3.7,64.0,Typechecked markdown documentation for Scala.,43.0,19,True,2.0,,,,,,,,,
58,play-json,playframework/play-json,json,https://github.com/playframework/play-json,https://github.com/playframework/play-json,Apache-2.0,2016-12-06 03:45:35,2023-04-01 21:03:24,2023-04-01 21:03:24,1154.0,40.0,127.0,20.0,753.0,37.0,74.0,343.0,2023-01-24 07:38:59,2.9.4,12.0,The Play JSON library.,62.0,19,True,2.0,,,,,,,,,['play']
59,diffson,gnieh/diffson,json,https://github.com/gnieh/diffson,https://github.com/gnieh/diffson,Apache-2.0,2013-08-30 15:50:35,2023-04-01 11:30:54,2023-04-01 11:30:37,468.0,45.0,47.0,12.0,291.0,5.0,43.0,295.0,2023-03-03 08:34:40,4.4.0,14.0,A scala diff/patch library for Json.,31.0,19,True,2.0,,,,,,,,,
60,Dsl.scala,ThoughtWorksInc/Dsl.scala,toolkits,https://github.com/ThoughtWorksInc/Dsl.scala,https://github.com/ThoughtWorksInc/Dsl.scala,Apache-2.0,2017-10-14 01:21:02,2023-03-28 20:18:28,2023-01-28 04:04:28,1750.0,63.0,29.0,29.0,636.0,6.0,18.0,255.0,2023-01-26 02:47:03,2.0.0,17.0,A framework to create embedded Domain-Specific Languages in Scala.,5.0,19,True,2.0,,,,,,,,,
61,cornichon,agourlay/cornichon,test,https://github.com/agourlay/cornichon,https://github.com/agourlay/cornichon,Apache-2.0,2015-07-27 09:14:49,2023-03-30 13:01:15,2023-03-30 13:01:15,3120.0,65.0,28.0,12.0,603.0,24.0,129.0,222.0,2023-03-17 08:47:06,0.20.7,72.0,Scala DSL for testing HTTP JSON API.,18.0,19,True,2.0,,,,,,,,,
62,stryker4s,stryker-mutator/stryker4s,test,https://github.com/stryker-mutator/stryker4s,https://github.com/stryker-mutator/stryker4s,Apache-2.0,2018-06-20 14:14:40,2023-03-31 00:08:13,2023-03-31 00:08:12,1208.0,48.0,28.0,6.0,1170.0,31.0,120.0,175.0,2022-01-03 16:34:16,0.14.3,38.0,Mutation testing for Scala.,29.0,19,True,2.0,,,,,,,,,
63,scalatra,scalatra/scalatra,web-frameworks,https://github.com/scalatra/scalatra,https://github.com/scalatra/scalatra,,2009-05-31 09:20:32,2023-03-30 22:47:22,2023-03-30 22:47:22,3908.0,21.0,322.0,84.0,1073.0,62.0,367.0,2586.0,,,,"Tiny Scala high-performance, async web framework, inspired by Sinatra.",134.0,18,False,3.0,,,,,,,,,
64,quill,zio/zio-quill,db-clients,https://github.com/zio/zio-quill,https://github.com/zio/zio-quill,Apache-2.0,2015-07-20 22:15:04,2023-03-24 15:35:00,2023-01-22 17:15:20,3340.0,1.0,335.0,69.0,1706.0,305.0,705.0,2112.0,,,,Compile-time Language Integrated Queries for Scala.,134.0,18,True,2.0,,,,,,,,,['zio']
65,quicklens,softwaremill/quicklens,toolkits,https://github.com/softwaremill/quicklens,https://github.com/softwaremill/quicklens,Apache-2.0,2015-02-28 12:32:34,2023-03-29 00:14:11,2023-03-29 00:13:35,391.0,14.0,46.0,46.0,111.0,20.0,22.0,759.0,2022-09-11 18:53:11,1.9.0,21.0,Modify deeply nested case class fields.,24.0,18,True,2.0,,,,,,,,,
