,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id,trending
65,framework,lift/framework,web-frameworks,https://github.com/lift/framework,https://github.com/lift/framework,Apache-2.0,2011-01-26 13:25:28,2024-11-21 03:39:28,2024-11-18 01:50:31,3936.0,,278.0,103.0,540.0,135.0,1351.0,1271,2021-10-08 15:12:09,3.5.0-release,,,53.0,Lift Framework.,,,120.0,21,True,2,,,,,,,
66,chimney,scalalandio/chimney,toolkits,https://github.com/scalalandio/chimney,https://github.com/scalalandio/chimney,Apache-2.0,2017-05-23 11:24:09,2025-05-27 10:40:17,2025-05-25 06:56:38,1552.0,38.0,104.0,19.0,507.0,12.0,208.0,1217,2025-05-27 10:40:17,1.8.1,,,46.0,"Scala library for boilerplate-free, type-safe data transformations.",,,45.0,21,True,2,"['scala3', 'scalajs']",,,,,,
67,scalatest,scalatest/scalatest,test,https://github.com/scalatest/scalatest,https://github.com/scalatest/scalatest,Apache-2.0,2013-04-07 21:55:49,2025-05-03 00:52:39,2025-05-03 00:52:39,7456.0,19.0,337.0,53.0,1584.0,525.0,343.0,1160,2024-06-26 00:41:22,release-3.2.19,,,41.0,A testing tool for Scala and Java developers.,,,67.0,21,True,2,"['scala3', 'scalajs']",,,,,,
68,scrimage,sksamuel/scrimage,media,https://github.com/sksamuel/scrimage,https://github.com/sksamuel/scrimage,Apache-2.0,2013-06-03 16:40:25,2025-04-18 05:17:45,2025-04-18 05:17:20,1327.0,4.0,139.0,43.0,96.0,4.0,201.0,1122,2025-04-18 05:16:41,4.3.1,,,37.0,"JVM - Java, Kotlin, Scala image processing library.",,,58.0,21,True,1,,,,,,,
69,jsoniter-scala,plokhotnyuk/jsoniter-scala,json,https://github.com/plokhotnyuk/jsoniter-scala,https://github.com/plokhotnyuk/jsoniter-scala,MIT,2017-09-26 14:47:09,2025-05-26 08:31:02,2025-05-26 08:31:02,5203.0,123.0,106.0,20.0,926.0,91.0,274.0,779,2025-05-23 10:17:04,2.36.2,,,100.0,Scala macros for compile-time generation of safe and ultra-fast JSON codecs + circe booster.,1.0,1.0,28.0,21,True,2,"['scala3', 'scalajs']",,,,,,
70,bootzooka,softwaremill/bootzooka,others,https://github.com/softwaremill/bootzooka,https://github.com/softwaremill/bootzooka,Apache-2.0,2012-10-19 07:54:05,2025-05-29 00:05:13,2025-05-29 00:05:11,3872.0,66.0,152.0,58.0,1375.0,12.0,108.0,765,2022-07-27 13:33:11,1.0.4,,,4.0,"Simple project to quickly start developing a Scala-based microservice or web application, without the need to write..",,,73.0,21,True,1,,,,,,,
71,avro4s,sksamuel/avro4s,data,https://github.com/sksamuel/avro4s,https://github.com/sksamuel/avro4s,Apache-2.0,2015-09-16 14:50:22,2025-04-25 18:30:48,2025-04-25 18:30:48,1580.0,4.0,238.0,24.0,482.0,27.0,366.0,723,2024-12-02 02:18:02,5.0.14,,,8.0,Avro schema generation and serialization / deserialization for Scala.,,,109.0,21,True,1,['scala3'],,,,,,
72,airframe,wvlet/airframe,di,https://github.com/wvlet/airframe,https://github.com/wvlet/airframe,Apache-2.0,2016-08-14 07:00:12,2025-05-28 12:08:00,2025-05-28 08:13:43,4753.0,57.0,69.0,18.0,3275.0,114.0,541.0,643,2025-05-28 06:37:53,2025.1.11,,,100.0,Essential Building Blocks for Scala.,,,55.0,21,True,1,"['scala3', 'scalajs']",,,,,,
73,scalaxb,eed3si9n/scalaxb,http,https://github.com/eed3si9n/scalaxb,https://github.com/eed3si9n/scalaxb,MIT,2010-02-05 05:50:50,2025-03-14 03:30:17,2025-03-14 03:30:14,1385.0,4.0,159.0,22.0,240.0,161.0,289.0,341,2025-02-06 04:40:32,1.12.2,,,23.0,scalaxb is an XML data binding tool for Scala.,,,70.0,21,True,2,,,,,,,
74,scalaz,scalaz/scalaz,toolkits,https://github.com/scalaz/scalaz,https://github.com/scalaz/scalaz,,2010-01-16 06:18:51,2025-05-26 21:38:27,2025-05-26 21:37:36,7412.0,13.0,702.0,205.0,2328.0,158.0,424.0,4671,,,,,,Principled Functional Programming in Scala.,,,248.0,20,False,2,"['scala3', 'scalajs']",,,,,,
