,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,updated_github_id
0,gitbucket,gitbucket/gitbucket,development-cycle,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2025-08-12 23:06:10,2025-08-09 03:01:30,6166.0,60.0,1253.0,448.0,2013.0,348.0,1490.0,9284,2025-06-29 04:32:51,4.43.0,471181.0,3490.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",21.0,21.0,199.0,34,True,1,,,,,,,
1,playframework,playframework/playframework,web-frameworks,https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2025-08-12 08:03:47,2025-07-22 07:18:57,14286.0,127.0,4087.0,618.0,9365.0,485.0,3394.0,12581,2025-07-01 23:14:05,3.0.8,372.0,3.0,100.0,The Community Maintained High Velocity Web Framework For Java and Scala.,87.0,21.0,988.0,33,True,1,com.typesafe.play:play_3,"['scala3', 'scalajs']",https://search.maven.org/artifact/com.typesafe.play/play_3,2025-06-30 22:10:05,66.0,,
2,sbt,sbt/sbt,development-cycle,https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2025-08-11 17:17:11,2025-08-11 17:17:10,17237.0,110.0,948.0,165.0,3584.0,811.0,3629.0,4857,2025-08-04 10:25:03,1.11.4,28195799.0,397123.0,100.0,"sbt, the interactive build tool.",,,493.0,33,True,1,,['scala3'],,,,,
3,zio,zio/zio,toolkits,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2025-08-14 17:10:24,2025-08-14 06:25:49,8379.0,145.0,1366.0,109.0,7334.0,146.0,2595.0,4255,2025-07-21 06:06:47,2.1.20,,,104.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",1305.0,,748.0,33,True,1,dev.zio:zio_2.13,"['scala3', 'scalajs']",https://search.maven.org/artifact/dev.zio/zio_2.13,2025-07-21 06:06:47,1305.0,,
4,spark,apache/spark,bigdata,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2025-08-14 18:25:43,2025-08-14 18:25:39,45275.0,857.0,28732.0,2020.0,51985.0,218.0,,41658,,,,,,Apache Spark - A unified analytics engine for large-scale data processing.,,,3282.0,29,True,1,,,,,,1.0,
5,kafka,apache/kafka,distributed,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2025-08-14 12:35:21,2025-08-14 12:35:21,16185.0,437.0,14553.0,1054.0,20350.0,258.0,,30675,,,,,,Mirror of Apache Kafka.,25.0,25.0,1579.0,29,True,1,,,,,,,
6,flink,apache/flink,bigdata,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2025-08-14 08:14:41,2025-08-14 08:14:41,37041.0,241.0,13739.0,930.0,26890.0,184.0,,25143,,,,,,Apache Flink.,21.0,21.0,2039.0,29,True,1,,,,,,,
7,akka,akka/akka,distributed,https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2025-08-14 15:44:14,2025-08-14 11:52:23,27267.0,41.0,3589.0,567.0,12074.0,898.0,7200.0,13203,2025-07-27 14:43:08,2.10.8,,,72.0,"A platform to build and run apps that are elastic, agile, and resilient. SDK, libraries, and hosted environments.",21.0,21.0,1061.0,29,False,1,,['scala3'],,,,,
8,spark-nlp,johnsnowlabs/spark-nlp,sci,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44,2025-08-14 08:47:01,2025-08-05 12:15:44,8916.0,100.0,729.0,100.0,13515.0,22.0,886.0,4026,2025-08-05 12:24:48,6.1.1,,,100.0,State of the Art Natural Language Processing.,612.0,612.0,116.0,29,True,1,,,,,,,
9,circe,circe/circe,json,https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2025-07-14 11:08:11,2025-07-14 11:05:04,3302.0,15.0,544.0,62.0,1823.0,118.0,455.0,2519,2025-06-13 23:54:16,0.14.14,,,77.0,Yet another JSON library for Scala.,946.0,,296.0,29,True,1,io.circe:circe-core_2.13,"['scala3', 'scalajs']",https://search.maven.org/artifact/io.circe/circe-core_2.13,2025-06-13 23:54:16,946.0,,
