,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,maven_id,maven_url,trending,dependent_project_count,github_dependent_project_count,updated_github_id,labels
133,chronoscala,chronoscala/chronoscala,toolkits,https://github.com/chronoscala/chronoscala,https://github.com/chronoscala/chronoscala,MIT,2016-07-11 17:30:46,2023-06-17 11:12:46,2023-06-17 11:12:42,414.0,16.0,7.0,48.0,190.0,2.0,13.0,67.0,2022-10-06 06:21:17,2.0.8,9.0,A JSR-310 port of nscala_time.,10.0,14,True,3.0,,,,,,,,,
134,scala-csv,tototoshi/scala-csv,csv-yaml,https://github.com/tototoshi/scala-csv,https://github.com/tototoshi/scala-csv,,2012-03-08 17:02:19,2023-05-18 10:59:53,2023-05-18 10:59:48,462.0,7.0,136.0,27.0,194.0,22.0,63.0,675.0,,,,CSV Reader/Writer for Scala.,34.0,13,False,2.0,,,,,,,,,
135,tut,tpolecat/tut,sbt,https://github.com/tpolecat/tut,https://github.com/tpolecat/tut,MIT,2013-10-25 21:41:48,2021-04-12 21:20:42,2021-04-12 21:20:42,454.0,,60.0,19.0,150.0,63.0,52.0,585.0,,,,doc/tutorial generator for scala.,38.0,13,False,3.0,,,,,,,,,
136,splain,tek/splain,sbt,https://github.com/tek/splain,https://github.com/tek/splain,MIT,2016-12-18 00:02:41,2023-06-18 17:23:23,2023-06-10 19:39:20,343.0,3.0,28.0,11.0,46.0,9.0,43.0,368.0,2022-10-11 22:35:33,Release/1.0.1-2.13.10,16.0,better implicit errors for scala.,18.0,13,True,3.0,122.0,1.0,,,,,,,
137,scala-clippy,softwaremill/scala-clippy,sbt,https://github.com/softwaremill/scala-clippy,https://github.com/softwaremill/scala-clippy,Apache-2.0,2015-12-19 20:13:21,2019-03-14 17:25:51,2019-03-14 11:17:52,260.0,,19.0,20.0,29.0,14.0,22.0,315.0,2019-03-14 17:25:51,0.6.1,20.0,Good advice for Scala compiler errors.,8.0,13,False,3.0,,,,,,,,,
138,scalaprops,scalaprops/scalaprops,test,https://github.com/scalaprops/scalaprops,https://github.com/scalaprops/scalaprops,MIT,2015-05-05 03:19:11,2023-06-22 09:49:34,2023-06-12 23:57:45,1181.0,22.0,19.0,14.0,334.0,7.0,12.0,274.0,,,,property based testing library for Scala.,12.0,13,True,3.0,,,,,,,,,
139,borer,sirthias/borer,json,https://github.com/sirthias/borer,https://github.com/sirthias/borer,MPL-2.0,2019-03-04 21:32:46,2023-06-10 23:13:26,2023-06-09 14:42:40,976.0,14.0,12.0,9.0,532.0,7.0,105.0,193.0,,,,Efficient CBOR and JSON (de)serialization in Scala.,8.0,13,True,3.0,,,,,,,,,
140,scredis,Livestream/scredis,db-clients,https://github.com/Livestream/scredis,https://github.com/Livestream/scredis,Apache-2.0,2013-02-27 16:13:18,2018-06-21 20:42:37,2018-06-21 20:42:37,147.0,,14.0,34.0,8.0,1.0,51.0,154.0,2014-12-16 16:04:30,2.0.6,24.0,"Non-blocking, ultra-fast Scala Redis client built on top of Akka IO, used in production at Livestream.",7.0,13,False,3.0,,,,,,,,,
141,scruid,ing-bank/scruid,db-clients,https://github.com/ing-bank/scruid,https://github.com/ing-bank/scruid,Apache-2.0,2017-07-04 07:59:24,2021-07-04 10:22:44,2021-06-07 15:35:59,252.0,,27.0,16.0,77.0,6.0,31.0,114.0,2021-06-07 15:35:10,2.5.0,15.0,"Scala + Druid: Scruid. A library that allows you to compose queries in Scala, and parse the result back into typesafe..",19.0,13,False,3.0,,,,,,,,,
142,clickhouse-scala-client,crobox/clickhouse-scala-client,db-clients,https://github.com/crobox/clickhouse-scala-client,https://github.com/crobox/clickhouse-scala-client,LGPL-3.0,2017-03-31 13:40:12,2023-05-01 08:13:28,2023-05-01 08:13:21,868.0,27.0,19.0,8.0,112.0,13.0,20.0,107.0,2023-05-01 08:16:31,1.0.17,47.0,Clickhouse Scala Client with Reactive Streams support.,16.0,13,True,3.0,,,,,,,,,
