,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,updated_github_id
10,spark,apache/spark,,bigdata,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2024-08-22 16:20:52,2024-08-22 16:20:48,41958.0,841.0,28166.0,2025.0,47818.0,240.0,,39173,,,,Apache Spark - A unified analytics engine for large-scale data processing.,,,3108.0,28,,,,True,1,,,,
11,bigdl,intel-analytics/bigdl,,sci,,https://github.com/intel-analytics/ipex-llm,https://github.com/intel-analytics/ipex-llm,Apache-2.0,2016-08-29 07:59:50,2024-08-22 18:29:26,2024-08-22 12:34:53,3336.0,478.0,1192.0,246.0,9391.0,937.0,1565.0,6419,2024-08-22 09:06:57,2.1.0,19.0,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, Baichuan, Mixtral, Gemma, Phi, MiniCPM,..",,,108.0,28,,,,True,1,617.0,7.0,1.0,intel-analytics/ipex-llm
12,gatling,gatling/gatling,,test,,https://github.com/gatling/gatling,https://github.com/gatling/gatling,Apache-2.0,2011-05-31 12:40:25,2024-08-21 21:07:11,2024-08-21 21:06:27,10711.0,116.0,1180.0,233.0,838.0,43.0,3696.0,6375,,,,Modern Load Testing as Code.,23.0,23.0,239.0,28,,,,True,1,,,,
13,smile,haifengl/smile,,sci,['scala3'],https://github.com/haifengl/smile,https://github.com/haifengl/smile,,2014-11-20 16:28:12,2024-08-21 16:17:24,2024-08-21 16:17:20,4019.0,342.0,1124.0,269.0,175.0,9.0,602.0,5999,2024-05-22 14:55:38,3.1.1,28.0,Statistical Machine Intelligence & Learning Engine.,21.0,21.0,72.0,28,,,,False,1,11565.0,114.0,,
14,spark-nlp,johnsnowlabs/spark-nlp,,sci,,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44,2024-08-22 18:29:58,2024-07-30 17:09:06,8566.0,40.0,706.0,98.0,13290.0,49.0,847.0,3792,2024-07-14 19:18:29,5.4.1,100.0,State of the Art Natural Language Processing.,489.0,489.0,113.0,28,,,,True,1,,,-1.0,
15,finagle,twitter/finagle,,distributed,,https://github.com/twitter/finagle,https://github.com/twitter/finagle,Apache-2.0,2010-10-19 22:10:09,2024-06-27 15:17:30,2024-06-27 15:17:29,8161.0,2.0,1446.0,558.0,548.0,58.0,357.0,8766,2024-05-07 19:46:22,finagle-24.5.0,84.0,"A fault tolerant, protocol-agnostic RPC system.",21.0,21.0,528.0,27,,,,True,2,,,,
16,cats,typelevel/cats,,toolkits,"['scala3', 'scalajs']",https://github.com/typelevel/cats,https://github.com/typelevel/cats,,2015-01-28 20:26:48,2024-08-21 17:34:31,2024-08-21 14:39:10,6882.0,56.0,1193.0,189.0,3410.0,246.0,993.0,5222,2024-05-28 15:37:17,2.12.0,66.0,"Lightweight, modular, and extensible library for functional programming.",20.0,20.0,558.0,27,,,,False,1,,,,
17,ammonite,com-lihaoyi/ammonite,,toolkits,['scala3'],https://github.com/com-lihaoyi/Ammonite,https://github.com/com-lihaoyi/Ammonite,MIT,2015-01-13 07:34:38,2024-08-17 13:24:56,2024-07-24 08:08:49,2823.0,11.0,367.0,66.0,710.0,144.0,692.0,2600,2024-05-13 14:41:45,3.0.0-M2,100.0,Scala Scripting.,,,146.0,27,,,,True,1,936458.0,10763.0,,
18,scio,spotify/scio,,bigdata,,https://github.com/spotify/scio,https://github.com/spotify/scio,Apache-2.0,2015-03-26 19:07:34,2024-08-22 07:35:18,2024-08-21 08:09:30,5365.0,70.0,514.0,118.0,4186.0,128.0,1157.0,2551,2024-08-21 10:17:44,0.14.7,100.0,A Scala API for Apache Beam and Google Cloud Dataflow.,,,237.0,27,,,,True,2,11719.0,139.0,,
19,http4s,http4s/http4s,,http,"['scala3', 'scalajs']",https://github.com/http4s/http4s,https://github.com/http4s/http4s,Apache-2.0,2012-03-12 04:41:20,2024-08-21 20:19:57,2024-08-17 05:57:51,17597.0,99.0,789.0,71.0,5950.0,323.0,1157.0,2535,2024-05-03 17:34:45,0.23.27,100.0,"A minimal, idiomatic Scala interface for HTTP.",,,470.0,27,,,,True,1,,,,
20,metals,scalameta/metals,,development-cycle,['scala3'],https://github.com/scalameta/metals,https://github.com/scalameta/metals,Apache-2.0,2017-11-03 14:18:53,2024-08-22 07:43:59,2024-08-22 07:28:29,8813.0,220.0,319.0,47.0,4513.0,252.0,1691.0,2064,2024-08-02 13:04:48,1.3.5,65.0,Scala language server with rich IDE features.,,,195.0,27,,,,True,2,30.0,0.0,,
21,tapir,softwaremill/tapir,,http,"['scala3', 'scalajs']",https://github.com/softwaremill/tapir,https://github.com/softwaremill/tapir,Apache-2.0,2018-12-09 16:43:49,2024-08-21 12:54:56,2024-08-21 12:54:55,9073.0,193.0,405.0,45.0,3116.0,154.0,724.0,1335,2024-08-07 17:58:11,1.11.1,100.0,Rapid development of self-documenting APIs.,,,303.0,27,,,,True,1,,,,
22,scalameta,scalameta/scalameta,,toolkits,['scalajs'],https://github.com/scalameta/scalameta,https://github.com/scalameta/scalameta,BSD-3-Clause,2014-06-16 23:00:32,2024-08-21 19:20:45,2024-08-21 19:20:45,8656.0,244.0,224.0,39.0,2682.0,142.0,1081.0,1106,2024-07-25 09:38:28,4.9.9,100.0,"Library to read, analyze, transform and generate Scala programs.",3.0,3.0,123.0,27,,,,True,1,,,,
23,shapeless,milessabin/shapeless,,toolkits,"['scala3', 'scalajs']",https://github.com/milessabin/shapeless,https://github.com/milessabin/shapeless,Apache-2.0,2011-12-18 13:36:38,2024-08-21 17:40:08,2024-08-21 17:40:08,2727.0,8.0,530.0,104.0,959.0,33.0,383.0,3376,2024-05-18 09:37:07,2.3.12,9.0,Generic programming for Scala.,129.0,129.0,154.0,26,,,,True,2,,,,
24,elastic4s,sksamuel/elastic4s,com.sksamuel.elastic4s:elastic4s_2.13,db-clients,['scala3'],https://github.com/Philippus/elastic4s,https://github.com/Philippus/elastic4s,Apache-2.0,2013-06-10 20:23:57,2024-08-22 15:24:35,2024-08-22 15:14:35,4903.0,68.0,682.0,76.0,1973.0,12.0,1155.0,1636,2024-08-09 15:28:43,8.14.1,51.0,"Elasticsearch Scala Client - Reactive, Non Blocking, Type Safe, HTTP Client.",,,411.0,26,https://search.maven.org/artifact/com.sksamuel.elastic4s/elastic4s_2.13,,,True,1,,,,Philippus/elastic4s
25,scalapb,scalapb/scalapb,,data,"['scala3', 'scalajs']",https://github.com/scalapb/ScalaPB,https://github.com/scalapb/ScalaPB,Apache-2.0,2014-10-02 01:11:41,2024-08-21 20:21:14,2024-08-21 20:21:14,2535.0,20.0,278.0,44.0,1138.0,26.0,567.0,1293,2024-06-04 02:54:01,0.11.17,100.0,Protocol buffer compiler for Scala.,,,126.0,26,,,,True,1,503251.0,5411.0,,
26,bloop,scalacenter/bloop,,development-cycle,['scalajs'],https://github.com/scalacenter/bloop,https://github.com/scalacenter/bloop,Apache-2.0,2017-11-11 09:39:34,2024-08-20 12:07:59,2024-08-20 12:04:59,5527.0,137.0,203.0,26.0,1655.0,95.0,635.0,893,2024-08-15 10:41:29,2.0.0,66.0,"Bloop is a build server and CLI tool to compile, test and run Scala fast from any editor or build tool.",,,148.0,26,,,,True,2,193494.0,2449.0,,
27,scala-cli,VirtusLab/scala-cli,,development-cycle,['scala3'],https://github.com/VirtusLab/scala-cli,https://github.com/VirtusLab/scala-cli,Apache-2.0,2021-05-10 12:29:24,2024-08-22 10:55:52,2024-08-22 10:55:51,4231.0,147.0,126.0,22.0,2140.0,258.0,661.0,539,2024-08-06 11:58:49,1.4.3,56.0,"Scala CLI is a command-line tool to interact with the Scala language. It lets you compile, run, test, and package your..",,,87.0,26,,,,True,2,1173289.0,32591.0,,
28,slick,slick/slick,,db-clients,['scala3'],https://github.com/slick/slick,https://github.com/slick/slick,BSD-2-Clause,2009-02-20 22:51:53,2024-08-21 20:13:25,2024-08-21 18:37:59,3460.0,56.0,608.0,144.0,1571.0,420.0,950.0,2649,2024-04-14 20:00:39,3.5.1,21.0,Slick (Scala Language Integrated Connection Kit) is a modern database query and access library for Scala.,,,204.0,25,,,,True,1,,,,
29,sttp,softwaremill/sttp,,http,"['scala3', 'scalajs']",https://github.com/softwaremill/sttp,https://github.com/softwaremill/sttp,Apache-2.0,2017-06-30 15:15:07,2024-08-22 00:37:18,2024-08-22 00:37:16,5749.0,65.0,301.0,41.0,1819.0,58.0,390.0,1439,2024-08-07 16:14:49,4.0.0-M17,100.0,The Scala HTTP client you always wanted!.,,,216.0,25,,,,True,2,,,,
30,scalikejdbc,scalikejdbc/scalikejdbc,org.scalikejdbc:scalikejdbc_2.13,db-clients,['scala3'],https://github.com/scalikejdbc/scalikejdbc,https://github.com/scalikejdbc/scalikejdbc,Apache-2.0,2011-11-18 06:56:36,2024-08-21 05:51:39,2024-08-21 05:51:39,3367.0,27.0,229.0,60.0,1811.0,30.0,455.0,1261,2024-07-18 07:33:18,4.3.1,51.0,A tidy SQL-based DB access library for Scala developers. This library naturally wraps JDBC APIs and provides you easy-..,27.0,,111.0,25,https://search.maven.org/artifact/org.scalikejdbc/scalikejdbc_2.13,2024-07-18 07:14:24,27.0,True,1,,,,
31,tinylog,tinylog-org/tinylog,,logging,,https://github.com/tinylog-org/tinylog,https://github.com/tinylog-org/tinylog,Apache-2.0,2012-09-13 11:21:42,2024-08-17 01:22:45,2024-05-02 14:37:53,1248.0,,83.0,12.0,516.0,35.0,219.0,687,2024-01-31 20:36:31,2.7.0,83.0,"tinylog is a lightweight logging framework for Java, Kotlin, Scala, and Android.",1522.0,1522.0,23.0,25,,,,True,1,45905.0,392.0,,
32,Snowplow,snowplow/snowplow,,sci,,https://github.com/snowplow/snowplow,https://github.com/snowplow/snowplow,Apache-2.0,2012-03-01 13:02:21,2024-05-31 14:19:17,2024-05-31 14:19:17,6748.0,1.0,1212.0,268.0,491.0,57.0,3906.0,6804,2022-01-31 21:28:26,22.01,85.0,The leader in Next-Generation Customer Data Infrastructure.,21.0,21.0,102.0,24,,,,True,2,6716.0,50.0,,
33,scala-js,scala-js/scala-js,,scala-js,['scalajs'],https://github.com/scala-js/scala-js,https://github.com/scala-js/scala-js,Apache-2.0,2013-02-18 16:33:55,2024-08-20 12:47:20,2024-08-11 11:03:38,7305.0,21.0,383.0,146.0,2758.0,41.0,2193.0,4570,2024-03-19 10:40:51,1.16.0,26.0,"Scala.js, the Scala to JavaScript compiler.",,,105.0,24,,,,True,1,,,,
34,fs2,typelevel/fs2,,reactive,"['scala3', 'scalajs']",https://github.com/typelevel/fs2,https://github.com/typelevel/fs2,,2013-03-06 17:34:15,2024-08-19 21:03:07,2024-08-05 11:57:50,9707.0,52.0,597.0,89.0,2703.0,102.0,667.0,2350,2024-05-16 17:15:25,2.5.12,100.0,"Compositional, streaming I/O library for Scala.",,,319.0,24,,,,False,1,,,,
35,doobie,tpolecat/doobie,,db-clients,['scala3'],https://github.com/tpolecat/doobie,https://github.com/tpolecat/doobie,MIT,2013-11-25 07:25:20,2024-08-21 22:03:03,2024-08-21 22:03:03,3624.0,72.0,349.0,68.0,1524.0,150.0,419.0,2148,2023-11-19 20:22:28,1.0.0-RC5,19.0,Functional JDBC layer for Scala.,,,174.0,24,,,,True,1,,,,
36,sangria,sangria-graphql/sangria,,others,['scala3'],https://github.com/sangria-graphql/sangria,https://github.com/sangria-graphql/sangria,Apache-2.0,2015-07-05 21:29:30,2024-08-17 11:10:30,2024-08-17 11:06:38,2202.0,49.0,221.0,63.0,666.0,61.0,404.0,1962,2024-07-10 09:15:15,4.1.1,85.0,Scala GraphQL implementation.,,,65.0,24,,,,True,1,,,,
37,sbt-native-packager,sbt/sbt-native-packager,,sbt,,https://github.com/sbt/sbt-native-packager,https://github.com/sbt/sbt-native-packager,BSD-2-Clause,2011-12-20 02:04:49,2024-08-17 16:26:53,2024-08-17 11:04:19,1727.0,15.0,439.0,52.0,811.0,143.0,665.0,1592,2024-07-30 20:41:20,1.10.4,100.0,sbt Native Packager.,,,273.0,24,,,,True,1,,,,
38,eclair,acinq/eclair,,others,,https://github.com/ACINQ/eclair,https://github.com/ACINQ/eclair,Apache-2.0,2015-08-19 11:47:01,2024-08-21 12:41:06,2024-08-01 06:51:42,2631.0,20.0,254.0,92.0,2064.0,43.0,687.0,1226,2024-02-29 09:24:36,0.10.0,38.0,A scala implementation of the Lightning Network.,,,50.0,24,,,,True,1,45711.0,513.0,,
39,argonaut,argonaut-io/argonaut,io.argonaut:argonaut_2.13,json,"['scala3', 'scalajs']",https://github.com/argonaut-io/argonaut,https://github.com/argonaut-io/argonaut,BSD-3-Clause,2012-12-09 12:11:48,2024-08-21 07:21:29,2024-08-21 07:21:29,1711.0,24.0,112.0,25.0,720.0,30.0,168.0,546,2024-06-01 22:47:08,6.3.10,17.0,Purely functional JSON parser and library in scala.,44.0,,59.0,24,https://search.maven.org/artifact/io.argonaut/argonaut_2.13,2024-06-01 22:47:08,44.0,True,1,,,,
40,zeppelin,apache/zeppelin,,sci,,https://github.com/apache/zeppelin,https://github.com/apache/zeppelin,Apache-2.0,2015-03-25 07:00:06,2024-08-21 12:02:58,2024-08-20 01:58:34,5372.0,17.0,2796.0,317.0,4798.0,162.0,,6350,,,,"Web-based notebook that enables data-driven, interactive data analytics and collaborative documents with SQL, Scala..",21.0,21.0,544.0,23,,,,True,2,,,,
41,quill,zio/zio-quill,,db-clients,"['zio', 'scala3', 'scalajs']",https://github.com/zio/zio-quill,https://github.com/zio/zio-quill,Apache-2.0,2015-07-20 22:15:04,2024-08-22 00:12:59,2024-08-12 16:29:08,3577.0,20.0,344.0,63.0,2036.0,296.0,763.0,2146,2024-05-07 14:35:25,4.8.4,10.0,Compile-time Language Integrated Queries for Scala.,,,147.0,23,,,,True,1,,,,
42,scalacheck,typelevel/scalacheck,,test,"['scala3', 'scalajs']",https://github.com/typelevel/scalacheck,https://github.com/typelevel/scalacheck,BSD-3-Clause,2011-05-26 11:44:12,2024-08-19 21:56:36,2024-08-19 21:56:36,2153.0,19.0,406.0,58.0,724.0,67.0,289.0,1938,2024-04-17 11:54:16,1.18.0,12.0,Property-based testing for Scala.,,,140.0,23,,,,True,1,,,,
43,refined,fthomas/refined,,toolkits,"['scala3', 'scalajs']",https://github.com/fthomas/refined,https://github.com/fthomas/refined,MIT,2015-05-10 16:23:16,2024-08-19 15:36:14,2024-08-19 15:36:14,3257.0,26.0,155.0,25.0,1077.0,72.0,149.0,1698,2024-06-01 16:33:31,0.11.2,70.0,Refinement types for Scala.,,,78.0,23,,,,True,2,,,,
44,scalatest,scalatest/scalatest,,test,"['scala3', 'scalajs']",https://github.com/scalatest/scalatest,https://github.com/scalatest/scalatest,Apache-2.0,2013-04-07 21:55:49,2024-08-19 07:20:49,2024-06-10 12:59:32,7336.0,75.0,333.0,54.0,1556.0,520.0,339.0,1147,2024-06-26 00:41:22,release-3.2.19,41.0,A testing tool for Scala and Java developers.,,,65.0,23,,,,True,1,,,,
45,chimney,scalalandio/chimney,,toolkits,"['scala3', 'scalajs']",https://github.com/scalalandio/chimney,https://github.com/scalalandio/chimney,Apache-2.0,2017-05-23 11:24:09,2024-08-21 20:12:11,2024-08-21 20:12:11,1230.0,117.0,90.0,21.0,378.0,15.0,185.0,1146,2024-08-15 14:49:49,1.4.0,37.0,"Scala library for boilerplate-free, type-safe data transformations.",,,33.0,23,,,,True,2,,,,
46,nussknacker,touk/nussknacker,,bigdata,,https://github.com/TouK/nussknacker,https://github.com/TouK/nussknacker,Apache-2.0,2017-06-29 14:09:57,2024-08-22 18:29:42,2024-08-22 15:05:17,6608.0,255.0,92.0,35.0,6176.0,89.0,384.0,633,2024-08-08 13:10:38,1.16.3,51.0,Low-code tool for automating actions on real time data | Stream processing for the users.,,,84.0,23,,,,True,2,427.0,5.0,,
47,scalding,twitter/scalding,,bigdata,,https://github.com/twitter/scalding,https://github.com/twitter/scalding,Apache-2.0,2012-01-10 16:22:08,2023-05-28 19:18:59,2023-05-28 19:18:59,4195.0,,703.0,323.0,1384.0,318.0,329.0,3490,2017-12-22 20:23:36,0.17.4,17.0,A Scala API for Cascading.,,,212.0,22,,,,True,2,,,,
48,lagom,lagom/lagom,,distributed,,https://github.com/lagom/lagom,https://github.com/lagom/lagom,Apache-2.0,2016-02-23 01:51:06,2023-08-14 13:43:48,2023-08-14 13:43:48,2427.0,,633.0,149.0,2274.0,454.0,642.0,2632,2021-12-14 11:16:46,1.6.7,49.0,Reactive Microservices for the JVM.,,,149.0,22,,,,True,2,,,,
49,algebird,twitter/algebird,,sci,,https://github.com/twitter/algebird,https://github.com/twitter/algebird,Apache-2.0,2012-08-02 17:24:42,2024-08-19 21:31:41,2024-02-24 18:39:07,1905.0,,343.0,235.0,943.0,103.0,167.0,2288,2023-07-10 21:51:16,0.13.10,30.0,Abstract Algebra for Scala.,,,115.0,22,,,,True,2,,,,
50,Monocle,optics-dev/monocle,,toolkits,"['scala3', 'scalajs']",https://github.com/optics-dev/Monocle,https://github.com/optics-dev/Monocle,MIT,2014-01-17 19:49:22,2024-08-20 21:26:35,2024-08-20 21:26:35,2196.0,7.0,205.0,54.0,1072.0,50.0,334.0,1646,2024-08-09 09:12:26,3.3.0,10.0,Optics library for Scala.,,,125.0,22,,,,True,2,,,,
51,scalajs-react,japgolly/scalajs-react,,scala-js,"['scala3', 'scalajs']",https://github.com/japgolly/scalajs-react,https://github.com/japgolly/scalajs-react,Apache-2.0,2014-07-03 09:58:42,2024-07-25 14:04:27,2024-07-11 03:54:41,3207.0,5.0,232.0,65.0,562.0,28.0,508.0,1640,2024-07-11 04:13:26,2.1.2,66.0,Facebooks React on Scala.JS.,,,81.0,22,,,,True,2,,,,
52,finch,finagle/finch,,http,,https://github.com/finagle/finch,https://github.com/finagle/finch,Apache-2.0,2014-04-15 12:17:44,2024-08-21 15:55:34,2024-08-21 15:55:34,2352.0,18.0,221.0,60.0,1301.0,42.0,369.0,1598,2022-09-16 18:19:38,0.34.0,61.0,Scala combinator library for building Finagle HTTP services.,,,128.0,22,,,,True,2,,,,
53,skunk,typelevel/skunk,,db-clients,"['scala3', 'scalajs']",https://github.com/typelevel/skunk,https://github.com/typelevel/skunk,MIT,2018-09-21 06:46:41,2024-08-21 20:09:25,2024-08-18 12:50:03,2010.0,35.0,157.0,30.0,976.0,84.0,69.0,1570,2024-05-11 13:18:29,0.6.4,37.0,A data access library for Scala + Postgres.,,,87.0,22,,,,True,2,,,,
54,akka-http,akka/akka-http,,http,['scala3'],https://github.com/akka/akka-http,https://github.com/akka/akka-http,,2016-08-19 11:33:36,2024-08-20 08:41:16,2024-08-20 08:41:16,4480.0,7.0,595.0,69.0,2449.0,571.0,1388.0,1338,2024-05-07 13:39:41,10.6.3,64.0,The Streaming-first HTTP server/module of Akka.,,,359.0,22,,,,False,2,,,,
55,framework,lift/framework,,web-frameworks,,https://github.com/lift/framework,https://github.com/lift/framework,Apache-2.0,2011-01-26 13:25:28,2024-08-19 02:32:11,2023-04-11 14:56:45,3932.0,,272.0,104.0,530.0,155.0,1324.0,1269,2021-10-08 15:12:09,3.5.0-release,52.0,Lift Framework.,,,119.0,22,,,,True,1,,,1.0,
56,pekko,apache/incubator-pekko,,distributed,['scala3'],https://github.com/apache/pekko,https://github.com/apache/pekko,Apache-2.0,2022-10-31 08:40:39,2024-08-21 12:54:21,2024-08-21 12:54:21,27309.0,59.0,128.0,55.0,1062.0,104.0,217.0,1153,,,,"Build highly concurrent, distributed, and resilient message-driven applications using Java/Scala.",,,1071.0,22,,,,True,2,,,,apache/pekko
57,slick-pg,tminglei/slick-pg,,db-clients,,https://github.com/tminglei/slick-pg,https://github.com/tminglei/slick-pg,BSD-2-Clause,2013-05-09 15:57:40,2024-08-14 04:56:04,2024-07-19 02:28:47,1305.0,14.0,181.0,22.0,343.0,115.0,275.0,837,2024-05-18 14:23:53,0.22.2,94.0,Slick extensions for PostgreSQL.,,,96.0,22,,,,True,2,,,,
58,scalafix,scalacenter/scalafix,,development-cycle,['scalajs'],https://github.com/scalacenter/scalafix,https://github.com/scalacenter/scalafix,BSD-3-Clause,2016-08-08 11:45:19,2024-08-22 15:22:10,2024-08-22 15:16:20,3672.0,73.0,182.0,29.0,1371.0,69.0,605.0,817,2024-05-01 20:24:54,0.12.1,71.0,Refactoring and linting tool for Scala.,,,109.0,22,,,,True,3,35.0,0.0,,
59,jsoniter-scala,plokhotnyuk/jsoniter-scala,,json,"['scala3', 'scalajs']",https://github.com/plokhotnyuk/jsoniter-scala,https://github.com/plokhotnyuk/jsoniter-scala,MIT,2017-09-26 14:47:09,2024-08-22 17:54:01,2024-08-22 17:55:47,4856.0,141.0,96.0,21.0,865.0,69.0,248.0,728,2024-08-22 17:51:40,2.30.8,100.0,Scala macros for compile-time generation of safe and ultra-fast JSON codecs + circe booster.,1.0,1.0,24.0,22,,,,True,2,,,,
60,breeze,scalanlp/breeze,,sci,['scala3'],https://github.com/scalanlp/breeze,https://github.com/scalanlp/breeze,Apache-2.0,2009-07-08 23:22:52,2024-07-08 16:59:33,2024-07-08 16:59:33,3745.0,12.0,694.0,207.0,322.0,90.0,451.0,3443,,,,Breeze is a numerical processing library for Scala.,,,145.0,21,,,,True,2,,,,
61,spark-notebook,spark-notebook/spark-notebook,,sci,,https://github.com/spark-notebook/spark-notebook,https://github.com/spark-notebook/spark-notebook,Apache-2.0,2014-09-05 19:35:25,2023-05-16 16:06:37,2021-03-30 08:57:25,2326.0,,654.0,190.0,484.0,208.0,307.0,3150,2017-07-23 14:44:02,0.8.3,18.0,Interactive and Reactive Data Science using Scala and Spark.,,,84.0,21,,,,False,2,,,,
62,spray-json,spray/spray-json,io.spray:spray-json_2.13,json,,https://github.com/spray/spray-json,https://github.com/spray/spray-json,Apache-2.0,2011-05-06 21:31:38,2024-01-10 20:17:55,2021-12-09 19:21:31,331.0,,566.0,37.0,155.0,97.0,116.0,2514,2020-11-11 13:05:44,1.3.6,3.0,"A lightweight, clean and simple JSON implementation in Scala.",135.0,,48.0,21,https://search.maven.org/artifact/io.spray/spray-json_2.13,2020-11-10 13:18:28,135.0,False,2,,,,
63,finatra,twitter/finatra,,web-frameworks,,https://github.com/twitter/finatra,https://github.com/twitter/finatra,Apache-2.0,2012-02-16 23:55:29,2024-05-07 20:18:06,2024-05-07 20:18:05,2655.0,,406.0,214.0,266.0,14.0,309.0,2273,2022-12-26 14:40:15,finatra-22.12.0,92.0,"Fast, testable, Scala services built on TwitterServer and Finagle.",,,258.0,21,,,,True,2,,,,
