,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,updated_github_id
0,playframework,playframework/playframework,com.typesafe.play:play_3,web-frameworks,"['scala3', 'scalajs']",https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2024-08-17 18:09:38,2024-08-17 18:09:36,13790.0,135.0,4099.0,631.0,8843.0,438.0,3367.0,12529,2024-07-24 10:19:22,3.0.5,74.0,The Community Maintained High Velocity Web Framework For Java and Scala.,83.0,21.0,979.0,33,https://search.maven.org/artifact/com.typesafe.play/play_3,2024-07-24 08:46:29,62.0,True,1,,,,
1,gitbucket,gitbucket/gitbucket,,development-cycle,,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2024-08-21 21:28:14,2024-08-21 21:28:14,5967.0,40.0,1239.0,456.0,1813.0,343.0,1448.0,9112,2024-05-18 07:27:15,4.41.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",21.0,21.0,198.0,33,,,,True,1,738177.0,5905.0,,
2,sbt,sbt/sbt,,development-cycle,['scala3'],https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2024-08-21 06:43:55,2024-08-08 06:22:06,12032.0,22.0,931.0,171.0,3241.0,791.0,3431.0,4786,2024-07-07 22:35:01,1.10.1,100.0,"sbt, the interactive build tool.",,,424.0,32,,,,True,1,19115899.0,251524.0,,
3,zio,zio/zio,dev.zio:zio_2.13,toolkits,"['scala3', 'scalajs']",https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2024-08-21 19:21:21,2024-08-21 19:07:29,7738.0,158.0,1265.0,111.0,6526.0,384.0,2191.0,4055,2024-08-05 10:28:50,2.1.7,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",1167.0,,719.0,32,https://search.maven.org/artifact/dev.zio/zio_2.13,2024-08-05 10:28:50,1167.0,True,1,,,,
4,kafka,apache/kafka,,distributed,,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2024-08-22 08:03:55,2024-08-22 08:03:55,13556.0,676.0,13782.0,1066.0,16963.0,1153.0,,28188,,,,Mirror of Apache Kafka.,25.0,25.0,1445.0,29,,,,True,1,,,,
5,flink,apache/flink,,bigdata,,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2024-08-22 13:46:17,2024-08-22 13:34:03,35718.0,368.0,13177.0,948.0,25224.0,1205.0,,23724,,,,Apache Flink.,21.0,21.0,1896.0,29,,,,True,1,,,,
6,akka,akka/akka,,distributed,['scala3'],https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2024-08-19 13:31:37,2024-08-19 13:31:34,27075.0,38.0,3590.0,576.0,11827.0,880.0,7160.0,13016,2024-08-19 10:29:04,2.9.5,53.0,"Build highly concurrent, distributed, and resilient message-driven applications on the JVM.",21.0,21.0,1059.0,29,,,,False,1,,,-1.0,
7,circe,circe/circe,io.circe:circe-core_2.13,json,"['scala3', 'scalajs']",https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2024-08-19 14:51:04,2024-08-19 14:47:23,3168.0,60.0,536.0,65.0,1748.0,120.0,443.0,2484,2024-07-01 13:25:51,0.14.9,72.0,Yet another JSON library for Scala.,831.0,,288.0,29,https://search.maven.org/artifact/io.circe/circe-core_2.13,2024-07-01 13:25:51,831.0,True,1,,,,
8,coursier,coursier/coursier,,sbt,['scalajs'],https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2024-08-21 19:41:31,2024-08-21 18:45:12,4334.0,65.0,303.0,56.0,1928.0,382.0,727.0,2025,2024-05-06 12:58:28,2.1.10,100.0,Pure Scala Artifact Fetching.,,,146.0,29,,,,True,1,14698598.0,249128.0,,
9,mill,com-lihaoyi/mill,,development-cycle,,https://github.com/com-lihaoyi/mill,https://github.com/com-lihaoyi/mill,MIT,2017-10-17 03:43:19,2024-08-22 10:06:45,2024-08-22 09:11:23,3606.0,156.0,307.0,47.0,2319.0,150.0,781.0,2016,2024-08-20 16:27:18,0.11.12,100.0,"Mill is a fast JVM build tool that supports Java and Scala. Mill aims to make your projects build process performant,..",,,221.0,29,,,,True,2,1694307.0,23209.0,,
