,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,updated_github_id
0,gitbucket,gitbucket/gitbucket,development-cycle,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2025-08-25 23:30:43,2025-08-25 23:30:43,6176.0,59.0,1253.0,448.0,2022.0,348.0,1494.0,9290,2025-06-29 04:32:51,4.43.0,471749.0,3494.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",21.0,21.0,199.0,34,True,1,,,,,,,
1,playframework,playframework/playframework,web-frameworks,https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2025-08-28 15:10:53,2025-08-28 15:06:56,14330.0,151.0,4085.0,617.0,9398.0,487.0,3395.0,12584,2025-07-01 23:14:05,3.0.8,377.0,3.0,100.0,The Community Maintained High Velocity Web Framework For Java and Scala.,87.0,21.0,989.0,33,True,1,com.typesafe.play:play_3,"['scala3', 'scalajs']",https://search.maven.org/artifact/com.typesafe.play/play_3,2025-06-30 22:10:05,66.0,,
2,sbt,sbt/sbt,development-cycle,https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2025-08-28 04:09:40,2025-08-28 04:09:40,17299.0,151.0,951.0,165.0,3614.0,811.0,3642.0,4863,2025-08-24 20:37:29,1.11.5,27958176.0,393777.0,100.0,"sbt, the interactive build tool.",,,496.0,33,True,1,,['scala3'],,,,,
3,zio,zio/zio,toolkits,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2025-08-27 19:04:05,2025-08-27 18:33:58,8407.0,146.0,1364.0,108.0,7362.0,146.0,2598.0,4264,2025-07-21 06:06:47,2.1.20,,,104.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",1305.0,,748.0,33,True,1,dev.zio:zio_2.13,"['scala3', 'scalajs']",https://search.maven.org/artifact/dev.zio/zio_2.13,2025-07-21 06:06:47,1305.0,,
4,kafka,apache/kafka,distributed,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2025-08-28 17:52:04,2025-08-28 17:52:04,16245.0,418.0,14591.0,1054.0,20429.0,255.0,,30771,,,,,,Mirror of Apache Kafka.,25.0,25.0,1581.0,29,True,1,,,,,,,
5,flink,apache/flink,bigdata,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2025-08-28 17:50:40,2025-08-28 17:50:40,37063.0,232.0,13748.0,930.0,26935.0,189.0,,25190,,,,,,Apache Flink.,21.0,21.0,2046.0,29,True,1,,,,,,,
6,akka,akka/akka,distributed,https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2025-08-18 13:16:57,2025-08-18 13:16:55,27273.0,40.0,3589.0,568.0,12076.0,895.0,7201.0,13205,2025-08-15 14:29:53,2.10.9,,,73.0,"A platform to build and run apps that are elastic, agile, and resilient. SDK, libraries, and hosted environments.",21.0,21.0,1061.0,29,False,1,,['scala3'],,,,-1.0,
7,spark-nlp,johnsnowlabs/spark-nlp,sci,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44,2025-08-28 15:32:31,2025-08-20 12:39:39,8924.0,77.0,731.0,100.0,13523.0,24.0,886.0,4037,2025-08-20 13:05:49,6.1.2,,,100.0,State of the Art Natural Language Processing.,613.0,613.0,116.0,29,True,1,,,,,,,
8,circe,circe/circe,json,https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2025-08-15 09:19:07,2025-08-15 09:09:36,3304.0,17.0,544.0,62.0,1824.0,118.0,455.0,2518,2025-06-13 23:54:16,0.14.14,,,77.0,Yet another JSON library for Scala.,946.0,,296.0,29,True,1,io.circe:circe-core_2.13,"['scala3', 'scalajs']",https://search.maven.org/artifact/io.circe/circe-core_2.13,2025-06-13 23:54:16,946.0,,
9,coursier,coursier/coursier,sbt,https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2025-08-25 19:08:20,2025-08-25 18:41:47,5031.0,76.0,321.0,55.0,2286.0,451.0,759.0,2091,2025-01-09 20:59:06,2.1.24,19409686.0,318191.0,100.0,Pure Scala Artifact Fetching.,,,153.0,29,True,1,,['scalajs'],,,,,
10,spark,apache/spark,bigdata,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2025-08-28 16:18:22,2025-08-28 16:18:19,45380.0,854.0,28734.0,2020.0,52124.0,218.0,,41776,,,,,,Apache Spark - A unified analytics engine for large-scale data processing.,,,3284.0,28,True,1,,,,,,,
11,gatling,gatling/gatling,test,https://github.com/gatling/gatling,https://github.com/gatling/gatling,Apache-2.0,2011-05-31 12:40:25,2025-08-13 07:10:46,2025-08-13 07:10:29,11119.0,43.0,1216.0,232.0,845.0,28.0,3760.0,6756,,,,,,Modern Load Testing as Code.,23.0,23.0,243.0,28,True,1,,,,,,,
12,finagle,twitter/finagle,distributed,https://github.com/twitter/finagle,https://github.com/twitter/finagle,Apache-2.0,2010-10-19 22:10:09,2025-08-14 08:10:50,2025-08-14 08:10:49,8209.0,3.0,1448.0,552.0,551.0,65.0,357.0,8833,2024-05-07 19:46:22,finagle-24.5.0,,,84.0,"A fault tolerant, protocol-agnostic RPC system.",21.0,21.0,534.0,27,True,2,,,,,,,
13,bigdl,intel-analytics/bigdl,sci,https://github.com/intel/ipex-llm,https://github.com/intel/ipex-llm,Apache-2.0,2016-08-29 07:59:50,2025-08-20 06:10:31,2025-08-14 06:52:47,4109.0,17.0,1333.0,260.0,10279.0,1212.0,1785.0,8271,2025-04-09 06:51:51,0.1.0-mas,704.0,7.0,22.0,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, DeepSeek, Mixtral, Gemma, Phi, MiniCPM,..",,,119.0,27,True,1,,,,,,,intel/ipex-llm
14,shapeless,milessabin/shapeless,toolkits,https://github.com/milessabin/shapeless,https://github.com/milessabin/shapeless,Apache-2.0,2011-12-18 13:36:38,2025-08-26 18:17:26,2025-08-26 18:17:26,2773.0,12.0,531.0,100.0,1009.0,29.0,384.0,3402,2025-03-02 21:41:46,2.3.13,,,10.0,Generic programming for Scala.,145.0,145.0,156.0,27,True,1,,"['scala3', 'scalajs']",,,,,
15,scio,spotify/scio,bigdata,https://github.com/spotify/scio,https://github.com/spotify/scio,Apache-2.0,2015-03-26 19:07:34,2025-08-27 17:34:54,2025-08-26 18:20:01,5578.0,48.0,521.0,113.0,4448.0,147.0,1177.0,2611,2025-08-27 17:25:09,0.14.19,11991.0,133.0,100.0,A Scala API for Apache Beam and Google Cloud Dataflow.,,,256.0,27,True,2,,,,,,,
16,scalapb,scalapb/scalapb,data,https://github.com/scalapb/ScalaPB,https://github.com/scalapb/ScalaPB,Apache-2.0,2014-10-02 01:11:41,2025-08-26 20:24:15,2025-08-26 20:17:41,2696.0,43.0,290.0,42.0,1340.0,55.0,590.0,1322,2025-08-23 17:49:13,1.0.0-alpha.2,610585.0,5871.0,100.0,Protocol buffer compiler for Scala.,,,133.0,27,True,1,,"['scala3', 'scalajs']",,,,2.0,
17,scalameta,scalameta/scalameta,toolkits,https://github.com/scalameta/scalameta,https://github.com/scalameta/scalameta,BSD-3-Clause,2014-06-16 23:00:32,2025-08-27 16:15:02,2025-08-27 16:15:02,9098.0,47.0,232.0,41.0,3003.0,132.0,1156.0,1142,2025-08-01 18:11:30,4.13.9,,,100.0,"Library to read, analyze, transform and generate Scala programs.",3.0,3.0,131.0,27,True,1,,['scalajs'],,,,,
18,bloop,scalacenter/bloop,development-cycle,https://github.com/scalacenter/bloop,https://github.com/scalacenter/bloop,Apache-2.0,2017-11-11 09:39:34,2025-08-26 16:50:12,2025-08-26 16:47:35,6045.0,50.0,206.0,24.0,1905.0,102.0,675.0,927,2025-08-05 12:42:34,2.0.13,239809.0,2635.0,79.0,"Bloop is a build server and CLI tool to compile, test and run Scala fast from any editor or build tool.",,,152.0,27,True,2,,['scalajs'],,,,,
19,Snowplow,snowplow/snowplow,sci,https://github.com/snowplow/snowplow,https://github.com/snowplow/snowplow,Apache-2.0,2012-03-01 13:02:21,2025-06-04 15:51:26,2025-05-28 14:53:40,6753.0,,1194.0,265.0,496.0,59.0,3906.0,6953,2022-01-31 21:28:26,22.01,7478.0,51.0,85.0,The leader in Customer Data Infrastructure.,21.0,21.0,106.0,26,True,1,,,,,,1.0,
