,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id
109,cornichon,agourlay/cornichon,test,https://github.com/agourlay/cornichon,https://github.com/agourlay/cornichon,Apache-2.0,2015-07-27 09:14:49,2024-08-27 13:21:34,2024-08-27 13:21:34,3390.0,16.0,29.0,13.0,707.0,6.0,153.0,226,2024-06-05 18:09:18,0.21.4,,,78.0,Testing tool in Scala for HTTP JSON API.,,,18.0,19,True,2,,,,,,,
110,stryker4s,stryker-mutator/stryker4s,test,https://github.com/stryker-mutator/stryker4s,https://github.com/stryker-mutator/stryker4s,Apache-2.0,2018-06-20 14:14:40,2024-08-27 18:39:28,2024-08-27 18:39:28,1514.0,42.0,36.0,8.0,1457.0,32.0,133.0,198,2024-04-18 13:40:39,0.16.1,,,43.0,Mutation testing for Scala.,,,36.0,19,True,2,,,['scala3'],,,,
111,openmole,openmole/openmole,sci,https://github.com/openmole/openmole,https://github.com/openmole/openmole,AGPL-3.0,2014-10-08 09:37:00,2024-08-31 12:17:15,2024-08-31 12:16:45,14328.0,155.0,34.0,20.0,106.0,80.0,371.0,141,2024-07-15 20:57:44,16.2,,,4.0,Workflow engine for exploration of simulation models using high throughput computing.,,,48.0,19,True,2,,,,,,,
112,scalatra,scalatra/scalatra,web-frameworks,https://github.com/scalatra/scalatra,https://github.com/scalatra/scalatra,,2009-05-31 09:20:32,2024-09-02 22:19:18,2024-09-02 22:19:18,4093.0,30.0,335.0,81.0,1276.0,70.0,376.0,2650,,,,,,"Tiny Scala high-performance, async web framework, inspired by Sinatra.",,,136.0,18,False,3,,,['scala3'],,,,
113,macwire,softwaremill/macwire,di,https://github.com/softwaremill/macwire,https://github.com/softwaremill/macwire,Apache-2.0,2013-03-17 13:20:04,2024-09-05 00:26:34,2024-09-05 00:25:58,800.0,6.0,75.0,59.0,217.0,74.0,69.0,1260,2023-08-18 12:36:50,2.5.9,,,17.0,Lightweight and Nonintrusive Scala Dependency Injection Library.,,,42.0,18,True,2,,,"['scala3', 'scalajs']",,,,
114,fastparse,com-lihaoyi/fastparse,parsers,https://github.com/com-lihaoyi/fastparse,https://github.com/com-lihaoyi/fastparse,MIT,2014-11-29 08:35:28,2024-08-16 00:39:20,2024-08-16 00:39:20,959.0,3.0,164.0,33.0,163.0,16.0,132.0,1089,2021-09-07 10:21:47,2.3.3,,,2.0,Writing Fast Parsers Fast in Scala.,,,54.0,18,True,1,,,"['scala3', 'scalajs']",,,,
115,cassovary,twitter/cassovary,toolkits,https://github.com/twitter/cassovary,https://github.com/twitter/cassovary,Apache-2.0,2012-02-21 23:22:30,2021-10-08 21:22:29,2021-10-08 21:22:23,503.0,,150.0,161.0,155.0,33.0,48.0,1045,2015-03-18 21:37:14,5.1.0,,,5.0,Cassovary is a simple big graph processing library for the JVM.,,,30.0,18,False,2,,,,,,,
116,bidmach,biddata/bidmach,bigdata,https://github.com/BIDData/BIDMach,https://github.com/BIDData/BIDMach,BSD-3-Clause,2012-10-22 03:17:08,2022-10-04 23:35:03,2020-06-03 05:15:57,3024.0,,171.0,87.0,61.0,67.0,90.0,915,2017-03-26 04:20:02,1.1.2,,,9.0,CPU and GPU-accelerated Machine Learning Library.,,,45.0,18,False,3,,,,,,,
117,sbt-updates,rtimush/sbt-updates,sbt,https://github.com/rtimush/sbt-updates,https://github.com/rtimush/sbt-updates,BSD-3-Clause,2012-10-07 17:20:50,2024-09-03 22:52:40,2024-08-19 19:31:42,640.0,17.0,55.0,22.0,318.0,13.0,66.0,757,2022-05-30 08:03:01,0.6.3,,,24.0,sbt plugin that can check Maven and Ivy repositories for dependency updates.,,,29.0,18,True,2,,,,,,,
118,scala-parser-combinators,scala/scala-parser-combinators,parsers,https://github.com/scala/scala-parser-combinators,https://github.com/scala/scala-parser-combinators,Apache-2.0,2013-08-15 18:35:18,2024-08-20 16:47:40,2024-08-20 16:47:40,1035.0,9.0,132.0,33.0,433.0,22.0,99.0,649,2024-04-18 04:36:44,2.4.0,,,19.0,"simple combinator-based parsing for Scala. formerly part of the Scala standard library, now a separate community-..",,,70.0,18,True,1,,,"['scala3', 'scalajs']",,,,
119,sbt-release,sbt/sbt-release,sbt,https://github.com/sbt/sbt-release,https://github.com/sbt/sbt-release,Apache-2.0,2011-10-15 19:00:45,2024-08-20 01:02:17,2024-08-20 01:02:17,558.0,7.0,162.0,25.0,248.0,86.0,101.0,643,2024-01-23 01:19:43,1.4.0,,,5.0,A release plugin for sbt.,,,65.0,18,True,2,,,,,,,
120,chill,twitter/chill,data,https://github.com/twitter/chill,https://github.com/twitter/chill,Apache-2.0,2012-10-15 22:01:08,2024-08-19 21:32:21,2023-03-19 07:21:05,928.0,,156.0,132.0,672.0,74.0,92.0,609,2021-06-04 22:29:04,0.10.0,,,34.0,Scala extensions for the Kryo serialization library.,,,67.0,18,True,2,,,,,,,
121,jackson-module-scala,FasterXML/jackson-module-scala,json,https://github.com/FasterXML/jackson-module-scala,https://github.com/FasterXML/jackson-module-scala,Apache-2.0,2010-11-29 23:01:08,2024-08-30 23:40:25,2024-08-30 23:39:28,1773.0,16.0,141.0,28.0,203.0,51.0,436.0,500,,,,,,Add-on module for Jackson (https://github.com/FasterXML/jackson) to support Scala-specific datatypes.,,,60.0,18,True,2,,,['scala3'],,,,
122,utest,com-lihaoyi/utest,test,https://github.com/com-lihaoyi/utest,https://github.com/com-lihaoyi/utest,MIT,2014-01-27 03:12:39,2024-08-21 14:14:30,2024-08-06 04:41:19,704.0,11.0,80.0,15.0,209.0,29.0,109.0,484,2024-08-06 04:55:44,0.8.4,,,11.0,A simple testing framework for Scala.,,,51.0,18,True,3,,,"['scala3', 'scalajs']",,,,
