,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,new_addition
71,util,twitter/util,toolkits,https://github.com/twitter/util,https://github.com/twitter/util,Apache-2.0,2011-03-26 01:23:21,2023-09-22 14:18:01,2023-09-22 14:18:00,3119,1.0,584.0,230,195.0,12.0,111.0,2665,2022-12-26 14:38:56,util-22.12.0,,,81.0,Wonderful reusable code from Twitter.,,,318.0,20,True,2,,['scala3'],,,,,
72,summingbird,twitter/summingbird,bigdata,https://github.com/twitter/summingbird,https://github.com/twitter/summingbird,Apache-2.0,2012-09-25 22:38:35,2022-01-19 17:31:02,2022-01-19 17:31:02,1793,,267.0,294,494.0,163.0,134.0,2137,2016-06-23 21:16:10,0.11.0-RC1,,,24.0,Streaming MapReduce with Scalding and Storm.,,,44.0,20,False,3,,,,,,,
73,scalajs-react,japgolly/scalajs-react,scala-js,https://github.com/japgolly/scalajs-react,https://github.com/japgolly/scalajs-react,Apache-2.0,2014-07-03 09:58:42,2023-09-04 21:20:27,2023-07-24 14:07:49,3196,2.0,236.0,64,555.0,24.0,507.0,1617,2022-04-26 04:07:04,2.1.1,,,65.0,Facebooks React on Scala.JS.,,,81.0,20,True,2,,"['scala3', 'scalajs']",,,,,
74,Binding.scala,ThoughtWorksInc/Binding.scala,web-frameworks,https://github.com/ThoughtWorksInc/Binding.scala,https://github.com/ThoughtWorksInc/Binding.scala,MIT,2016-01-06 15:28:52,2023-09-26 19:46:34,2023-07-11 02:55:23,1645,21.0,109.0,114,429.0,43.0,63.0,1581,2023-01-26 04:19:51,12.2.0,,,82.0,Reactive data-binding for Scala.,,,25.0,20,True,2,,"['scala3', 'scalajs']",,,,,
75,json4s,json4s/json4s,json,https://github.com/json4s/json4s,https://github.com/json4s/json4s,Apache-2.0,2012-08-23 23:18:46,2023-09-26 05:05:17,2023-09-16 05:39:17,1779,28.0,347.0,63,977.0,163.0,253.0,1461,,,,,,JSON library.,,,127.0,20,True,2,,"['scala3', 'scalajs']",,,,,
76,macwire,softwaremill/macwire,di,https://github.com/softwaremill/macwire,https://github.com/softwaremill/macwire,Apache-2.0,2013-03-17 13:20:04,2023-09-28 00:23:42,2023-09-28 00:23:13,763,26.0,75.0,62,187.0,72.0,69.0,1240,2023-08-18 12:36:50,2.5.9,,,17.0,Lightweight and Nonintrusive Scala Dependency Injection Library.,,,41.0,20,True,2,,"['scala3', 'scalajs']",,,,,
77,chimney,scalalandio/chimney,toolkits,https://github.com/scalalandio/chimney,https://github.com/scalalandio/chimney,Apache-2.0,2017-05-23 11:24:09,2023-09-28 13:27:05,2023-09-27 07:19:12,689,174.0,76.0,21,231.0,22.0,139.0,1036,2023-05-18 14:59:14,0.7.5,,,18.0,"Scala library for boilerplate-free, type-safe data transformations.",,,27.0,20,True,2,,"['scala3', 'scalajs']",,,,,
78,wartremover,wartremover/wartremover,development-cycle,https://github.com/wartremover/wartremover,https://github.com/wartremover/wartremover,Apache-2.0,2013-01-05 11:29:26,2023-09-18 23:57:13,2023-09-18 00:40:16,1189,31.0,115.0,31,608.0,105.0,230.0,1036,2020-02-25 04:42:44,2.4.5,492.0,5.0,27.0,Flexible Scala code linting tool.,,,58.0,20,True,3,,['scala3'],,,,,
79,scrimage,sksamuel/scrimage,media,https://github.com/sksamuel/scrimage,https://github.com/sksamuel/scrimage,Apache-2.0,2013-06-03 16:40:25,2023-09-19 02:51:41,2023-09-18 09:46:06,1299,9.0,136.0,46,88.0,4.0,190.0,984,2023-09-18 10:06:14,4.1.0,,,31.0,"JVM - Java, Kotlin, Scala image processing library.",,,55.0,20,True,1,,,,,,,
80,specs2,etorreborre/specs2,test,https://github.com/etorreborre/specs2,https://github.com/etorreborre/specs2,,2010-09-03 01:55:10,2023-09-28 16:59:50,2023-09-28 16:59:49,4713,28.0,217.0,28,543.0,2.0,644.0,734,2023-08-10 14:21:30,SPECS2-5.3.2,,,64.0,Software Specifications for Scala.,,,92.0,20,False,2,,"['scala3', 'scalajs']",,,,,
81,pekko,apache/incubator-pekko,distributed,https://github.com/apache/incubator-pekko,https://github.com/apache/incubator-pekko,Apache-2.0,2022-10-31 08:40:39,2023-09-28 16:06:24,2023-09-28 15:52:32,26886,133.0,71.0,58,481.0,72.0,113.0,704,,,,,,"Build highly concurrent, distributed, and resilient message-driven applications using Java/Scala.",,,1053.0,20,True,2,,['scala3'],,,,,
82,upickle,com-lihaoyi/upickle,data,https://github.com/com-lihaoyi/upickle,https://github.com/com-lihaoyi/upickle,MIT,2014-04-23 05:41:08,2023-09-22 14:29:26,2023-09-16 12:55:35,874,14.0,153.0,16,251.0,14.0,262.0,677,2023-09-16 13:29:50,3.1.3,,,20.0,"uPickle: a simple, fast, dependency-free JSON & Binary (MessagePack) serialization library for Scala.",,,52.0,20,True,1,,"['scala3', 'scalajs']",,,,,
83,jsoniter-scala,plokhotnyuk/jsoniter-scala,json,https://github.com/plokhotnyuk/jsoniter-scala,https://github.com/plokhotnyuk/jsoniter-scala,MIT,2017-09-26 14:47:09,2023-09-27 16:36:56,2023-09-26 11:29:11,4402,77.0,86.0,20,799.0,58.0,229.0,673,2023-09-25 18:45:42,2.23.5,,,100.0,Scala macros for compile-time generation of safe and ultra-fast JSON codecs.,1.0,1.0,20.0,20,True,2,,"['scala3', 'scalajs']",,,,,
84,sbt-scoverage,scoverage/sbt-scoverage,sbt,https://github.com/scoverage/sbt-scoverage,https://github.com/scoverage/sbt-scoverage,Apache-2.0,2014-05-16 00:58:21,2023-09-19 07:26:50,2023-09-19 07:26:50,751,15.0,148.0,28,252.0,36.0,219.0,628,2023-09-08 08:23:38,2.0.9,,,37.0,sbt plugin for scoverage.,,,71.0,20,True,1,,,,,,,
