,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,maven_url,maven_latest_release_published_at,dependent_project_count,maven_dependent_project_count,show,projectrank_placing,github_dependent_project_count,github_release_downloads,monthly_downloads,trending,updated_github_id
14,bigdl,intel-analytics/bigdl,,sci,,https://github.com/intel/ipex-llm,https://github.com/intel/ipex-llm,Apache-2.0,2016-08-29 07:59:50,2025-04-24 09:53:14,2025-04-24 09:53:14,4054.0,151.0,1308.0,261.0,10207.0,1135.0,1742.0,7788,2025-04-07 07:23:54,2.2.0,22.0,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, DeepSeek, Mixtral, Gemma, Phi, MiniCPM,..",115.0,27,,,,,True,1,,680.0,7.0,-1.0,intel/ipex-llm
15,cats,typelevel/cats,,toolkits,"['scala3', 'scalajs']",https://github.com/typelevel/cats,https://github.com/typelevel/cats,,2015-01-28 20:26:48,2025-04-22 02:51:11,2025-04-22 02:47:43,7096.0,57.0,1213.0,184.0,3486.0,246.0,1002.0,5312,2025-01-20 19:03:39,2.13.0,67.0,"Lightweight, modular, and extensible library for functional programming.",569.0,27,,,20.0,,False,1,20.0,,,,
16,shapeless,milessabin/shapeless,,toolkits,"['scala3', 'scalajs']",https://github.com/milessabin/shapeless,https://github.com/milessabin/shapeless,Apache-2.0,2011-12-18 13:36:38,2025-04-22 17:11:11,2025-04-22 17:11:11,2759.0,16.0,531.0,100.0,995.0,29.0,384.0,3402,2025-03-02 21:41:46,2.3.13,10.0,Generic programming for Scala.,156.0,27,,,141.0,,True,1,141.0,,,,
17,ammonite,com-lihaoyi/ammonite,,toolkits,['scala3'],https://github.com/com-lihaoyi/Ammonite,https://github.com/com-lihaoyi/Ammonite,MIT,2015-01-13 07:34:38,2025-04-20 14:08:12,2025-04-20 14:08:12,2889.0,31.0,369.0,62.0,793.0,143.0,705.0,2621,2025-02-17 19:04:34,3.0.2,100.0,Scala Scripting.,147.0,27,,,,,True,1,,980909.0,10325.0,,
18,scio,spotify/scio,,bigdata,,https://github.com/spotify/scio,https://github.com/spotify/scio,Apache-2.0,2015-03-26 19:07:34,2025-04-17 16:58:15,2025-04-17 15:43:49,5515.0,84.0,517.0,113.0,4370.0,136.0,1175.0,2590,2025-04-17 16:51:07,0.14.16,100.0,A Scala API for Apache Beam and Google Cloud Dataflow.,255.0,27,,,,,True,2,,11969.0,137.0,,
19,http4s,http4s/http4s,,http,"['scala3', 'scalajs']",https://github.com/http4s/http4s,https://github.com/http4s/http4s,Apache-2.0,2012-03-12 04:41:20,2025-04-22 07:51:48,2025-04-18 12:47:30,17823.0,58.0,797.0,73.0,6090.0,332.0,1162.0,2574,2024-12-04 18:16:06,0.23.30,100.0,"A minimal, idiomatic Scala interface for HTTP.",478.0,27,,,,,True,1,,,,,
20,metals,scalameta/metals,,development-cycle,['scala3'],https://github.com/scalameta/metals,https://github.com/scalameta/metals,Apache-2.0,2017-11-03 14:18:53,2025-04-24 18:30:42,2025-04-24 18:18:14,9413.0,231.0,369.0,47.0,5006.0,280.0,1865.0,2183,2025-03-26 14:29:02,1.5.2,71.0,Scala language server with rich IDE features.,218.0,27,,,,,True,2,,31.0,0.0,,
21,tapir,softwaremill/tapir,,http,"['scala3', 'scalajs']",https://github.com/softwaremill/tapir,https://github.com/softwaremill/tapir,Apache-2.0,2018-12-09 16:43:49,2025-04-24 09:56:54,2025-04-24 09:56:54,9555.0,217.0,435.0,42.0,3613.0,173.0,771.0,1404,2025-04-16 14:59:42,1.11.25,100.0,Rapid development of self-documenting APIs.,326.0,27,,,,,True,1,,,,,
22,scalameta,scalameta/scalameta,,toolkits,['scalajs'],https://github.com/scalameta/scalameta,https://github.com/scalameta/scalameta,BSD-3-Clause,2014-06-16 23:00:32,2025-04-24 18:20:59,2025-04-24 18:20:58,9045.0,71.0,227.0,41.0,2956.0,130.0,1144.0,1132,2025-03-12 17:34:03,4.13.4,100.0,"Library to read, analyze, transform and generate Scala programs.",128.0,27,,,3.0,,True,1,3.0,,,,
23,bloop,scalacenter/bloop,,development-cycle,['scalajs'],https://github.com/scalacenter/bloop,https://github.com/scalacenter/bloop,Apache-2.0,2017-11-11 09:39:34,2025-04-24 08:57:22,2025-04-24 08:54:48,5965.0,102.0,204.0,23.0,1863.0,104.0,663.0,914,2025-03-19 14:39:32,2.0.9,75.0,"Bloop is a build server and CLI tool to compile, test and run Scala fast from any editor or build tool.",151.0,27,,,,,True,2,,224919.0,2585.0,,
