,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
120,scala-logging,lightbend-labs/scala-logging,toolkits,https://github.com/lightbend-labs/scala-logging,https://github.com/lightbend-labs/scala-logging,Apache-2.0,2013-07-16 20:24:15,2023-08-13 15:49:04,2023-07-24 18:01:03,332,9.0,129.0,29,282.0,26.0,98.0,898,2023-08-30 13:19:37,3.9.5,,,6.0,Convenient and performant logging library for Scala wrapping SLF4J.,,,45.0,18,True,2,,['scala3'],,,,
121,scodec,scodec/scodec,data,https://github.com/scodec/scodec,https://github.com/scodec/scodec,BSD-3-Clause,2013-04-22 13:36:08,2023-09-07 16:56:18,2023-05-05 11:48:18,1320,,104.0,29,418.0,13.0,58.0,795,2023-02-07 03:30:52,2.2.1,,,4.0,Scala combinator library for working with binary data.,,,61.0,18,True,2,,"['scala3', 'scalajs']",,,,
122,sbt-eclipse,sbt/sbt-eclipse,sbt,https://github.com/sbt/sbt-eclipse,https://github.com/sbt/sbt-eclipse,Apache-2.0,2011-06-04 00:39:57,2023-06-09 03:20:53,2023-05-18 16:54:49,402,,171.0,50,140.0,78.0,203.0,720,2022-09-23 14:15:14,6.0.0,,,2.0,Plugin for sbt to create Eclipse project definitions.,,,39.0,18,True,2,,,,,,
123,avro4s,sksamuel/avro4s,data,https://github.com/sksamuel/avro4s,https://github.com/sksamuel/avro4s,Apache-2.0,2015-09-16 14:50:22,2023-09-02 21:32:50,2023-08-29 00:43:48,1540,4.0,232.0,25,422.0,11.0,360.0,703,,,,,,Avro schema generation and serialization / deserialization for Scala.,,,102.0,18,True,2,,['scala3'],,,,
124,scallop,scallop/scallop,others,https://github.com/scallop/scallop,https://github.com/scallop/scallop,MIT,2012-03-22 19:17:41,2023-08-03 05:43:14,2023-08-03 05:43:02,600,5.0,58.0,16,53.0,6.0,181.0,662,2023-08-03 05:38:04,5.0.0,,,25.0,a simple Scala CLI parsing library.,,,24.0,18,True,2,,"['scala3', 'scalajs']",,,,
125,scala-parser-combinators,scala/scala-parser-combinators,parsers,https://github.com/scala/scala-parser-combinators,https://github.com/scala/scala-parser-combinators,Apache-2.0,2013-08-15 18:35:18,2023-09-07 06:26:36,2023-07-12 16:42:27,987,7.0,128.0,35,405.0,22.0,96.0,631,2023-04-26 22:27:37,2.3.0,,,18.0,"simple combinator-based parsing for Scala. formerly part of the Scala standard library, now a separate community-..",,,70.0,18,True,1,,"['scala3', 'scalajs']",,,,
126,chill,twitter/chill,data,https://github.com/twitter/chill,https://github.com/twitter/chill,Apache-2.0,2012-10-15 22:01:08,2023-09-05 04:25:19,2023-03-19 07:21:05,928,,147.0,135,629.0,56.0,91.0,598,2021-06-04 22:29:04,0.10.0,,,34.0,Scala extensions for the Kryo serialization library.,,,67.0,18,True,2,,,,,,
127,scalariform,scala-ide/scalariform,development-cycle,https://github.com/scala-ide/scalariform,https://github.com/scala-ide/scalariform,MIT,2010-04-10 22:24:20,2022-12-18 15:16:00,2019-06-11 05:21:17,734,,150.0,28,97.0,61.0,140.0,534,2019-06-11 05:28:37,0.2.10,9455.0,127.0,11.0,Scala source code formatter.,,,56.0,18,False,3,,,,,,
128,jackson-module-scala,FasterXML/jackson-module-scala,json,https://github.com/FasterXML/jackson-module-scala,https://github.com/FasterXML/jackson-module-scala,Apache-2.0,2010-11-29 23:01:08,2023-09-04 18:16:19,2023-08-22 16:05:49,1688,15.0,140.0,27,188.0,47.0,413.0,489,,,,,,Add-on module for Jackson (https://github.com/FasterXML/jackson) to support Scala-specific datatypes.,,,59.0,18,True,3,,['scala3'],,,,
129,scalamock,paulbutcher/scalamock,test,https://github.com/paulbutcher/ScalaMock,https://github.com/paulbutcher/ScalaMock,MIT,2011-10-24 21:32:02,2023-09-07 18:23:34,2023-07-01 06:52:32,798,4.0,91.0,21,272.0,23.0,195.0,489,2021-12-25 20:07:28,5.2.0,,,13.0,Native Scala mocking framework.,,,33.0,18,True,3,,['scalajs'],,,,
130,akka-http-session,softwaremill/akka-http-session,sec,https://github.com/softwaremill/akka-http-session,https://github.com/softwaremill/akka-http-session,Apache-2.0,2015-06-30 13:40:05,2023-08-29 17:18:02,2023-08-29 17:17:55,272,7.0,60.0,48,45.0,12.0,32.0,439,2023-08-29 17:27:28,0.7.1,,,9.0,"Web & mobile client-side akka-http sessions, with optional JWT support.",,,24.0,18,True,1,,,,,,
