,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
170,xsbt-web-plugin,earldouglas/xsbt-web-plugin,sbt,https://github.com/earldouglas/xsbt-web-plugin,https://github.com/earldouglas/xsbt-web-plugin,BSD-3-Clause,2011-04-24 10:27:46,2023-09-03 02:09:23,2023-09-03 02:09:22,1009,33.0,98.0,19,560.0,12.0,247.0,384,,,,,,Servlet support for sbt.,,,33.0,16,True,3,,,,,,
171,diffson,gnieh/diffson,json,https://github.com/gnieh/diffson,https://github.com/gnieh/diffson,Apache-2.0,2013-08-30 15:50:35,2023-09-06 21:49:56,2023-05-06 08:47:33,477,,52.0,12,325.0,10.0,43.0,295,2023-03-03 08:34:40,4.4.0,,,14.0,A scala diff/patch library for Json.,,,31.0,16,True,3,,"['scala3', 'scalajs']",,,,
172,each,ThoughtWorksInc/each,toolkits,https://github.com/ThoughtWorksInc/each,https://github.com/ThoughtWorksInc/each,Apache-2.0,2015-05-05 07:27:00,2023-08-05 20:11:49,2023-02-03 06:45:06,739,,27.0,29,135.0,10.0,28.0,254,2023-02-03 06:24:22,3.3.2,,,3.0,A macro library that converts native imperative syntax to scalazs monadic expressions.,,,15.0,16,True,3,,['scalajs'],,,,
173,pulsar4s,CleverCloud/pulsar4s,db-clients,https://github.com/CleverCloud/pulsar4s,https://github.com/CleverCloud/pulsar4s,Apache-2.0,2018-01-04 06:29:12,2023-08-29 23:30:09,2023-01-08 02:27:21,711,,42.0,12,486.0,21.0,42.0,219,2023-01-08 02:29:27,2.9.0,,,5.0,"Idiomatic, typesafe, and reactive Scala client for Apache Pulsar.",,,23.0,16,True,2,,['scala3'],,,,
174,youi,outr/youi,web-frameworks,https://github.com/outr/youi,https://github.com/outr/youi,MIT,2012-06-26 14:06:32,2023-08-20 00:31:53,2022-12-07 15:24:18,2690,,29.0,17,271.0,22.0,41.0,209,2019-01-30 18:17:20,0.9.0,,,12.0,"Next generation user interface and application development in Scala and Scala.js for web, mobile, and desktop.",,,11.0,16,True,3,,['scalajs'],,,,
175,sbt-doctest,tkawachi/sbt-doctest,sbt,https://github.com/tkawachi/sbt-doctest,https://github.com/tkawachi/sbt-doctest,MIT,2014-06-10 15:46:12,2023-09-07 06:48:45,2023-09-07 06:48:44,680,25.0,27.0,12,356.0,15.0,47.0,182,2015-12-17 13:37:24,0.3.5,,,1.0,Doctest for scala.,,,26.0,16,True,3,,,,,,
176,cilib,ciren/cilib,others,https://github.com/ciren/cilib,https://github.com/ciren/cilib,Apache-2.0,2009-01-07 13:11:13,2022-08-05 05:12:53,2022-08-05 05:08:44,2338,,102.0,23,267.0,11.0,54.0,123,2018-03-21 12:08:40,2.0.1,,,5.0,"Typesafe, purely functional Computational Intelligence.",,,26.0,16,True,2,,,,,,
177,skuber,hagay3/skuber,others,https://github.com/hagay3/skuber,https://github.com/hagay3/skuber,Apache-2.0,2021-03-11 23:49:41,2023-09-06 22:08:01,2023-07-17 17:49:33,1010,27.0,47.0,4,290.0,20.0,21.0,71,2023-07-17 17:50:16,3.1,,,16.0,A Scala Kubernetes client library.,,,61.0,16,True,2,,['scala3'],,,,
178,zio-elasticsearch,lambdaworks/zio-elasticsearch,db-clients,https://github.com/lambdaworks/zio-elasticsearch,https://github.com/lambdaworks/zio-elasticsearch,Apache-2.0,2022-08-07 09:04:07,2023-09-07 11:12:53,2023-09-07 11:09:23,299,76.0,17.0,13,278.0,11.0,33.0,55,2023-08-05 17:06:33,0.2.0,,,2.0,ZIO Elasticsearch is a type-safe and streaming-friendly ZIO native Elasticsearch client.,,,18.0,16,True,2,,"['zio', 'scala3']",io.lambdaworks:zio-elasticsearch_3,https://search.maven.org/artifact/io.lambdaworks/zio-elasticsearch_3,2023-08-05 17:06:33,
179,scalaj-http,scalaj/scalaj-http,http,https://github.com/scalaj/scalaj-http,https://github.com/scalaj/scalaj-http,Apache-2.0,2010-08-23 20:05:19,2022-04-03 21:19:24,2022-04-03 21:19:24,300,,123.0,44,84.0,31.0,112.0,977,2016-04-02 20:58:24,2.3.0,,,1.0,Simple scala wrapper for HttpURLConnection. OAuth included.,,,29.0,15,True,3,,,,,,
180,simulacrum,typelevel/simulacrum,toolkits,https://github.com/typelevel/simulacrum,https://github.com/typelevel/simulacrum,BSD-3-Clause,2015-01-17 03:49:30,2023-01-21 08:35:21,2023-01-21 08:35:21,430,,62.0,34,161.0,28.0,45.0,939,2018-02-20 14:20:53,0.12.0,,,1.0,First class syntax support for type classes in Scala.,,,34.0,15,True,3,,['scalajs'],,,,
181,nscala-time,nscala-time/nscala-time,toolkits,https://github.com/nscala-time/nscala-time,https://github.com/nscala-time/nscala-time,Apache-2.0,2012-12-06 09:39:55,2023-09-04 23:39:31,2023-09-04 23:39:30,642,8.0,86.0,27,244.0,6.0,49.0,872,,,,,,A new Scala wrapper for Joda Time based on scala-time.,,,25.0,15,True,3,,"['scala3', 'scalajs']",,,,
182,vegas,vegas-viz/vegas,bigdata,https://github.com/vegas-viz/Vegas,https://github.com/vegas-viz/Vegas,MIT,2016-04-14 16:44:32,2022-01-30 23:39:05,2019-09-17 18:54:19,237,,104.0,45,77.0,54.0,54.0,727,2017-07-25 22:34:25,0.3.11,,,8.0,The missing MatPlotLib for Scala + Spark.,,,20.0,15,False,3,,,,,,
183,Laminar,raquo/Laminar,scala-js,https://github.com/raquo/Laminar,https://github.com/raquo/Laminar,MIT,2017-04-06 06:06:49,2023-07-13 05:58:32,2023-07-09 01:48:38,556,14.0,44.0,23,36.0,18.0,74.0,657,,,,,,"Simple, expressive, and safe UI library for Scala.js.",,,13.0,15,True,3,,"['scala3', 'scalajs']",,,,
184,scalafx,scalafx/scalafx,others,https://github.com/scalafx/scalafx,https://github.com/scalafx/scalafx,,2014-05-18 14:12:15,2023-04-04 23:54:43,2023-04-04 23:54:13,2025,,67.0,34,58.0,26.0,294.0,637,2023-04-04 23:52:55,.20.0.0-R31,264.0,2.0,31.0,ScalaFX simplifies creation of JavaFX-based user interfaces in Scala.,,,56.0,15,False,2,,['scala3'],,,,
185,play2-auth,t2v/play2-auth,sec,https://github.com/t2v/play2-auth,https://github.com/t2v/play2-auth,Apache-2.0,2012-04-23 16:27:14,2019-09-10 09:34:53,2017-10-18 15:44:31,261,,148.0,62,80.0,23.0,97.0,620,2015-08-27 05:10:50,release0.14.1,,,8.0,Play2.x Authentication and Authorization module.,,,22.0,15,False,2,,,,,,
186,decline,bkirwi/decline,others,https://github.com/bkirwi/decline,https://github.com/bkirwi/decline,Apache-2.0,2016-10-23 00:30:19,2023-08-15 13:28:37,2023-06-11 18:54:44,788,2.0,61.0,8,425.0,27.0,59.0,606,2021-12-12 22:36:45,2.2.0,,,8.0,A composable command-line parser for Scala.,,,34.0,15,True,2,,"['scala3', 'scalajs']",,,,
187,scala-graph,scala-graph/scala-graph,toolkits,https://github.com/scala-graph/scala-graph,https://github.com/scala-graph/scala-graph,Apache-2.0,2013-01-29 16:21:11,2023-08-26 04:52:18,2023-06-17 17:48:48,681,3.0,72.0,31,170.0,15.0,107.0,552,2022-05-28 07:23:56,1.13.5,,,1.0,Graph for Scala is intended to provide basic graph functionality seamlessly fitting into the Scala Collection Library...,,,18.0,15,True,3,,['scalajs'],,,,
188,cask,com-lihaoyi/cask,web-frameworks,https://github.com/com-lihaoyi/cask,https://github.com/com-lihaoyi/cask,,2018-07-20 00:48:20,2023-07-23 14:27:53,2023-07-23 14:27:52,296,1.0,45.0,12,47.0,9.0,34.0,459,2023-04-04 05:06:56,0.9.1,22245.0,364.0,77.0,Cask: a Scala HTTP micro-framework.,,,14.0,15,False,3,,"['scala3', 'scalajs']",,,,
189,larray,xerial/larray,toolkits,https://github.com/xerial/larray,https://github.com/xerial/larray,Apache-2.0,2013-03-18 01:19:50,2022-11-30 18:43:55,2022-11-25 09:52:48,465,,40.0,27,26.0,22.0,33.0,397,2016-12-14 04:07:48,0.4.0,,,3.0,Large off-heap arrays and mmap files for Scala and Java.,,,11.0,15,True,3,,,,,,
190,atto,tpolecat/atto,parsers,https://github.com/tpolecat/atto,https://github.com/tpolecat/atto,MIT,2013-09-04 20:34:40,2023-08-27 23:54:29,2022-07-07 03:03:10,588,,59.0,13,358.0,19.0,11.0,356,2021-05-14 18:36:22,0.9.5,,,2.0,friendly little parsers.,,,31.0,15,True,3,,"['scala3', 'scalajs']",,,,
191,tsec,jmcardon/tsec,sec,https://github.com/jmcardon/tsec,https://github.com/jmcardon/tsec,MIT,2017-08-04 20:25:11,2021-11-26 17:57:19,2021-08-24 04:44:55,841,,53.0,10,332.0,57.0,55.0,352,2019-04-23 03:46:29,0.1.0,,,11.0,Type-safe general-cryptography library - https://jmcardon.github.io/tsec/.,,,30.0,15,False,2,,['scala3'],,,,
192,kantan.csv,nrinaudo/kantan.csv,csv-yaml,https://github.com/nrinaudo/kantan.csv,https://github.com/nrinaudo/kantan.csv,Apache-2.0,2015-07-22 06:51:22,2023-08-26 00:25:21,2022-09-06 14:24:02,1028,,34.0,9,188.0,45.0,134.0,345,2019-06-04 07:25:39,0.5.1,,,12.0,CSV handling library for Scala.,,,9.0,15,True,2,,['scalajs'],,,,
193,sbt-git,sbt/sbt-git,sbt,https://github.com/sbt/sbt-git,https://github.com/sbt/sbt-git,BSD-2-Clause,2011-10-26 18:18:57,2023-06-22 17:17:58,2022-11-22 08:24:38,313,,95.0,16,127.0,27.0,81.0,343,2022-12-05 16:20:46,2.0.1,,,7.0,A git plugin for sbt.,,,50.0,15,True,3,,,,,,
194,scala-guice,codingwell/scala-guice,di,https://github.com/codingwell/scala-guice,https://github.com/codingwell/scala-guice,Apache-2.0,2012-03-17 06:02:25,2023-05-13 19:14:00,2023-05-13 19:14:00,278,,46.0,14,44.0,12.0,49.0,341,2023-03-12 18:12:58,5.1.1,,,8.0,Scala extensions for Google Guice.,,,26.0,15,True,3,,['scala3'],,,,
195,scala-activerecord,aselab/scala-activerecord,db-clients,https://github.com/aselab/scala-activerecord,https://github.com/aselab/scala-activerecord,MIT,2012-04-10 04:26:31,2021-01-08 00:05:38,2021-01-08 00:05:30,513,,31.0,35,12.0,20.0,62.0,323,2020-10-07 00:17:01,0.6.1,,,8.0,ActiveRecord-like ORM library for Scala.,,,9.0,15,False,3,,,,,,
196,scaldi,scaldi/scaldi,di,https://github.com/scaldi/scaldi,https://github.com/scaldi/scaldi,Apache-2.0,2010-05-17 17:14:02,2023-09-07 06:29:01,2022-06-08 15:18:06,506,,24.0,8,195.0,23.0,49.0,289,2021-07-27 19:27:16,0.6.2,,,16.0,Lightweight Scala Dependency Injection Library.,,,13.0,15,True,3,,,,,,
197,sbt-dependency-check,albuch/sbt-dependency-check,sbt,https://github.com/albuch/sbt-dependency-check,https://github.com/albuch/sbt-dependency-check,Apache-2.0,2016-01-12 09:14:44,2023-09-06 13:28:38,2023-05-06 07:09:46,621,,35.0,11,229.0,4.0,79.0,254,2023-03-05 11:31:58,5.1.0,,,46.0,SBT Plugin for OWASP DependencyCheck. Monitor your dependencies and report if there are any publicly known..,,,18.0,15,True,3,,,,,,
198,pprint,com-lihaoyi/pprint,others,https://github.com/com-lihaoyi/PPrint,https://github.com/com-lihaoyi/PPrint,MIT,2017-05-12 09:10:20,2023-09-05 15:30:59,2023-06-07 20:45:04,150,,35.0,6,76.0,13.0,21.0,204,2022-11-27 12:08:32,0.8.1,,,9.0,"Pretty-printing value, types and type-signatures in Scala.",,,18.0,15,True,2,,"['scala3', 'scalajs']",,,,
199,scrypto,input-output-hk/scrypto,sec,https://github.com/input-output-hk/scrypto,https://github.com/input-output-hk/scrypto,CC0-1.0,2015-12-22 17:38:21,2023-07-10 12:47:22,2023-03-01 09:26:40,1020,,51.0,23,85.0,7.0,15.0,196,2022-01-05 11:32:22,2.2.1,,,9.0,Cryptographic primitives for Scala.,,,24.0,15,False,2,,['scalajs'],,,,
200,iteratee,travisbrown/iteratee,reactive,https://github.com/travisbrown/iteratee,https://github.com/travisbrown/iteratee,Apache-2.0,2015-09-09 02:17:38,2023-08-30 00:57:57,2021-10-11 13:01:45,1019,,20.0,6,638.0,11.0,23.0,187,2021-06-09 12:56:34,0.20.0,,,31.0,Iteratees for Cats.,,,29.0,15,False,2,,"['scala3', 'scalajs']",,,,
201,minitest,monix/minitest,test,https://github.com/monix/minitest,https://github.com/monix/minitest,Apache-2.0,2014-12-16 01:17:08,2023-07-06 21:55:04,2021-11-28 09:54:57,394,,36.0,7,163.0,2.0,10.0,177,2021-05-13 19:30:08,2.9.6,,,13.0,The super light testing library for Scala and Scala.js.,,,23.0,15,False,3,,"['scala3', 'scalajs']",,,,
202,sbt-site,sbt/sbt-site,sbt,https://github.com/sbt/sbt-site,https://github.com/sbt/sbt-site,,2012-05-16 15:10:10,2023-08-19 18:13:51,2023-05-14 18:47:35,434,,75.0,17,133.0,27.0,53.0,176,2023-05-12 07:21:57,1.5.0,,,17.0,Site generation for sbt.,,,43.0,15,False,3,,,,,,
203,sbt-unidoc,sbt/sbt-unidoc,sbt,https://github.com/sbt/sbt-unidoc,https://github.com/sbt/sbt-unidoc,Apache-2.0,2013-05-16 06:40:23,2023-08-27 01:59:36,2023-08-27 01:59:36,166,4.0,27.0,13,92.0,23.0,35.0,123,2021-10-23 21:22:11,0.5.0,,,5.0,sbt plugin to create a unified Scaladoc or Javadoc API document across multiple subprojects.,,,23.0,15,True,3,,,,,,
204,openai-scala-client,cequence-io/openai-scala-client,sci,https://github.com/cequence-io/openai-scala-client,https://github.com/cequence-io/openai-scala-client,MIT,2023-01-25 10:09:04,2023-07-18 19:55:49,2023-07-18 19:55:45,177,104.0,9.0,7,16.0,9.0,19.0,116,2023-07-18 19:53:00,0.4.1,,,10.0,Scala client for OpenAI API.,2.0,,3.0,15,True,3,,['scala3'],io.cequence:openai-scala-client_2.13,https://search.maven.org/artifact/io.cequence/openai-scala-client_2.13,2023-07-18 15:14:18,2.0
205,zio-redis,zio/zio-redis,db-clients,https://github.com/zio/zio-redis,https://github.com/zio/zio-redis,Apache-2.0,2020-01-07 16:12:24,2023-09-07 11:09:57,2023-09-04 15:06:21,564,5.0,60.0,14,761.0,20.0,106.0,110,2023-03-28 12:22:41,0.2.0,,,2.0,A ZIO-based redis client.,,,38.0,15,True,3,-2.0,"['zio', 'scala3']",,,,
206,rescala,rescala-lang/rescala,reactive,https://github.com/rescala-lang/REScala,https://github.com/rescala-lang/REScala,Apache-2.0,2013-06-07 09:30:17,2023-09-05 13:15:15,2023-09-02 11:21:57,5367,184.0,25.0,14,34.0,,9.0,80,,,,,,REScala - distributed and reactive programming embedded in OO and FP programs.,,,28.0,15,True,2,,"['scala3', 'scalajs']",,,,
207,chronoscala,chronoscala/chronoscala,toolkits,https://github.com/chronoscala/chronoscala,https://github.com/chronoscala/chronoscala,MIT,2016-07-11 17:30:46,2023-08-28 08:26:50,2023-08-19 11:58:08,426,20.0,8.0,48,197.0,2.0,13.0,67,2023-08-19 12:02:11,2.0.9,,,10.0,A JSR-310 port of nscala_time.,,,10.0,15,True,3,,"['scala3', 'scalajs']",,,,
208,scala-redis,debasishg/scala-redis,db-clients,https://github.com/debasishg/scala-redis,https://github.com/debasishg/scala-redis,,2009-12-31 06:31:15,2023-01-25 21:39:14,2021-12-19 15:12:11,485,,222.0,62,150.0,76.0,82.0,1022,2021-11-02 15:19:32,3.42,,,11.0,"A scala library for connecting to a redis server, or a cluster of redis nodes using consistent hashing on the client..",,,72.0,14,False,3,,,,,,
209,sbt-android,scala-android/sbt-android,others,https://github.com/scala-android/sbt-android,https://github.com/scala-android/sbt-android,,2012-02-24 04:11:36,2020-12-03 18:44:05,2019-10-18 20:27:53,1284,,90.0,59,77.0,17.0,253.0,743,,,,,,An easy-to-use sbt plugin for working with all Android projects.,,,35.0,14,False,2,,,,,,
210,scalatags,com-lihaoyi/scalatags,templating,https://github.com/com-lihaoyi/scalatags,https://github.com/com-lihaoyi/scalatags,MIT,2012-11-01 21:35:17,2023-06-07 18:26:15,2023-06-07 18:26:14,602,,116.0,36,134.0,31.0,108.0,724,,,,,,ScalaTags is a small XML/HTML construction library for Scala.,,,61.0,14,True,3,,"['scala3', 'scalajs']",,,,
211,parboiled2,sirthias/parboiled2,parsers,https://github.com/sirthias/parboiled2,https://github.com/sirthias/parboiled2,,2013-04-18 10:48:21,2023-09-07 04:36:10,2023-09-07 04:36:09,915,22.0,88.0,26,340.0,37.0,117.0,713,,,,,,A macro-based PEG parser generator for Scala 2.10+.,,,36.0,14,False,3,,"['scala3', 'scalajs']",,,,
212,requests-scala,com-lihaoyi/requests-scala,http,https://github.com/com-lihaoyi/requests-scala,https://github.com/com-lihaoyi/requests-scala,,2018-07-19 11:06:17,2023-07-22 13:18:24,2022-12-25 14:15:38,165,,67.0,12,77.0,28.0,37.0,683,2022-12-25 14:57:04,0.8.0,,,6.0,"A Scala port of the popular Python Requests HTTP client: flexible, intuitive, and straightforward to use.",,,29.0,14,False,3,,['scala3'],,,,
213,scala-csv,tototoshi/scala-csv,csv-yaml,https://github.com/tototoshi/scala-csv,https://github.com/tototoshi/scala-csv,,2012-03-08 17:02:19,2023-09-07 18:04:03,2023-08-25 21:49:02,473,11.0,139.0,27,202.0,30.0,63.0,681,,,,,,CSV Reader/Writer for Scala.,,,34.0,14,False,2,,['scala3'],,,,
214,casbah,mongodb/casbah,db-clients,https://github.com/mongodb/casbah,https://github.com/mongodb/casbah,,2010-10-29 18:39:30,2022-01-20 16:56:00,2022-01-20 16:55:58,1108,,133.0,60,64.0,7.0,,526,,,,,,Casbah is now officially end-of-life (EOL).,,,36.0,14,False,3,,,,,,
215,scalameter,scalameter/scalameter,test,https://github.com/scalameter/scalameter,https://github.com/scalameter/scalameter,,2012-11-18 20:56:32,2022-08-22 09:03:55,2022-08-22 09:03:55,798,,70.0,29,130.0,47.0,65.0,503,,,,,,Microbenchmarking and performance regression testing framework for the JVM platform.,,,48.0,14,False,3,,,,,,
216,sbt-pack,xerial/sbt-pack,sbt,https://github.com/xerial/sbt-pack,https://github.com/xerial/sbt-pack,,2012-11-19 06:44:58,2023-09-05 16:42:49,2023-09-05 16:42:48,864,34.0,72.0,14,346.0,29.0,69.0,481,2022-11-24 02:03:25,0.17,,,12.0,A sbt plugin for creating distributable Scala packages.,,,36.0,14,False,3,,,,,,
217,utest,com-lihaoyi/utest,test,https://github.com/com-lihaoyi/utest,https://github.com/com-lihaoyi/utest,,2014-01-27 03:12:39,2023-08-29 14:56:15,2023-04-29 21:54:02,687,,80.0,15,170.0,28.0,106.0,476,2022-09-06 22:28:12,0.8.1,,,8.0,A simple testing framework for Scala.,,,48.0,14,False,3,,"['scala3', 'scalajs']",,,,
218,play-pac4j,pac4j/play-pac4j,sec,https://github.com/pac4j/play-pac4j,https://github.com/pac4j/play-pac4j,Apache-2.0,2012-11-10 08:19:26,2023-09-07 06:20:08,2023-09-07 06:20:05,922,7.0,102.0,25,402.0,1.0,,397,,,,,,"Security library for Play framework 2 in Java and Scala: OAuth, CAS, SAML, OpenID Connect, LDAP, JWT...",,,47.0,14,True,3,,,,,,
219,hamsters,scala-hamsters/hamsters,toolkits,https://github.com/scala-hamsters/hamsters,https://github.com/scala-hamsters/hamsters,Apache-2.0,2016-04-18 13:12:24,2020-12-19 17:54:15,2020-02-25 09:53:53,587,,26.0,22,70.0,5.0,61.0,294,,,,,,A mini Scala utility library.,,,24.0,14,False,3,,['scalajs'],,,,
220,banana-rdf,banana-rdf/banana-rdf,others,https://github.com/banana-rdf/banana-rdf,https://github.com/banana-rdf/banana-rdf,,2012-04-30 03:02:56,2023-07-11 15:24:27,2021-10-29 02:29:24,1342,,66.0,32,194.0,99.0,90.0,294,,,,,,Banana RDF.,,,30.0,14,False,2,,['scalajs'],,,,
221,scalaprops,scalaprops/scalaprops,test,https://github.com/scalaprops/scalaprops,https://github.com/scalaprops/scalaprops,MIT,2015-05-05 03:19:11,2023-09-06 18:51:48,2023-09-06 00:44:00,1203,23.0,21.0,13,359.0,8.0,12.0,275,,,,,,property based testing library for Scala.,,,12.0,14,True,3,,"['scala3', 'scalajs']",,,,
222,scalajs-angular,greencatsoft/scalajs-angular,scala-js,https://github.com/greencatsoft/scalajs-angular,https://github.com/greencatsoft/scalajs-angular,Apache-2.0,2014-07-20 06:46:33,2021-01-18 09:51:02,2021-01-18 09:49:36,349,,43.0,25,60.0,18.0,39.0,259,2015-02-04 12:43:03,0.3,,,2.0,AngularJS Binding for Scala.js.,,,18.0,14,False,3,,['scalajs'],,,,
223,chaos,mesosphere/chaos,web-frameworks,https://github.com/mesosphere/chaos,https://github.com/mesosphere/chaos,Apache-2.0,2013-06-25 14:53:40,2019-04-15 12:17:35,2019-04-15 12:17:21,224,,36.0,153,52.0,13.0,15.0,251,2017-04-05 09:50:47,0.8.8,,,1.0,A lightweight framework for writing REST services in Scala.,,,20.0,14,False,3,,,,,,
224,scalajs-bundler,scalacenter/scalajs-bundler,scala-js,https://github.com/scalacenter/scalajs-bundler,https://github.com/scalacenter/scalajs-bundler,,2016-09-21 12:18:53,2023-07-06 00:26:01,2023-05-03 03:11:16,534,,98.0,24,257.0,88.0,133.0,232,2022-11-14 16:00:20,0.21.1,,,13.0,,,,49.0,14,False,3,,,,,,
225,nodejs,scalajs-io/nodejs,scala-js,https://github.com/scalajs-io/nodejs,https://github.com/scalajs-io/nodejs,Apache-2.0,2016-04-09 01:52:17,2023-05-20 00:10:23,2019-06-17 23:00:05,209,,25.0,15,8.0,5.0,14.0,161,2017-10-14 23:09:17,0.4.2,7934.0,89.0,49.0,This project provides Scala.js type-safe bindings for Node.js (current) v8.7.0 and LTS v6.11.4 APIs. The platform..,,,4.0,14,False,3,,['scalajs'],,,,
226,clickhouse-scala-client,crobox/clickhouse-scala-client,db-clients,https://github.com/crobox/clickhouse-scala-client,https://github.com/crobox/clickhouse-scala-client,LGPL-3.0,2017-03-31 13:40:12,2023-08-29 11:41:38,2023-08-29 11:41:02,879,11.0,21.0,10,114.0,13.0,20.0,110,2023-08-29 11:58:56,1.0.18,,,48.0,Clickhouse Scala Client with Reactive Streams support.,,,16.0,14,True,3,,,,,,
227,sbt-api-mappings,ThoughtWorksInc/sbt-api-mappings,sbt,https://github.com/ThoughtWorksInc/sbt-api-mappings,https://github.com/ThoughtWorksInc/sbt-api-mappings,Apache-2.0,2015-07-10 16:28:55,2023-08-27 23:44:55,2023-07-15 18:48:14,500,16.0,17.0,33,153.0,8.0,6.0,88,2022-03-19 19:01:11,3.0.2,,,8.0,An Sbt plugin that fills apiMappings for common Scala libraries.,,,12.0,14,True,3,,,,,,
228,finagle-postgres,finagle/finagle-postgres,db-clients,https://github.com/finagle/finagle-postgres,https://github.com/finagle/finagle-postgres,Apache-2.0,2015-03-10 16:01:08,2023-09-05 22:07:32,2021-06-02 20:15:58,486,,40.0,9,287.0,15.0,25.0,83,2021-04-23 22:46:03,0.13,,,16.0,PostgreSQL protocol support for Finagle.,,,34.0,14,False,3,,,,,,
229,enableIf.scala,ThoughtWorksInc/enableIf.scala,toolkits,https://github.com/ThoughtWorksInc/enableIf.scala,https://github.com/ThoughtWorksInc/enableIf.scala,Apache-2.0,2016-04-13 14:26:48,2023-08-27 23:44:20,2023-07-02 02:55:58,438,15.0,5.0,28,122.0,5.0,5.0,65,2022-04-02 07:19:04,1.1.8,,,3.0,"A library that toggles Scala code at compile-time, like #if in C/C++.",,,6.0,14,True,3,,,,,,
230,scaloid,pocorall/scaloid,others,https://github.com/pocorall/scaloid,https://github.com/pocorall/scaloid,,2012-10-08 05:53:22,2018-08-07 08:10:53,2018-08-06 09:36:17,895,,171.0,139,58.0,18.0,78.0,2100,2016-03-09 01:14:23,4.2,,,1.0,Scaloid makes your Android code easy to understand and maintain.,,,19.0,13,False,2,,,,,,
231,sbt-revolver,spray/sbt-revolver,sbt,https://github.com/spray/sbt-revolver,https://github.com/spray/sbt-revolver,Apache-2.0,2011-12-15 10:04:49,2023-04-08 09:28:56,2023-04-08 09:16:34,170,,54.0,22,31.0,21.0,64.0,833,,,,,,An SBT plugin for dangerously fast development turnaround in Scala.,,,16.0,13,True,3,,,,,,
232,tut,tpolecat/tut,sbt,https://github.com/tpolecat/tut,https://github.com/tpolecat/tut,MIT,2013-10-25 21:41:48,2021-04-12 21:20:42,2021-04-12 21:20:42,454,,62.0,19,150.0,63.0,52.0,595,,,,,,doc/tutorial generator for scala.,,,38.0,13,False,3,,,,,,
233,splain,tek/splain,sbt,https://github.com/tek/splain,https://github.com/tek/splain,MIT,2016-12-18 00:02:41,2023-09-02 23:17:40,2023-06-10 19:39:20,343,1.0,29.0,11,47.0,13.0,44.0,367,2023-06-26 18:21:33,Release/1.0.2-2.13.11,169.0,2.0,22.0,better implicit errors for scala.,,,18.0,13,True,3,,,,,,
234,scala-clippy,softwaremill/scala-clippy,sbt,https://github.com/softwaremill/scala-clippy,https://github.com/softwaremill/scala-clippy,Apache-2.0,2015-12-19 20:13:21,2019-03-14 17:25:51,2019-03-14 11:17:52,260,,20.0,19,29.0,14.0,22.0,315,2019-03-14 17:25:51,0.6.1,,,20.0,Good advice for Scala compiler errors.,,,8.0,13,False,3,,,,,,
235,op-rabbit,spingo/op-rabbit,others,https://github.com/SpinGo/op-rabbit,https://github.com/SpinGo/op-rabbit,,2015-05-11 02:09:44,2021-10-28 21:40:36,2020-03-07 23:06:30,345,,74.0,14,59.0,37.0,107.0,238,2018-02-03 17:34:07,2.1.0,,,2.0,The Opinionated RabbitMQ Library for Scala and Akka.,,,38.0,13,False,2,,,,,,
236,fansi,com-lihaoyi/fansi,others,https://github.com/com-lihaoyi/fansi,https://github.com/com-lihaoyi/fansi,,2016-05-26 00:43:32,2023-08-31 08:55:10,2023-08-31 08:55:10,137,1.0,24.0,7,56.0,10.0,10.0,220,2022-07-09 10:59:51,0.4.0,,,6.0,Scala/Scala.js library for manipulating Fancy Ansi colored strings.,,,14.0,13,False,2,,"['scala3', 'scalajs']",,,,
237,relate,lucidsoftware/relate,db-clients,https://github.com/lucidsoftware/relate,https://github.com/lucidsoftware/relate,Apache-2.0,2014-05-19 19:18:32,2023-06-08 05:08:55,2023-06-08 05:08:55,289,,17.0,45,58.0,12.0,12.0,164,2020-07-22 20:01:31,3.0.0,1569.0,15.0,12.0,Performant database access in Scala.,,,18.0,13,True,3,,,,,,
238,scredis,Livestream/scredis,db-clients,https://github.com/Livestream/scredis,https://github.com/Livestream/scredis,Apache-2.0,2013-02-27 16:13:18,2018-06-21 20:42:37,2018-06-21 20:42:37,147,,17.0,35,8.0,1.0,51.0,153,2014-12-16 16:04:30,2.0.6,,,24.0,"Non-blocking, ultra-fast Scala Redis client built on top of Akka IO, used in production at Livestream.",,,7.0,13,False,3,,,,,,
239,onnx-scala,emergentorder/onnx-scala,sci,https://github.com/EmergentOrder/onnx-scala,https://github.com/EmergentOrder/onnx-scala,AGPL-3.0,2018-08-15 00:20:30,2023-09-06 18:44:02,2023-07-31 19:12:05,1350,38.0,10.0,8,409.0,2.0,8.0,132,2022-12-22 18:12:39,0.17.0,,,13.0,"An ONNX (Open Neural Network eXchange) API and backend for typeful, functional deep learning and classical machine..",,,4.0,13,True,3,,"['scala3', 'scalajs']",,,,
