,name,github_id,category,homepage,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,show,projectrank_placing,maven_id,labels,dependent_project_count,github_dependent_project_count,maven_url,maven_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,maven_dependent_project_count,trending
296,scowl,phenoscape/scowl,others,https://github.com/phenoscape/scowl,3.0,https://github.com/phenoscape/scowl,MIT,2013-05-10 18:08:52.000,2024-07-10 18:34:34,8,8.0,13.0,60.0,A Scala DSL for programming with the OWL API.,False,3.0,,['scala3'],,,,,,,,,
297,lucene4s,outr/lucene4s,db-clients,https://github.com/outr/lucene4s,6.0,https://github.com/outr/lucene4s,MIT,2016-10-11 18:40:58.000,2025-02-01 15:45:45,8,19.0,3.0,53.0,Light-weight convenience wrapper around Lucene to simplify complex tasks and add Scala sugar.,True,3.0,,"['scala3', 'scalajs']",,,,,,,,,
298,lomrf,anskarl/lomrf,sci,https://github.com/anskarl/lomrf,9.0,https://github.com/anskarl/lomrf,LGPL-3.0,2014-05-24 22:29:28.000,2018-04-30 20:57:33,8,16.0,,49.0,LoMRF is an open-source implementation of Markov Logic Networks.,False,3.0,,,,,,,,,,,
299,freedsl,ISCPIF/freedsl,toolkits,https://github.com/ISCPIF/freedsl,2.0,https://github.com/ISCPIF/freedsl,,2016-10-27 16:19:11.000,2018-09-12 13:19:12,8,1.0,,36.0,Practical effect composition library based on abstract wrapping type and the free monad.,False,3.0,,,,,,,,,,,
300,poppet,yakivy/poppet,distributed,https://github.com/yakivy/poppet,2.0,https://github.com/yakivy/poppet,MIT,2020-05-12 14:32:28.000,2024-06-14 14:40:35,8,2.0,,25.0,"Minimal, type-safe RPC Scala library.",False,3.0,,"['scala3', 'scalajs']",,,,,,,,,
301,jose,blackdoor/jose,sec,https://github.com/blackdoor/jose,5.0,https://github.com/blackdoor/jose,Unlicense,2018-11-05 17:36:11.000,2026-04-06 21:06:06,8,6.0,14.0,16.0,Extensible JOSE library for Scala.,True,3.0,,['scala3'],,,,,,,,,
302,scalatex,lihaoyi/scalatex,env,https://github.com/lihaoyi/scalatex,16.0,https://github.com/lihaoyi/scalatex,,2014-12-19 04:14:12.000,2020-02-21 06:44:18,7,38.0,29.0,290.0,"Programmable, Typesafe Document Generation.",False,2.0,,['scalajs'],,,,,,,,,
303,scalajs-bundler,scalacenter/scalajs-bundler,scala-js,https://github.com/scalacenter/scalajs-bundler,52.0,https://github.com/scalacenter/scalajs-bundler,,2016-09-21 12:18:53.000,2024-01-17 00:17:15,7,103.0,97.0,232.0,,False,3.0,,,,,,,,,,,
304,reactive,nafg/reactive,web-frameworks,https://github.com/nafg/reactive,11.0,https://github.com/nafg/reactive,,2010-05-27 23:21:42.000,2016-07-03 20:48:06,7,41.0,29.0,199.0,A simple FRP library and a web UI framework built on it.,False,3.0,,['scalajs'],,,,,,,,,
305,libra,to-ithaca/libra,sci,https://github.com/to-ithaca/libra,10.0,https://github.com/to-ithaca/libra,,2017-03-01 13:42:38.000,2020-07-24 03:01:49,7,26.0,25.0,192.0,A dimensional analysis library based on dependent types.,False,3.0,,['scalajs'],,,,,,,,,
306,scala-forklift,lastland/scala-forklift,db-clients,https://github.com/lastland/scala-forklift,11.0,https://github.com/lastland/scala-forklift,,2015-08-18 16:26:21.000,2020-04-24 20:26:19,7,26.0,13.0,175.0,"Type-safe data migration tool for Slick, Git and beyond.",False,3.0,,,,,,,,,,,
307,sbt-pgp,sbt/sbt-pgp,sbt,https://github.com/sbt/sbt-pgp,37.0,https://github.com/sbt/sbt-pgp,,2011-09-08 15:58:10.000,2025-08-12 10:30:53,7,55.0,19.0,148.0,PGP plugin for sbt.,False,3.0,,,,,,,,,,,
308,sbt-groll,sbt/sbt-groll,sbt,https://github.com/sbt/sbt-groll,8.0,https://github.com/sbt/sbt-groll,Apache-2.0,2012-10-21 20:43:30.000,2021-12-17 12:41:12,7,7.0,1.0,132.0,sbt plugin to roll the Git history.,False,3.0,,,,,,,,,,,
309,beard,zalando/beard,templating,https://github.com/zalando/beard,25.0,https://github.com/zalando/beard,,2015-07-09 09:11:25.000,2023-11-13 14:22:01,7,28.0,,122.0,"A lightweight, logicless templating engine, written in Scala and inspired by Mustache.",False,3.0,,,,,,,,,,,
310,Freasy-Monad,Thangiee/Freasy-Monad,toolkits,https://github.com/Thangiee/Freasy-Monad,4.0,https://github.com/Thangiee/Freasy-Monad,MIT,2016-09-05 06:07:02.000,2018-06-15 23:31:10,7,6.0,,115.0,Easy way to create Free Monad using Scala macros with first-class Intellij support.,False,3.0,,['scalajs'],,,,,,,,,
311,onnx-scala,emergentorder/onnx-scala,sci,https://github.com/emergentorder/onnx-scala,4.0,https://github.com/emergentorder/onnx-scala,AGPL-3.0,2018-08-15 00:20:30.000,2022-12-26 14:42:13,7,8.0,2.0,112.0,"An ONNX (Open Neural Network eXchange) API and backend for typeful, functional deep learning and classical machine..",False,3.0,,"['scala3', 'scalajs']",,,,,,,,,
312,schemer,indix/schemer,bigdata,https://github.com/indix/schemer,4.0,https://github.com/indix/schemer,Apache-2.0,2017-11-24 10:35:28.000,2020-03-05 19:19:48,7,6.0,,111.0,"Schema registry for CSV, TSV, JSON, AVRO and Parquet schema. Supports schema inference and GraphQL API.",False,3.0,,,,,,,,,,,
313,shade,monix/shade,db-clients,https://github.com/monix/shade,12.0,https://github.com/monix/shade,MIT,2013-06-24 11:30:05.000,2021-03-18 23:25:57,7,19.0,13.0,107.0,Memcached client for Scala.,False,3.0,,,,,,,,,,,
314,scala-trace-debug,johnreedlol/scala-trace-debug,env,https://github.com/johnreedlol/scala-trace-debug,3.0,https://github.com/johnreedlol/scala-trace-debug,MIT,2016-03-24 06:33:02.000,2017-04-21 15:30:20,7,4.0,3.0,107.0,Macro based print debugging. Locates log statements in your IDE.,False,2.0,,,,,,,,,,,
315,msgpack-scala,msgpack/msgpack-scala,data,https://github.com/msgpack/msgpack-scala,8.0,https://github.com/msgpack/msgpack-scala,,2011-10-18 05:54:24.000,2018-06-14 09:56:10,7,29.0,8.0,93.0,MessagePack serializer implementation for Scala / msgpack.org[Scala].,False,3.0,,,,,,,,,,,
316,sbt-javacv,bytedeco/sbt-javacv,media,https://github.com/bytedeco/sbt-javacv,4.0,https://github.com/bytedeco/sbt-javacv,MIT,2016-03-20 10:10:42.000,2018-12-22 14:05:22,7,14.0,1.0,92.0,"Start using OpenCV in your JVM project in just 1 line, no separate compiling, installing OpenCV, or fussing with your..",False,3.0,,,,,,,,,,,
317,fast-string-interpolator,plokhotnyuk/fast-string-interpolator,env,https://github.com/plokhotnyuk/fast-string-interpolator,7.0,https://github.com/plokhotnyuk/fast-string-interpolator,Apache-2.0,2018-03-06 17:45:04.000,2025-03-18 03:22:16,7,7.0,11.0,92.0,Scala macro that generates ultra-fast string interpolators.,True,2.0,,"['scala3', 'scalajs']",,,,,,,,,
318,sbt-ghpages,sbt/sbt-ghpages,sbt,https://github.com/sbt/sbt-ghpages,20.0,https://github.com/sbt/sbt-ghpages,,2012-05-16 15:21:19.000,2025-09-07 01:07:12,7,20.0,23.0,91.0,"git, site and ghpages support for sbt projects.",False,3.0,,,,,,,,,,,
319,blindsight,tersesystems/blindsight,logging,https://github.com/tersesystems/blindsight,3.0,https://github.com/tersesystems/blindsight,,2020-03-16 03:06:57.000,2024-08-14 04:37:04,7,6.0,40.0,87.0,"Blindsight is a Scala logging API with DSL based structured logging, fluent logging, semantic logging, flow logging,..",False,3.0,,['scala3'],,,,,,,,,
320,aws4s,aws4s/aws4s,others,https://github.com/aws4s/aws4s,1.0,https://github.com/aws4s/aws4s,MIT,2017-12-03 14:49:45.000,2018-06-20 20:31:43,7,12.0,9.0,87.0,"Non-blocking AWS SDK for Scala exposing strongly-typed APIs built on top of http4s, fs2 and cats.",False,3.0,,,,,,,,,,,
321,osm4scala,simplexspatial/osm4scala,others,https://github.com/simplexspatial/osm4scala,4.0,https://github.com/simplexspatial/osm4scala,MIT,2016-05-17 20:15:23.000,2025-11-27 08:32:55,7,19.0,35.0,86.0,Scala and Spark library focused on reading OpenStreetMap Pbf files.,True,3.0,,,,,,,,,,,
322,franklin,azavea/franklin,others,https://github.com/azavea/franklin,13.0,https://github.com/azavea/franklin,Apache-2.0,2019-11-05 11:43:39.000,2025-07-23 13:35:35,7,18.0,109.0,82.0,A STAC/OGC API Features Web Service.,True,3.0,,,,,,,,,,,
323,vertx-lang-scala,vert-x3/vertx-lang-scala,reactive,https://github.com/vert-x3/vertx-lang-scala,21.0,https://github.com/vert-x3/vertx-lang-scala,,2014-11-04 12:04:52.000,2018-12-18 13:32:47,7,26.0,10.0,79.0,Vert.x for Scala.,False,3.0,,,,,,,,,,,
324,sbt-ide-settings,Jetbrains/sbt-ide-settings,sbt,https://github.com/Jetbrains/sbt-ide-settings,8.0,https://github.com/Jetbrains/sbt-ide-settings,Apache-2.0,2015-02-13 12:06:38.000,2026-03-02 21:46:46,7,7.0,9.0,69.0,SBT plugin for tweaking various IDE settings.,True,3.0,,,,,,,,,,,
325,couchdb-scala,beloglazov/couchdb-scala,db-clients,https://github.com/beloglazov/couchdb-scala,2.0,https://github.com/beloglazov/couchdb-scala,Apache-2.0,2015-01-15 23:10:06.000,2017-11-08 17:13:26,7,16.0,12.0,63.0,A purely functional Scala client for CouchDB.,False,3.0,,,,,,,,,,,
326,scallion,epfl-lara/scallion,parsers,https://github.com/epfl-lara/scallion,9.0,https://github.com/epfl-lara/scallion,Apache-2.0,2019-05-24 20:22:52.000,2025-09-02 13:05:32,7,14.0,3.0,61.0,LL(1) parser combinators in Scala.,True,3.0,,,,,,,,,,,
327,scalarelational,outr/scalarelational,db-clients,https://github.com/outr/scalarelational,7.0,https://github.com/outr/scalarelational,,2013-11-01 17:14:15.000,2019-03-06 15:28:00,7,9.0,15.0,55.0,"Type-Safe framework for defining, modifying, and querying SQL databases.",False,3.0,,,,,,,,,,,
328,glokka,xitrum-framework/glokka,distributed,https://github.com/xitrum-framework/glokka,3.0,https://github.com/xitrum-framework/glokka,MIT,2013-07-15 21:36:00.000,2025-06-21 22:28:46,7,4.0,4.0,55.0,Library to register and lookup actors by names in an Akka cluster.,True,3.0,,,,,,,,,,,
329,fields,jap-company/fields,data,https://github.com/jap-company/fields,1.0,https://github.com/jap-company/fields,Apache-2.0,2022-05-29 10:37:51.000,2026-07-20 23:46:10,7,3.0,6.0,49.0,Scala validation library.,True,3.0,,['scala3'],,,,,,,,,
330,dregex,marianobarrios/dregex,env,https://github.com/marianobarrios/dregex,5.0,https://github.com/marianobarrios/dregex,BSD-2-Clause,2014-05-20 22:38:39.000,2024-04-12 17:15:36,7,4.0,1.0,42.0,dregex is a Java library that implements a regular expression engine using deterministic finite automata (DFA). It..,False,2.0,,,,,,,,,,,
331,scaposer,xitrum-framework/scaposer,others,https://github.com/xitrum-framework/scaposer,9.0,https://github.com/xitrum-framework/scaposer,MIT,2011-09-09 01:02:13.000,2025-06-21 21:23:15,7,7.0,4.0,38.0,GNU Gettext .po file loader for Scala.,True,3.0,,,,,,,,,,,
332,sbt-scala-js-map,ThoughtWorksInc/sbt-scala-js-map,sbt,https://github.com/ThoughtWorksInc/sbt-scala-js-map,4.0,https://github.com/ThoughtWorksInc/sbt-scala-js-map,Apache-2.0,2016-04-12 18:38:07.000,2025-01-05 00:11:06,7,3.0,8.0,36.0,A Sbt plugin that configures source mapping for Scala.js projects hosted on Github.,True,3.0,,['scalajs'],,,,,,,,,
333,media4s,outr/media4s,media,https://github.com/outr/media4s,3.0,https://github.com/outr/media4s,MIT,2016-09-28 20:04:06.000,2024-12-21 16:08:49,7,4.0,,34.0,"Scala command-line wrapper around ffmpeg, ffprobe, ImageMagick, and other tools relating to media.",False,3.0,,,,,,,,,,,
334,proto,zero-deps/proto,data,https://github.com/zero-deps/proto,9.0,https://github.com/zero-deps/proto,MIT,2019-03-15 13:27:19.000,2024-09-21 15:43:43,7,3.0,,33.0,Lightweight and fast serialization library for Scala 2/3 based on Protocol Buffers with macros.,False,3.0,,['scala3'],,,,,,,,,
335,sbt-json,battermann/sbt-json,json,https://github.com/battermann/sbt-json,3.0,https://github.com/battermann/sbt-json,MIT,2017-08-16 16:28:39.000,2018-05-29 20:34:36,7,4.0,1.0,31.0,"sbt plugin that generates Scala case classes for easy, statically typed and implicit access of JSON data e.g. from API..",False,3.0,,,,,,,,,,,
336,sbt-deploy-ssh,shmishleniy/sbt-deploy-ssh,sbt,https://github.com/shmishleniy/sbt-deploy-ssh,6.0,https://github.com/shmishleniy/sbt-deploy-ssh,MIT,2015-01-16 12:38:45.000,2021-04-28 13:50:29,7,3.0,1.0,27.0,SBT deploy plugin.,False,3.0,,,,,,,,,,,
337,etcd4s,mingchuno/etcd4s,db-clients,https://github.com/mingchuno/etcd4s,4.0,https://github.com/mingchuno/etcd4s,MIT,2017-11-17 11:26:19.000,2021-01-11 02:51:11,7,3.0,2.0,26.0,Scala etcd client implementing V3 APIs.,False,3.0,,,,,,,,,,,1.0
338,ReactiveCouchbase-rs-core,ReactiveCouchbase/ReactiveCouchbase-rs-core,db-clients,https://github.com/ReactiveCouchbase/ReactiveCouchbase-rs-core,8.0,https://github.com/ReactiveCouchbase/ReactiveCouchbase-rs-core,Apache-2.0,2017-02-08 08:16:45.000,2018-04-23 09:37:17,7,10.0,8.0,26.0,New ReactiveCouchbase driver using reactive-streams.,False,3.0,,,,,,,,,,,
339,scala-xgettext,xitrum-framework/scala-xgettext,others,https://github.com/xitrum-framework/scala-xgettext,8.0,https://github.com/xitrum-framework/scala-xgettext,MIT,2013-01-04 10:12:48.000,2021-01-17 01:44:53,7,11.0,3.0,25.0,Scala compiler plugin that acts like GNU xgettext command to extract i18n strings in Scala source code files to..,False,3.0,,,,,,,,,,,
340,OAuth2-mock-play,zalando-stups/OAuth2-mock-play,sec,https://github.com/zalando-stups/OAuth2-mock-play,8.0,https://github.com/zalando-stups/OAuth2-mock-play,MIT,2016-06-01 12:50:40.000,2019-04-10 09:30:03,7,4.0,3.0,25.0,An implementation of an OAuth2 server designed for mocking/testing.,False,3.0,,,,,,,,,,,
341,scala-phash,poslegm/scala-phash,media,https://github.com/poslegm/scala-phash,3.0,https://github.com/poslegm/scala-phash,MIT,2017-03-17 05:59:47.000,2020-07-22 10:26:17,7,3.0,1.0,22.0,Image comparison by hash codes.,False,3.0,,,,,,,,,,,
