,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,maven_id,maven_url,new_addition,dependent_project_count,github_dependent_project_count,updated_github_id,trending,labels
13,doobie,tpolecat/doobie,db-clients,https://github.com/tpolecat/doobie,https://github.com/tpolecat/doobie,MIT,2013-11-25 07:25:20,2023-04-03 09:20:17,2023-04-03 09:20:17,3218,72.0,330.0,68,1325.0,139.0,369.0,2042,2022-01-31 22:59:44,1.0.0-RC2,16.0,Functional JDBC layer for Scala.,159.0,24,True,1,,,,,,,,,,
14,sangria,sangria-graphql/sangria,misc,https://github.com/sangria-graphql/sangria,https://github.com/sangria-graphql/sangria,Apache-2.0,2015-07-05 21:29:30,2023-04-03 07:22:55,2023-03-31 18:05:32,1932,98.0,204.0,61,540.0,47.0,401.0,1935,2023-03-09 16:07:42,3.5.3,77.0,Scala GraphQL implementation.,62.0,24,True,1,,,,,,,,,,
15,finatra,twitter/finatra,web-frameworks,https://github.com/twitter/finatra,https://github.com/twitter/finatra,Apache-2.0,2012-02-16 23:55:29,2023-04-03 18:12:01,2023-04-03 18:12:00,2644,9.0,400.0,216,264.0,11.0,309.0,2246,2022-12-26 14:40:15,finatra-22.12.0,92.0,"Fast, testable, Scala services built on TwitterServer and Finagle.",251.0,23,True,1,,,,,,,,,-1.0,
16,Monocle,julien-truffaut/Monocle,toolkits,https://github.com/optics-dev/Monocle,https://github.com/optics-dev/Monocle,MIT,2014-01-17 19:49:22,2023-03-30 21:24:36,2023-03-30 21:07:22,2102,14.0,195.0,51,970.0,44.0,329.0,1573,2023-01-03 14:12:47,3.2.0,9.0,Optics library for Scala.,124.0,23,True,1,,,,,,,,optics-dev/Monocle,,
17,sbt-native-packager,sbt/sbt-native-packager,sbt,https://github.com/sbt/sbt-native-packager,https://github.com/sbt/sbt-native-packager,BSD-2-Clause,2011-12-20 02:04:49,2023-02-20 17:49:36,2023-02-19 16:51:47,1691,6.0,425.0,58,746.0,129.0,645.0,1559,2023-02-20 17:55:37,1.9.16,100.0,sbt Native Packager.,267.0,23,True,1,,,,,,,,,,
18,akka-http,akka/akka-http,http,https://github.com/akka/akka-http,https://github.com/akka/akka-http,,2016-08-19 11:33:36,2023-03-13 07:57:51,2023-03-13 07:57:50,4359,19.0,590.0,79,2319.0,561.0,1358.0,1318,2023-02-21 15:49:57,10.5.0,55.0,The Streaming-first HTTP server/module of Akka.,350.0,23,False,2,,,,,True,,,,,
19,scalameta,scalameta/scalameta,toolkits,https://github.com/scalameta/scalameta,https://github.com/scalameta/scalameta,BSD-3-Clause,2014-06-16 23:00:32,2023-03-30 15:00:59,2023-03-30 15:00:59,7658,90.0,207.0,43,1964.0,140.0,996.0,1027,2023-03-16 17:37:22,4.7.6,100.0,"Library to read, analyze, transform and generate Scala programs.",108.0,23,True,1,,,,,,,,,,
20,izumi,7mind/izumi,toolkits,https://github.com/7mind/izumi,https://github.com/7mind/izumi,BSD-2-Clause,2017-11-03 10:39:42,2023-04-05 16:25:55,2023-04-05 16:25:52,4254,192.0,55.0,22,1430.0,53.0,381.0,560,2023-03-29 12:07:54,1.1.0-M19,66.0,Productivity-oriented collection of lightweight fancy stuff for Scala toolchain.,30.0,23,True,1,,,,,,,,,,
21,scalacheck,typelevel/scalacheck,test,https://github.com/typelevel/scalacheck,https://github.com/typelevel/scalacheck,BSD-3-Clause,2011-05-26 11:44:12,2023-03-29 10:52:06,2023-03-25 21:46:17,1934,21.0,374.0,58,618.0,47.0,286.0,1862,2022-09-15 23:24:43,1.17.0,10.0,Property-based testing for Scala.,135.0,22,True,1,,,,,True,,,,,
22,refined,fthomas/refined,toolkits,https://github.com/fthomas/refined,https://github.com/fthomas/refined,MIT,2015-05-10 16:23:16,2023-03-30 17:06:38,2023-03-30 17:06:38,3020,69.0,147.0,29,964.0,58.0,147.0,1607,2023-03-22 07:06:48,0.10.3,67.0,Refinement types for Scala.,75.0,22,True,2,,,,,,,,,,
