,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id,trending
0,gitbucket,gitbucket/gitbucket,development-cycle,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2025-06-11 10:52:43,2025-06-11 10:52:43,6123.0,31.0,1251.0,449.0,1971.0,359.0,1464.0,9257,2025-01-20 15:47:10,4.42.1,473159.0,3531.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",21.0,21.0,199.0,33,True,1,,,,,,,
1,sbt,sbt/sbt,development-cycle,https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2025-06-11 14:22:30,2025-06-11 14:22:30,12311.0,53.0,951.0,165.0,3555.0,815.0,3620.0,4845,2025-06-07 20:37:36,1.11.2,25802911.0,358373.0,100.0,"sbt, the interactive build tool.",,,429.0,33,True,1,['scala3'],,,,,,
2,zio,zio/zio,toolkits,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2025-06-12 15:24:27,2025-06-12 14:53:18,8294.0,188.0,1351.0,109.0,7209.0,148.0,2586.0,4216,2025-05-30 06:07:33,2.1.19,,,103.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",1296.0,,748.0,33,True,1,"['scala3', 'scalajs']",dev.zio:zio_2.13,https://search.maven.org/artifact/dev.zio/zio_2.13,2025-05-30 06:07:33,1296.0,,
3,playframework,playframework/playframework,web-frameworks,https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2025-06-10 17:51:18,2025-06-10 08:19:05,14191.0,105.0,4096.0,620.0,9240.0,476.0,3389.0,12582,2025-05-20 12:29:09,2.2.6,285.0,2.0,100.0,The Community Maintained High Velocity Web Framework For Java and Scala.,87.0,21.0,986.0,32,True,1,"['scala3', 'scalajs']",com.typesafe.play:play_3,https://search.maven.org/artifact/com.typesafe.play/play_3,2025-03-12 23:53:13,66.0,,
4,coursier,coursier/coursier,sbt,https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2025-06-10 14:06:20,2025-06-06 18:26:59,4962.0,123.0,321.0,56.0,2234.0,437.0,760.0,2084,2025-01-09 20:59:06,2.1.24,17470839.0,286407.0,100.0,Pure Scala Artifact Fetching.,,,153.0,30,True,1,['scalajs'],,,,,,
5,kafka,apache/kafka,distributed,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2025-06-12 16:45:36,2025-06-12 16:37:07,15910.0,585.0,14442.0,1053.0,19953.0,243.0,,30259,,,,,,Mirror of Apache Kafka.,25.0,25.0,1543.0,29,True,1,,,,,,,
6,flink,apache/flink,bigdata,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2025-06-12 15:30:02,2025-06-12 12:17:49,36865.0,219.0,13576.0,932.0,26658.0,192.0,,24942,,,,,,Apache Flink.,21.0,21.0,2021.0,29,True,1,,,,,,,
7,akka,akka/akka,distributed,https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2025-06-09 18:59:41,2025-06-09 18:59:41,27236.0,36.0,3590.0,571.0,12041.0,889.0,7198.0,13170,2025-05-26 11:46:32,2.10.6,,,70.0,"A platform to build and run apps that are elastic, agile, and resilient. SDK, libraries, and hosted environments.",21.0,21.0,1061.0,29,False,1,['scala3'],,,,,,
8,spark-nlp,johnsnowlabs/spark-nlp,sci,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44,2025-06-12 00:51:30,2025-06-11 16:03:43,8865.0,121.0,726.0,101.0,13480.0,25.0,884.0,3992,2025-06-11 15:23:29,6.0.3,,,100.0,State of the Art Natural Language Processing.,610.0,610.0,116.0,29,True,1,,,,,,,
9,circe,circe/circe,json,https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2025-06-09 22:03:03,2025-06-09 21:49:56,3292.0,25.0,544.0,63.0,1813.0,116.0,455.0,2518,2025-04-21 14:05:23,0.14.13,,,76.0,Yet another JSON library for Scala.,936.0,,296.0,29,True,1,"['scala3', 'scalajs']",io.circe:circe-core_2.13,https://search.maven.org/artifact/io.circe/circe-core_2.13,2025-04-21 14:05:23,936.0,,
10,spark,apache/spark,bigdata,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2025-06-12 11:57:23,2025-06-12 11:55:49,44599.0,686.0,28587.0,2015.0,51134.0,183.0,,41290,,,,,,Apache Spark - A unified analytics engine for large-scale data processing.,,,3242.0,28,True,1,,,,,,,
11,gatling,gatling/gatling,test,https://github.com/gatling/gatling,https://github.com/gatling/gatling,Apache-2.0,2011-05-31 12:40:25,2025-05-23 14:36:37,2025-05-23 06:53:19,11076.0,78.0,1209.0,231.0,845.0,28.0,3753.0,6684,,,,,,Modern Load Testing as Code.,23.0,23.0,243.0,28,True,1,,,,,,,
