,name,github_id,maven_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,maven_url,projectrank,show,projectrank_placing,trending,updated_github_id,new_addition,dependent_project_count,github_dependent_project_count,labels
10,diffson,gnieh/diffson,,json,https://github.com/gnieh/diffson,https://github.com/gnieh/diffson,Apache-2.0,2013-08-30 15:50:35,2023-03-08 19:05:42,2023-03-02 19:22:19,456.0,34.0,48.0,12.0,288.0,5.0,43.0,295.0,2023-03-03 08:34:40,4.4.0,14.0,A scala diff/patch library for Json.,30.0,,18,True,2.0,,,True,,,
11,jawn,non/jawn,,json,https://github.com/typelevel/jawn,https://github.com/typelevel/jawn,,2012-10-01 02:04:45,2023-03-04 04:55:20,2023-02-23 22:49:01,1156.0,27.0,66.0,21.0,451.0,12.0,55.0,421.0,2022-07-05 19:18:25,1.4.0,20.0,Jawn is for parsing jay-sawn (JSON).,45.0,,17,False,3.0,,typelevel/jawn,True,,,
12,borer,sirthias/borer,,json,https://github.com/sirthias/borer,https://github.com/sirthias/borer,MPL-2.0,2019-03-04 21:32:46,2023-03-10 19:58:41,2023-02-09 16:29:39,962.0,8.0,12.0,8.0,517.0,5.0,101.0,189.0,,,,Efficient CBOR and JSON (de)serialization in Scala.,8.0,,12,True,3.0,,,True,,,
13,zio-elasticsearch,lambdaworks/zio-elasticsearch,lambdaworks.io:zio-elasticsearch,db-clients,https://github.com/lambdaworks/zio-elasticsearch,https://github.com/lambdaworks/zio-elasticsearch,Apache-2.0,2022-08-07 09:04:07,2023-03-15 13:27:35,2023-03-15 13:24:27,104.0,78.0,4.0,10.0,96.0,14.0,5.0,40.0,,,,"ZIO Elasticsearch is a type-safe, testable and streaming-friendly ZIO native Elasticsearch client.",7.0,https://search.maven.org/artifact/lambdaworks.io/zio-elasticsearch,11,True,3.0,,,,,,['zio']
14,ScalaJack,gzoller/ScalaJack,,json,https://github.com/gzoller/ScalaJack,https://github.com/gzoller/ScalaJack,MIT,2013-06-17 20:20:56,2022-11-15 00:51:10,2022-11-15 00:50:56,923.0,,8.0,12.0,182.0,2.0,49.0,110.0,,,,Fast JSON parser/generator for Scala.,13.0,,10,True,3.0,,,True,,,
15,pushka,fomkin/pushka,,json,https://github.com/fomkin/pushka,https://github.com/fomkin/pushka,Apache-2.0,2015-08-19 06:24:31,2019-06-12 09:24:40,2016-11-24 20:47:45,88.0,,9.0,7.0,26.0,9.0,25.0,74.0,,,14.0,ABANDONED Pure Scala serialization library with annotations.,5.0,,10,False,3.0,,,True,,,
16,scala-jsonapi,scala-jsonapi/scala-jsonapi,,json,https://github.com/scala-jsonapi/scala-jsonapi,https://github.com/scala-jsonapi/scala-jsonapi,,2015-11-09 12:47:14,2018-12-28 12:29:57,2018-06-11 08:54:13,135.0,,24.0,29.0,52.0,13.0,34.0,108.0,,,,"Scala support library for integrating the JSON API spec with Spray, Play! or Circe.",20.0,,9,False,3.0,,,True,,,
17,scountries,lambdaworks/scountries,io.lambdaworks:scountries,misc,https://github.com/lambdaworks/scountries,https://github.com/lambdaworks/scountries,Apache-2.0,2022-09-02 11:48:45,2023-03-09 13:41:05,2023-03-09 13:41:05,32.0,5.0,1.0,8.0,23.0,,,17.0,2023-01-31 11:52:49,0.1.1,1.0,"Scala library that provides an enumeration of ISO 3166 codes for countries, along with their subdivisions.",3.0,https://search.maven.org/artifact/io.lambdaworks/scountries,9,True,1.0,,,,,,
18,scurl-detector,lambdaworks/scurl-detector,io.lambdaworks:scurl-detector,misc,https://github.com/lambdaworks/scurl-detector,https://github.com/lambdaworks/scurl-detector,Apache-2.0,2021-06-08 09:33:41,2023-02-24 08:54:26,2023-02-01 21:29:37,71.0,5.0,1.0,8.0,62.0,1.0,9.0,15.0,2023-01-31 11:47:26,1.0.1,1.0,Scala library that detects and extracts URLs from text.,5.0,https://search.maven.org/artifact/io.lambdaworks/scurl-detector,9,True,1.0,,,,,,
19,ninny-json,nrktkt/ninny-json,,json,https://github.com/nrktkt/ninny-json,https://github.com/nrktkt/ninny-json,Unlicense,2020-07-10 17:01:21,2023-02-23 01:02:32,2023-01-12 01:12:25,93.0,1.0,4.0,2.0,45.0,4.0,3.0,20.0,2023-01-12 01:12:50,0.7.3,25.0,JSON typeclasses that know the difference between null and absent fields.,2.0,,8,True,3.0,,,True,,,
20,sbt-json,battermann/sbt-json,,json,https://github.com/battermann/sbt-json,https://github.com/battermann/sbt-json,MIT,2017-08-16 16:28:39,2018-05-29 20:34:36,2018-05-29 20:33:52,104.0,,3.0,4.0,6.0,1.0,4.0,31.0,,,,"sbt plugin that generates Scala case classes for easy, statically typed and implicit access of JSON data e.g. from API..",2.0,,7,False,3.0,,,True,,,
21,json,nestorpersist/json,,json,https://github.com/nestorpersist/json,https://github.com/nestorpersist/json,,2012-11-17 19:43:13,2018-03-09 04:32:45,2016-12-16 16:48:10,115.0,,8.0,5.0,10.0,,2.0,11.0,,,,"Persist-Json, a Fast Json Parser Written in Scala.",2.0,,3,False,3.0,,,True,,,
22,argonaut,argonaut,io.argonaut:argonaut,json,,,,,,,,,,,,,,,,,,,,https://search.maven.org/artifact/io.argonaut/argonaut,0,False,,,,True,,,
