,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,github_release_downloads,monthly_downloads,updated_github_id,trending
95,phantom,outworkers/phantom,,db-clients,,https://github.com/outworkers/phantom,https://github.com/outworkers/phantom,Apache-2.0,2013-11-19 00:08:32,2023-04-05 09:14:46,2021-08-16 22:07:29,1120.0,,187.0,75.0,512.0,21.0,403.0,1048,2020-08-10 21:50:24,2.59.0,53.0,"Schema safe, type-safe, reactive Scala driver for Cassandra/Datastax Enterprise.",,,51.0,19,,,,False,2,,,,
96,ReactiveMongo,ReactiveMongo/ReactiveMongo,,db-clients,['scala3'],https://github.com/ReactiveMongo/ReactiveMongo,https://github.com/ReactiveMongo/ReactiveMongo,Apache-2.0,2012-07-20 14:24:46,2024-06-14 21:00:43,2024-05-27 15:39:22,1365.0,7.0,230.0,55.0,921.0,22.0,370.0,847,2020-01-03 02:08:23,0.20.0,1.0,"Non-blocking, Reactive MongoDB Driver for Scala.",,,89.0,19,,,,True,2,,,,
97,skinny-framework,skinny-framework/skinny-framework,,web-frameworks,,https://github.com/skinny-framework/skinny-framework,https://github.com/skinny-framework/skinny-framework,MIT,2013-09-24 07:39:24,2022-12-14 08:22:49,2022-12-14 08:22:22,1996.0,,73.0,45.0,287.0,20.0,134.0,737,2022-12-14 08:24:58,4.0.1,100.0,Scala on Rails - A full-stack web app framework for rapid development in Scala.,4.0,4.0,32.0,19,,,,True,2,12439.0,103.0,,
98,sbt-eclipse,sbt/sbt-eclipse,,sbt,,https://github.com/sbt/sbt-eclipse,https://github.com/sbt/sbt-eclipse,Apache-2.0,2011-06-04 00:39:57,2024-06-13 10:05:10,2024-06-13 10:05:10,430.0,8.0,171.0,49.0,155.0,78.0,203.0,720,2023-12-15 13:52:51,6.2.0,4.0,Plugin for sbt to create Eclipse project definitions.,,,40.0,19,,,,True,2,,,,
99,upickle,com-lihaoyi/upickle,,data,"['scala3', 'scalajs']",https://github.com/com-lihaoyi/upickle,https://github.com/com-lihaoyi/upickle,MIT,2014-04-23 05:41:08,2024-06-18 18:08:00,2024-05-18 06:23:23,887.0,4.0,157.0,16.0,296.0,40.0,270.0,707,2024-05-18 07:34:02,3.3.1,25.0,"uPickle: a simple, fast, dependency-free JSON & Binary (MessagePack) serialization library for Scala.",,,55.0,19,,,,True,2,,,,
100,sbt-release,sbt/sbt-release,,sbt,,https://github.com/sbt/sbt-release,https://github.com/sbt/sbt-release,Apache-2.0,2011-10-15 19:00:45,2024-06-18 04:21:45,2024-06-18 04:21:45,553.0,9.0,162.0,25.0,243.0,86.0,101.0,641,2024-01-23 01:19:43,1.4.0,5.0,A release plugin for sbt.,,,65.0,19,,,,True,2,,,,
101,eff,atnos-org/eff,,toolkits,"['scala3', 'scalajs']",https://github.com/atnos-org/eff,https://github.com/atnos-org/eff,MIT,2016-01-04 22:34:26,2024-06-17 22:07:32,2024-06-17 22:07:25,1242.0,22.0,78.0,19.0,697.0,5.0,64.0,574,2024-06-02 05:55:05,7.0.4,74.0,Eff monad for cats - https://atnos-org.github.io/eff.,,,43.0,19,,,,True,2,,,,
102,sparta,Stratio/sparta,,bigdata,,https://github.com/Stratio/sparta,https://github.com/Stratio/sparta,Apache-2.0,2015-02-04 08:04:40,2019-10-24 06:32:21,2019-10-24 06:28:20,3643.0,,193.0,138.0,1360.0,9.0,534.0,524,2017-05-31 09:56:04,1.5.0,61.0,Real Time Analytics and Data Pipelines based on Spark Streaming.,,,41.0,19,,,,False,3,,,,
103,scalamock,paulbutcher/scalamock,,test,['scalajs'],https://github.com/paulbutcher/ScalaMock,https://github.com/paulbutcher/ScalaMock,MIT,2011-10-24 21:32:02,2024-06-12 16:52:14,2024-06-02 08:16:54,815.0,6.0,97.0,22.0,295.0,29.0,200.0,501,2024-04-06 12:04:40,6.0.0,16.0,Native Scala mocking framework.,,,35.0,19,,,,True,2,,,,
104,mima,lightbend/mima,,sbt,['scala3'],https://github.com/lightbend-labs/mima,https://github.com/lightbend-labs/mima,Apache-2.0,2012-05-24 14:08:57,2024-06-06 15:21:16,2024-05-21 15:31:27,1552.0,14.0,69.0,18.0,590.0,27.0,189.0,451,2023-07-18 19:55:41,1.1.3,32.0,A tool for catching binary incompatibility in Scala.,,,49.0,19,,,,True,2,,,lightbend-labs/mima,
105,munit,scalameta/munit,,test,"['scala3', 'scalajs']",https://github.com/scalameta/munit,https://github.com/scalameta/munit,Apache-2.0,2020-01-03 00:01:20,2024-06-19 07:18:11,2024-06-19 07:16:51,1026.0,58.0,85.0,13.0,647.0,38.0,117.0,423,2024-05-22 10:31:41,1.0.0,46.0,Scala testing library with actionable errors and extensible APIs.,,,50.0,19,,,,True,2,,,,
106,zio-json,zio/zio-json,,json,"['zio', 'scala3', 'scalajs']",https://github.com/zio/zio-json,https://github.com/zio/zio-json,Apache-2.0,2020-07-03 16:46:04,2024-06-17 05:16:22,2024-06-17 05:16:22,600.0,18.0,140.0,22.0,965.0,95.0,86.0,402,2024-06-03 16:54:48,0.7.0,33.0,"Fast, secure JSON library with tight ZIO integration.",,,66.0,19,,,,True,2,,,,
107,mdoc,scalameta/mdoc,,sbt,['scala3'],https://github.com/scalameta/mdoc,https://github.com/scalameta/mdoc,Apache-2.0,2017-10-23 07:00:47,2024-06-20 10:57:43,2024-06-19 14:24:12,1368.0,28.0,78.0,8.0,673.0,61.0,147.0,390,2024-06-19 14:59:06,2.5.3,70.0,Typechecked markdown documentation for Scala.,,,52.0,19,,,,True,2,,,,
108,play-json,playframework/play-json,,json,"['scala3', 'scalajs', 'play']",https://github.com/playframework/play-json,https://github.com/playframework/play-json,Apache-2.0,2016-12-06 03:45:35,2024-06-17 09:58:35,2024-06-17 09:22:52,1367.0,31.0,134.0,17.0,921.0,45.0,93.0,357,2024-06-17 10:21:07,3.0.4,24.0,The Play JSON library.,,,68.0,19,,,,True,2,,,,
109,cornichon,agourlay/cornichon,,test,,https://github.com/agourlay/cornichon,https://github.com/agourlay/cornichon,Apache-2.0,2015-07-27 09:14:49,2024-06-10 13:04:40,2024-06-10 13:04:40,3376.0,38.0,29.0,12.0,698.0,6.0,153.0,225,2024-06-05 18:09:18,0.21.4,78.0,Testing tool in Scala for HTTP JSON API.,,,18.0,19,,,,True,2,,,,
