,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,updated_github_id
0,gitbucket,gitbucket/gitbucket,development-cycle,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2025-02-05 13:52:51,2025-02-05 13:52:49,6070.0,58.0,1251.0,449.0,1916.0,356.0,1461.0,9196,2025-01-20 15:47:10,4.42.1,467039.0,3592.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",21.0,21.0,198.0,34,True,1,,,,,,,
1,playframework,playframework/playframework,web-frameworks,https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2025-02-04 07:31:05,2025-02-04 07:31:03,14000.0,130.0,4097.0,624.0,9067.0,464.0,3370.0,12560,2024-11-29 09:56:40,3.0.6,,,76.0,The Community Maintained High Velocity Web Framework For Java and Scala.,85.0,21.0,981.0,33,True,1,com.typesafe.play:play_3,"['scala3', 'scalajs']",https://search.maven.org/artifact/com.typesafe.play/play_3,2024-11-28 13:15:55,64.0,,
2,sbt,sbt/sbt,development-cycle,https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2025-02-05 03:13:38,2025-02-05 03:13:38,12234.0,74.0,938.0,167.0,3485.0,828.0,3570.0,4822,2024-12-23 03:36:15,1.10.7,24194636.0,306261.0,100.0,"sbt, the interactive build tool.",,,426.0,33,True,1,,['scala3'],,,,,
3,zio,zio/zio,toolkits,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2025-02-06 12:57:48,2025-02-06 00:52:22,8003.0,178.0,1315.0,113.0,6859.0,377.0,2460.0,4162,2025-02-05 10:47:52,2.1.15,,,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",1248.0,,741.0,32,True,1,dev.zio:zio_2.13,"['scala3', 'scalajs']",https://search.maven.org/artifact/dev.zio/zio_2.13,2024-12-19 13:22:00,1248.0,,
4,coursier,coursier/coursier,sbt,https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2025-02-05 14:49:12,2025-02-05 14:49:12,4732.0,206.0,313.0,58.0,2105.0,403.0,754.0,2069,2025-01-09 20:59:06,2.1.24,14121587.0,235359.0,100.0,Pure Scala Artifact Fetching.,,,152.0,31,True,1,,['scalajs'],,,,,
5,kafka,apache/kafka,distributed,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2025-02-06 16:53:35,2025-02-06 16:11:07,15020.0,859.0,14003.0,1058.0,18820.0,1024.0,,29392,,,,,,Mirror of Apache Kafka.,25.0,25.0,1505.0,30,True,1,,,,,,1.0,
6,mill,com-lihaoyi/mill,development-cycle,https://github.com/com-lihaoyi/mill,https://github.com/com-lihaoyi/mill,MIT,2017-10-17 03:43:19,2025-02-06 13:26:33,2025-02-06 11:10:16,4479.0,492.0,369.0,53.0,3093.0,193.0,1001.0,2320,2025-02-01 04:24:29,0.12.7,1948774.0,25983.0,100.0,"Mill is a fast build tool that supports Java, Scala, Kotlin and many other languages. 2-4x faster than Gradle and..",,,247.0,30,True,2,,,,,,,
7,flink,apache/flink,bigdata,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2025-02-06 16:35:37,2025-02-06 16:35:37,36497.0,396.0,13420.0,935.0,26101.0,1257.0,,24475,,,,,,Apache Flink.,21.0,21.0,1977.0,29,True,1,,,,,,,
8,akka,akka/akka,distributed,https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2025-02-06 07:28:45,2025-02-06 07:28:43,27170.0,28.0,3591.0,570.0,11966.0,879.0,7186.0,13099,2025-01-28 11:39:29,2.10.1,,,61.0,"A platform to build and run apps that are elastic, agile, and resilient. SDK, libraries, and hosted environments.",21.0,21.0,1061.0,29,False,1,,['scala3'],,,,,
9,spark,apache/spark,bigdata,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2025-02-06 18:29:57,2025-02-06 18:29:22,43553.0,838.0,28412.0,2018.0,49800.0,243.0,,40474,,,,,,Apache Spark - A unified analytics engine for large-scale data processing.,,,3183.0,28,True,1,,,,,,,
