,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending
0,gitbucket,gitbucket/gitbucket,development-cycle,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2023-12-29 23:10:39,2023-12-29 23:10:39,5858.0,60.0,1243.0,461.0,1701.0,332.0,1442.0,9009,2023-10-22 09:25:07,4.40.0,726262.0,6154.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",21.0,21.0,197.0,34,True,1,,,,,,
1,playframework,playframework/playframework,web-frameworks,https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2024-01-02 02:18:13,2023-12-19 13:57:55,13403.0,130.0,4129.0,634.0,8400.0,474.0,3306.0,12484,2023-11-09 13:49:47,2.8.21,,,63.0,The Community Maintained High Velocity Web Framework For Java and Scala.,55.0,21.0,963.0,33,True,1,com.typesafe.play:play_3,"['scala3', 'scalajs']",https://search.maven.org/artifact/com.typesafe.play/play_3,2023-10-25 13:37:03,34.0,-1.0
2,sbt,sbt/sbt,development-cycle,https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2024-01-02 05:41:28,2024-01-02 05:41:28,11954.0,53.0,934.0,171.0,3181.0,774.0,3386.0,4729,2023-12-14 04:22:51,1.9.8,13111930.0,182110.0,100.0,"sbt, the interactive build tool.",,,419.0,33,True,1,,['scala3'],,,,
3,bigdl,intel-analytics/bigdl,sci,https://github.com/intel-analytics/BigDL,https://github.com/intel-analytics/BigDL,Apache-2.0,2016-08-29 07:59:50,2024-01-04 13:55:11,2024-01-04 11:30:32,21015.0,510.0,1172.0,241.0,7804.0,936.0,1328.0,4691,2023-11-13 02:02:20,2.4.0,178.0,2.0,19.0,Accelerate LLM with low-bit (FP4 / INT4 / FP8 / INT8) optimizations using bigdl-llm.,46.0,46.0,195.0,32,True,1,,,,,,
4,zio,zio/zio,toolkits,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2024-01-04 18:19:50,2024-01-04 17:58:18,7428.0,81.0,1211.0,115.0,6121.0,360.0,2079.0,3930,2024-01-02 16:35:29,2.0.21,,,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",927.0,,687.0,32,True,1,dev.zio:zio_2.13,"['scala3', 'scalajs']",https://search.maven.org/artifact/dev.zio/zio_2.13,2023-11-06 14:58:35,927.0,
5,akka,akka/akka,distributed,https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2024-01-04 08:31:06,2024-01-02 10:59:49,26929.0,83.0,3629.0,586.0,11663.0,864.0,7130.0,12852,2023-12-19 08:01:13,2.9.1,,,48.0,"Build highly concurrent, distributed, and resilient message-driven applications on the JVM.",21.0,21.0,1050.0,30,False,1,,['scala3'],,,,
6,spark,apache/spark,bigdata,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2024-01-04 15:19:53,2024-01-04 15:19:22,39417.0,1071.0,28069.0,2033.0,44569.0,237.0,,37515,,,,,,Apache Spark - A unified analytics engine for large-scale data processing.,,,2994.0,29,True,1,,,,,,
7,kafka,apache/kafka,distributed,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2024-01-04 17:57:57,2024-01-04 12:50:14,12186.0,442.0,12963.0,1074.0,15125.0,1071.0,,26540,,,,,,Mirror of Apache Kafka.,25.0,25.0,1324.0,29,True,1,,,,,,
8,flink,apache/flink,bigdata,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2024-01-04 17:01:12,2024-01-04 03:39:35,34532.0,449.0,12959.0,943.0,24012.0,1084.0,,22545,,,,,,Apache Flink.,21.0,21.0,1811.0,29,True,1,,,,,,
9,finagle,twitter/finagle,distributed,https://github.com/twitter/finagle,https://github.com/twitter/finagle,Apache-2.0,2010-10-19 22:10:09,2023-12-22 23:17:47,2023-12-22 23:17:47,8146.0,17.0,1474.0,558.0,547.0,58.0,356.0,8721,2023-11-02 20:44:41,finagle-23.11.0,,,83.0,"A fault tolerant, protocol-agnostic RPC system.",21.0,21.0,524.0,29,True,1,,,,,,
