,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,maven_id,maven_url,trending,dependent_project_count,github_dependent_project_count,updated_github_id,labels
0,playframework,playframework/playframework,web-frameworks,https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2023-06-05 14:59:43,2023-06-05 14:59:43,12926.0,244.0,4006.0,656.0,8053.0,406.0,3267.0,12402.0,2023-01-13 17:31:24,2.8.19,58.0,Play Framework.,955.0,31,True,1.0,,,,,,,,,
1,coursier,coursier/coursier,sbt,https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2023-06-08 15:53:32,2023-05-30 01:33:51,4088.0,61.0,281.0,56.0,1736.0,319.0,704.0,1955.0,2023-05-18 15:07:42,2.1.4,100.0,Pure Scala Artifact Fetching.,138.0,29,True,1.0,7453378.0,155278.0,,,,,,,
2,http4s,http4s/http4s,http,https://github.com/http4s/http4s,https://github.com/http4s/http4s,Apache-2.0,2012-03-12 04:41:20,2023-06-08 07:51:55,2023-06-08 07:44:23,16913.0,203.0,755.0,76.0,5648.0,225.0,1123.0,2420.0,2023-05-12 19:44:09,0.23.19,100.0,"A minimal, idiomatic Scala interface for HTTP.",444.0,28,True,1.0,,,,,,,,,
3,zio,zio/zio,ecosystems,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2023-06-08 15:20:23,2023-06-08 05:07:48,7169.0,184.0,1159.0,116.0,5796.0,363.0,1987.0,3800.0,2023-06-05 23:39:00,2.0.15,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",660.0,27,True,1.0,,,dev.zio:zio_2.13,https://search.maven.org/artifact/dev.zio/zio_2.13,-1.0,,,,
4,ammonite,com-lihaoyi/ammonite,toolkits,https://github.com/com-lihaoyi/Ammonite,https://github.com/com-lihaoyi/Ammonite,MIT,2015-01-13 07:34:38,2023-06-06 12:32:38,2023-06-06 12:28:33,2716.0,29.0,351.0,67.0,557.0,120.0,672.0,2570.0,2023-02-08 15:19:33,2.5.8,100.0,Scala Scripting.,135.0,27,True,1.0,829188.0,10496.0,,,2.0,,,,
5,gatling,gatling/gatling,test,https://github.com/gatling/gatling,https://github.com/gatling/gatling,Apache-2.0,2011-05-31 12:40:25,2023-06-06 20:21:08,2023-06-06 20:19:23,10133.0,72.0,1143.0,233.0,806.0,41.0,3583.0,5950.0,,,,Modern Load Testing as Code.,222.0,26,True,1.0,,,,,,,,,
6,shapeless,milessabin/shapeless,toolkits,https://github.com/milessabin/shapeless,https://github.com/milessabin/shapeless,Apache-2.0,2011-12-18 13:36:38,2023-06-06 20:57:11,2023-06-06 20:57:10,2678.0,14.0,523.0,109.0,905.0,28.0,380.0,3331.0,2022-09-12 22:32:36,2.3.10,7.0,Generic programming for Scala.,153.0,26,True,1.0,,,,,,103.0,103.0,,
7,tapir,softwaremill/tapir,http,https://github.com/softwaremill/tapir,https://github.com/softwaremill/tapir,Apache-2.0,2018-12-09 16:43:49,2023-06-08 13:29:29,2023-06-07 11:56:24,7706.0,250.0,340.0,51.0,2271.0,100.0,571.0,1213.0,2023-06-06 12:16:29,1.5.1,100.0,"Declarative, type-safe web endpoints library.",235.0,26,True,1.0,,,,,,,,,
8,slick,slick/slick,db-clients,https://github.com/slick/slick,https://github.com/slick/slick,BSD-2-Clause,2009-02-20 22:51:53,2023-06-07 20:09:45,2023-06-05 11:16:32,3145.0,81.0,581.0,150.0,1343.0,400.0,934.0,2609.0,2022-09-13 19:27:07,3.4.1,16.0,Slick (Scala Language Integrated Connection Kit) is a modern database query and access library for Scala.,198.0,25,True,1.0,,,,,,,,,
9,elastic4s,sksamuel/elastic4s,db-clients,https://github.com/sksamuel/elastic4s,https://github.com/sksamuel/elastic4s,Apache-2.0,2013-06-10 20:23:57,2023-06-06 22:45:59,2023-04-25 11:22:05,4695.0,27.0,675.0,75.0,1738.0,13.0,1118.0,1630.0,2023-03-25 01:01:44,8.5.4,31.0,"Elasticsearch Scala Client - Reactive, Non Blocking, Type Safe, HTTP Client.",395.0,25,True,1.0,,,com.sksamuel.elastic4s:elastic4s_2.13,https://search.maven.org/artifact/com.sksamuel.elastic4s/elastic4s_2.13,,,,,
