,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending
45,argonaut,argonaut-io/argonaut,json,https://github.com/argonaut-io/argonaut,https://github.com/argonaut-io/argonaut,BSD-3-Clause,2012-12-09 12:11:48,2024-02-29 00:21:11,2024-02-24 00:51:54,1664.0,15.0,112.0,24.0,648.0,27.0,168.0,546,2023-10-09 09:53:11,6.3.9,,,16.0,Purely functional JSON parser and library in scala.,24.0,,59.0,23,True,1,io.argonaut:argonaut_2.13,"['scala3', 'scalajs']",https://search.maven.org/artifact/io.argonaut/argonaut_2.13,2023-10-09 09:53:11,24.0,
46,scalding,twitter/scalding,bigdata,https://github.com/twitter/scalding,https://github.com/twitter/scalding,Apache-2.0,2012-01-10 16:22:08,2023-05-28 19:18:59,2023-05-28 19:18:59,4195.0,,701.0,323.0,1384.0,317.0,329.0,3466,2017-12-22 20:23:36,0.17.4,,,17.0,A Scala API for Cascading.,,,212.0,22,True,2,,,,,,
47,lagom,lagom/lagom,distributed,https://github.com/lagom/lagom,https://github.com/lagom/lagom,Apache-2.0,2016-02-23 01:51:06,2023-08-14 13:43:48,2023-08-14 13:43:48,2427.0,,633.0,151.0,2274.0,455.0,642.0,2633,2021-12-14 11:16:46,1.6.7,,,49.0,Reactive Microservices for the JVM.,,,149.0,22,True,2,,,,,,
48,scalacheck,typelevel/scalacheck,test,https://github.com/typelevel/scalacheck,https://github.com/typelevel/scalacheck,BSD-3-Clause,2011-05-26 11:44:12,2024-02-27 00:44:45,2024-02-20 00:40:15,2096.0,15.0,409.0,58.0,699.0,65.0,286.0,1924,2022-09-15 23:24:43,1.17.0,,,10.0,Property-based testing for Scala.,,,135.0,22,True,1,,"['scala3', 'scalajs']",,,,
49,giter8,foundweekends/giter8,development-cycle,https://github.com/foundweekends/giter8,https://github.com/foundweekends/giter8,Apache-2.0,2010-08-10 04:08:48,2024-02-27 15:47:56,2024-02-27 15:47:55,1335.0,19.0,229.0,70.0,595.0,45.0,229.0,1725,2023-05-02 05:25:32,0.16.2,,,17.0,a command line tool to apply templates defined on GitHub.,,,83.0,22,True,3,,,,,,
50,Monocle,optics-dev/monocle,toolkits,https://github.com/optics-dev/Monocle,https://github.com/optics-dev/Monocle,MIT,2014-01-17 19:49:22,2024-02-28 00:42:23,2024-02-28 00:32:15,2178.0,19.0,202.0,53.0,1047.0,48.0,333.0,1627,2023-01-03 14:12:47,3.2.0,,,9.0,Optics library for Scala.,,,125.0,22,True,2,,"['scala3', 'scalajs']",,,,
51,finch,finagle/finch,http,https://github.com/finagle/finch,https://github.com/finagle/finch,Apache-2.0,2014-04-15 12:17:44,2024-02-27 23:03:13,2024-02-27 23:03:12,2319.0,16.0,226.0,61.0,1267.0,42.0,369.0,1593,2022-09-16 18:19:38,0.34.0,,,61.0,Scala combinator library for building Finagle HTTP services.,,,128.0,22,True,2,,,,,,
52,sbt-native-packager,sbt/sbt-native-packager,sbt,https://github.com/sbt/sbt-native-packager,https://github.com/sbt/sbt-native-packager,BSD-2-Clause,2011-12-20 02:04:49,2024-02-28 04:18:09,2024-02-20 09:04:05,1698.0,3.0,440.0,56.0,779.0,131.0,658.0,1583,2023-02-20 17:55:37,1.9.16,,,100.0,sbt Native Packager.,,,271.0,22,True,1,,,,,,
53,slick-pg,tminglei/slick-pg,db-clients,https://github.com/tminglei/slick-pg,https://github.com/tminglei/slick-pg,BSD-2-Clause,2013-05-09 15:57:40,2024-02-29 14:00:54,2024-02-29 14:00:53,1259.0,53.0,181.0,22.0,317.0,116.0,270.0,834,2022-12-08 23:15:05,0.21.1,,,91.0,Slick extensions for PostgreSQL.,,,94.0,22,True,2,,,,,,
54,scalafix,scalacenter/scalafix,development-cycle,https://github.com/scalacenter/scalafix,https://github.com/scalacenter/scalafix,BSD-3-Clause,2016-08-08 11:45:19,2024-02-28 22:00:55,2024-02-28 21:58:22,3516.0,90.0,178.0,29.0,1286.0,71.0,596.0,797,2023-09-11 02:10:49,0.11.1,35.0,0.0,69.0,Refactoring and linting tool for Scala.,,,106.0,22,True,3,,['scalajs'],,,,
55,jsoniter-scala,plokhotnyuk/jsoniter-scala,json,https://github.com/plokhotnyuk/jsoniter-scala,https://github.com/plokhotnyuk/jsoniter-scala,MIT,2017-09-26 14:47:09,2024-02-29 15:39:36,2024-02-29 15:38:27,4659.0,194.0,92.0,20.0,821.0,64.0,239.0,698,2024-02-10 10:33:56,2.28.2,,,100.0,Scala macros for compile-time generation of safe and ultra-fast JSON codecs.,1.0,1.0,23.0,22,True,2,,"['scala3', 'scalajs']",,,,
56,scalaxb,eed3si9n/scalaxb,http,https://github.com/eed3si9n/scalaxb,https://github.com/eed3si9n/scalaxb,MIT,2010-02-05 05:50:50,2024-02-01 07:27:57,2024-01-19 20:51:09,1356.0,11.0,154.0,23.0,217.0,155.0,283.0,333,2023-12-02 04:09:17,1.12.0,,,21.0,scalaxb is an XML data binding tool for Scala.,,,69.0,22,True,2,,,,,,
57,spark-notebook,spark-notebook/spark-notebook,sci,https://github.com/spark-notebook/spark-notebook,https://github.com/spark-notebook/spark-notebook,Apache-2.0,2014-09-05 19:35:25,2023-05-16 16:06:37,2021-03-30 08:57:25,2326.0,,659.0,190.0,484.0,208.0,307.0,3144,2017-07-23 14:44:02,0.8.3,,,18.0,Interactive and Reactive Data Science using Scala and Spark.,,,84.0,21,False,2,,,,,,
58,util,twitter/util,toolkits,https://github.com/twitter/util,https://github.com/twitter/util,Apache-2.0,2011-03-26 01:23:21,2024-02-09 17:18:36,2024-02-09 17:18:35,3127.0,3.0,601.0,228.0,196.0,12.0,111.0,2677,2022-12-26 14:38:56,util-22.12.0,,,81.0,Wonderful reusable code from Twitter.,,,320.0,21,True,2,,['scala3'],,,,
59,finatra,twitter/finatra,web-frameworks,https://github.com/twitter/finatra,https://github.com/twitter/finatra,Apache-2.0,2012-02-16 23:55:29,2024-02-09 17:19:09,2024-02-09 17:19:09,2651.0,1.0,420.0,214.0,266.0,13.0,309.0,2272,2022-12-26 14:40:15,finatra-22.12.0,,,92.0,"Fast, testable, Scala services built on TwitterServer and Finagle.",,,254.0,21,True,1,,,,,,
60,quill,zio/zio-quill,db-clients,https://github.com/zio/zio-quill,https://github.com/zio/zio-quill,Apache-2.0,2015-07-20 22:15:04,2024-01-20 00:11:30,2024-01-15 02:45:57,3509.0,2.0,347.0,63.0,1952.0,315.0,760.0,2136,2024-01-19 02:29:26,4.8.1,,,7.0,Compile-time Language Integrated Queries for Scala.,,,146.0,21,True,2,,"['zio', 'scala3', 'scalajs']",,,,-1.0
61,monix,monix/monix,reactive,https://github.com/monix/monix,https://github.com/monix/monix,Apache-2.0,2014-01-06 12:56:07,2024-02-27 23:15:50,2023-10-17 17:17:02,1694.0,,245.0,61.0,1149.0,83.0,577.0,1916,2022-05-07 18:40:42,3.4.1,,,15.0,"Asynchronous, Reactive Programming for Scala and Scala.js.",,,106.0,21,True,1,,"['scala3', 'scalajs']",,,,
62,spire,typelevel/spire,sci,https://github.com/typelevel/spire,https://github.com/typelevel/spire,MIT,2011-11-03 20:52:53,2024-02-27 00:48:27,2023-12-30 14:49:32,2984.0,6.0,248.0,66.0,916.0,140.0,272.0,1753,2022-06-17 15:55:07,0.18.0,,,4.0,Powerful new number types and numeric abstractions for Scala.,,,104.0,21,True,2,,"['scala3', 'scalajs']",,,,
63,scalajs-react,japgolly/scalajs-react,scala-js,https://github.com/japgolly/scalajs-react,https://github.com/japgolly/scalajs-react,Apache-2.0,2014-07-03 09:58:42,2024-02-13 17:21:40,2024-02-02 14:55:12,3202.0,5.0,240.0,64.0,558.0,28.0,507.0,1625,2022-04-26 04:07:04,2.1.1,,,65.0,Facebooks React on Scala.JS.,,,81.0,21,True,2,,"['scala3', 'scalajs']",,,,
64,framework,lift/framework,web-frameworks,https://github.com/lift/framework,https://github.com/lift/framework,Apache-2.0,2011-01-26 13:25:28,2023-04-11 14:56:45,2023-04-11 14:56:45,3932.0,,276.0,105.0,530.0,154.0,1324.0,1264,2021-10-08 15:12:09,3.5.0-release,,,52.0,Lift Framework.,,,118.0,21,True,1,,,,,,
65,scalatest,scalatest/scalatest,test,https://github.com/scalatest/scalatest,https://github.com/scalatest/scalatest,Apache-2.0,2013-04-07 21:55:49,2024-02-15 01:59:17,2023-12-15 09:19:04,6614.0,6.0,337.0,54.0,1542.0,523.0,332.0,1131,2024-02-08 07:00:06,release-3.2.18,,,40.0,A testing tool for Scala and Java developers.,,,64.0,21,True,2,,"['scala3', 'scalajs']",,,,
66,pekko,apache/incubator-pekko,distributed,https://github.com/apache/incubator-pekko,https://github.com/apache/incubator-pekko,Apache-2.0,2022-10-31 08:40:39,2024-02-29 13:46:33,2024-02-29 05:11:11,27141.0,181.0,111.0,60.0,847.0,117.0,177.0,981,,,,,,"Build highly concurrent, distributed, and resilient message-driven applications using Java/Scala.",,,1067.0,21,True,2,,['scala3'],,,,
67,sbt-eclipse,sbt/sbt-eclipse,sbt,https://github.com/sbt/sbt-eclipse,https://github.com/sbt/sbt-eclipse,Apache-2.0,2011-06-04 00:39:57,2024-02-28 08:14:06,2024-02-28 08:14:05,422.0,19.0,171.0,49.0,149.0,78.0,203.0,721,2023-12-15 13:52:51,6.2.0,,,4.0,Plugin for sbt to create Eclipse project definitions.,,,40.0,21,True,1,,,,,,
68,airframe,wvlet/airframe,di,https://github.com/wvlet/airframe,https://github.com/wvlet/airframe,Apache-2.0,2016-08-14 07:00:12,2024-02-29 17:34:39,2024-02-29 17:34:38,4344.0,110.0,62.0,18.0,2814.0,87.0,523.0,622,2024-02-27 23:31:58,24.2.3,,,100.0,Essential Building Blocks for Scala.,,,44.0,21,True,1,,"['scala3', 'scalajs']",,,,
