,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,labels
14,mill,com-lihaoyi/mill,env,https://github.com/com-lihaoyi/mill,https://github.com/com-lihaoyi/mill,,2017-10-17 03:43:19,2023-07-05 15:27:45,2023-07-05 14:34:18,3129.0,152.0,274.0,49.0,1784.0,108.0,635.0,1883.0,2023-06-23 17:15:52,0.11.1,1082482.0,16653.0,95.0,Your shiny new Java/Scala build tool!.,196.0,27,False,1.0,,,,,,,,
15,scalapb,scalapb/scalapb,data,https://github.com/scalapb/ScalaPB,https://github.com/scalapb/ScalaPB,Apache-2.0,2014-10-02 01:11:41,2023-07-02 19:51:25,2023-06-30 23:47:12,2382.0,47.0,268.0,48.0,995.0,16.0,534.0,1256.0,2023-02-07 04:34:38,0.11.13,395579.0,4824.0,100.0,Protocol buffer compiler for Scala.,120.0,27,True,1.0,,,,,,,,
16,gatling,gatling/gatling,test,https://github.com/gatling/gatling,https://github.com/gatling/gatling,Apache-2.0,2011-05-31 12:40:25,2023-07-04 08:42:38,2023-07-04 08:41:04,10157.0,77.0,1166.0,234.0,808.0,45.0,3586.0,5984.0,,,,,,Modern Load Testing as Code.,222.0,26,True,1.0,,,,,,,,
17,shapeless,milessabin/shapeless,toolkits,https://github.com/milessabin/shapeless,https://github.com/milessabin/shapeless,Apache-2.0,2011-12-18 13:36:38,2023-06-30 16:47:03,2023-06-30 16:47:02,2686.0,16.0,537.0,108.0,909.0,34.0,380.0,3335.0,2022-09-12 22:32:36,2.3.10,,,7.0,Generic programming for Scala.,153.0,26,True,1.0,104.0,104.0,,,,,1.0,
18,scio,spotify/scio,bigdata,https://github.com/spotify/scio,https://github.com/spotify/scio,Apache-2.0,2015-03-26 19:07:34,2023-07-06 13:57:25,2023-07-06 13:57:25,4922.0,105.0,500.0,121.0,3694.0,142.0,1087.0,2464.0,2023-06-21 18:12:22,0.13.0,10704.0,140.0,100.0,A Scala API for Apache Beam and Google Cloud Dataflow.,196.0,26,True,2.0,,,,,,,,
19,metals,scalameta/metals,env,https://github.com/scalameta/metals,https://github.com/scalameta/metals,Apache-2.0,2017-11-03 14:18:53,2023-07-06 15:51:37,2023-07-06 14:39:20,7839.0,193.0,290.0,49.0,3603.0,252.0,1361.0,1912.0,2023-04-21 17:57:37,0.11.12,29.0,0.0,53.0,Scala language server with rich IDE features.,171.0,26,True,2.0,,,,,,,,
20,tapir,softwaremill/tapir,http,https://github.com/softwaremill/tapir,https://github.com/softwaremill/tapir,Apache-2.0,2018-12-09 16:43:49,2023-07-06 17:57:55,2023-07-06 17:57:54,7797.0,264.0,351.0,50.0,2325.0,111.0,591.0,1217.0,2023-06-27 09:00:40,1.6.0,,,100.0,"Declarative, type-safe web endpoints library.",241.0,26,True,1.0,,,,,,,,
21,eclair,acinq/eclair,misc,https://github.com/ACINQ/eclair,https://github.com/ACINQ/eclair,Apache-2.0,2015-08-19 11:47:01,2023-07-06 10:03:51,2023-07-06 08:19:18,2521.0,60.0,254.0,91.0,1910.0,43.0,663.0,1130.0,2023-06-19 08:45:19,0.9.0,43219.0,568.0,37.0,A scala implementation of the Lightning Network.,48.0,26,True,1.0,,,,,,,,
22,bloop,scalacenter/bloop,env,https://github.com/scalacenter/bloop,https://github.com/scalacenter/bloop,Apache-2.0,2017-11-11 09:39:34,2023-07-06 14:27:08,2023-07-06 13:02:53,5019.0,133.0,192.0,30.0,1378.0,122.0,589.0,849.0,2023-07-05 20:17:38,1.5.8,155482.0,2355.0,53.0,"Bloop is a build server and CLI tool to compile, test and run Scala fast from any editor or build tool.",137.0,26,True,2.0,,,,,,,1.0,
23,scala-js,scala-js/scala-js,misc,https://github.com/scala-js/scala-js,https://github.com/scala-js/scala-js,Apache-2.0,2013-02-18 16:33:55,2023-06-22 13:38:57,2023-06-22 10:03:23,7080.0,48.0,389.0,148.0,2666.0,27.0,2167.0,4463.0,2023-06-23 07:43:57,1.13.2,,,23.0,"Scala.js, the Scala to JavaScript compiler.",102.0,25,True,1.0,,,,,,,,
24,slick,slick/slick,db-clients,https://github.com/slick/slick,https://github.com/slick/slick,BSD-2-Clause,2009-02-20 22:51:53,2023-07-05 17:52:12,2023-06-26 07:04:40,3171.0,81.0,611.0,150.0,1358.0,420.0,936.0,2606.0,2022-09-13 19:27:07,3.4.1,,,16.0,Slick (Scala Language Integrated Connection Kit) is a modern database query and access library for Scala.,200.0,25,True,1.0,,,,,,,,
25,doobie,tpolecat/doobie,db-clients,https://github.com/tpolecat/doobie,https://github.com/tpolecat/doobie,MIT,2013-11-25 07:25:20,2023-07-01 20:53:01,2023-06-30 03:32:18,3318.0,91.0,344.0,69.0,1361.0,146.0,381.0,2068.0,2023-06-20 16:56:18,1.0.0-RC4,,,18.0,Functional JDBC layer for Scala.,162.0,25,True,1.0,,,,,,,,
26,elastic4s,sksamuel/elastic4s,db-clients,https://github.com/sksamuel/elastic4s,https://github.com/sksamuel/elastic4s,Apache-2.0,2013-06-10 20:23:57,2023-07-04 21:54:34,2023-07-04 04:08:10,4710.0,24.0,688.0,75.0,1751.0,19.0,1120.0,1630.0,2023-06-18 20:34:00,8.8.0,,,33.0,"Elasticsearch Scala Client - Reactive, Non Blocking, Type Safe, HTTP Client.",398.0,25,True,1.0,,,com.sksamuel.elastic4s:elastic4s_2.13,https://search.maven.org/artifact/com.sksamuel.elastic4s/elastic4s_2.13,,,,
27,sttp,softwaremill/sttp,http,https://github.com/softwaremill/sttp,https://github.com/softwaremill/sttp,Apache-2.0,2017-06-30 15:15:07,2023-07-06 06:37:14,2023-07-06 00:48:42,5209.0,135.0,269.0,43.0,1489.0,55.0,345.0,1378.0,2023-07-06 07:52:16,3.8.16,,,90.0,The Scala HTTP client you always wanted!.,194.0,25,True,2.0,,,,,,,,
