,name,github_id,maven_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,maven_url,maven_latest_release_published_at,dependent_project_count,maven_dependent_project_count,show,projectrank_placing,new_addition,trending,github_dependent_project_count,updated_github_id,labels,github_release_downloads,monthly_downloads
13,ReactiveMongo,ReactiveMongo/ReactiveMongo,,db-clients,https://github.com/ReactiveMongo/ReactiveMongo,https://github.com/ReactiveMongo/ReactiveMongo,Apache-2.0,2012-07-20 14:24:46,2023-03-17 22:33:08,2023-03-12 14:12:17,1315,13.0,232,56,826.0,15.0,363.0,837,2020-01-03 02:08:23,0.20.0,1.0,"Non-blocking, Reactive MongoDB Driver for Scala.",87,20,,,,,True,2,True,,,,,,
14,jsoniter-scala,plokhotnyuk/jsoniter-scala,,json,https://github.com/plokhotnyuk/jsoniter-scala,https://github.com/plokhotnyuk/jsoniter-scala,MIT,2017-09-26 14:47:09,2023-03-18 15:23:49,2023-03-18 15:23:57,4204,130.0,75,20,737.0,54.0,212.0,623,2023-03-11 12:37:08,2.21.3,100.0,Scala macros for compile-time generation of safe and ultra-fast JSON codecs.,17,20,,,1.0,,True,2,,,1.0,,,,
15,zio-json,zio/zio-json,,json,https://github.com/zio/zio-json,https://github.com/zio/zio-json,Apache-2.0,2020-07-03 16:46:04,2023-03-18 14:43:34,2023-03-18 14:18:49,527,49.0,106,23,770.0,65.0,78.0,376,2023-03-18 14:43:34,0.5.0,29.0,"Fast, secure JSON library with tight ZIO integration.",52,20,,,,,True,2,,,,,['zio'],,
16,play-json,playframework/play-json,,json,https://github.com/playframework/play-json,https://github.com/playframework/play-json,Apache-2.0,2016-12-06 03:45:35,2023-03-16 19:30:28,2023-03-09 22:48:58,1144,30.0,127,21,748.0,44.0,73.0,342,2023-01-24 07:38:59,2.9.4,12.0,The Play JSON library.,62,20,,,,,True,2,,,,,['play'],,
17,phantom,outworkers/phantom,,db-clients,https://github.com/outworkers/phantom,https://github.com/outworkers/phantom,Apache-2.0,2013-11-19 00:08:32,2021-08-16 22:07:29,2021-08-16 22:07:29,1120,,189,75,511.0,19.0,403.0,1046,2020-08-10 21:50:24,2.59.0,53.0,"Schema safe, type-safe, reactive Scala driver for Cassandra/Datastax Enterprise.",51,19,,,,,True,2,True,,,,,,
18,jawn,typelevel/jawn,,json,https://github.com/typelevel/jawn,https://github.com/typelevel/jawn,MIT,2012-10-01 02:04:45,2023-03-17 01:14:15,2023-02-23 22:49:01,1156,27.0,67,21,452.0,15.0,55.0,421,2022-07-05 19:18:25,1.4.0,20.0,Jawn is for parsing jay-sawn (JSON).,45,19,,,,,True,3,,,,,,,
19,quill,getquill/quill,,db-clients,https://github.com/zio/zio-quill,https://github.com/zio/zio-quill,Apache-2.0,2015-07-20 22:15:04,2023-03-16 16:59:44,2023-01-22 17:15:20,3340,2.0,335,69,1705.0,305.0,705.0,2111,,,,Compile-time Language Integrated Queries for Scala.,134,18,,,,,True,2,True,,,zio/zio-quill,,,
20,jackson-module-scala,FasterXML/jackson-module-scala,,json,https://github.com/FasterXML/jackson-module-scala,https://github.com/FasterXML/jackson-module-scala,Apache-2.0,2010-11-29 23:01:08,2023-03-14 08:55:13,2023-03-14 08:55:10,1629,18.0,139,27,180.0,45.0,398.0,484,,,,Add-on module for Jackson (https://github.com/FasterXML/jackson) to support Scala-specific datatypes.,58,18,,,,,True,3,,,,,,,
21,diffson,gnieh/diffson,,json,https://github.com/gnieh/diffson,https://github.com/gnieh/diffson,Apache-2.0,2013-08-30 15:50:35,2023-03-18 16:26:23,2023-03-17 14:24:42,457,35.0,52,12,289.0,10.0,43.0,295,2023-03-03 08:34:40,4.4.0,14.0,A scala diff/patch library for Json.,30,18,,,,,True,3,,,,,,,
22,pulsar4s,sksamuel/pulsar4s,,db-clients,https://github.com/CleverCloud/pulsar4s,https://github.com/CleverCloud/pulsar4s,Apache-2.0,2018-01-04 06:29:12,2023-03-18 20:06:09,2023-01-08 02:27:21,711,11.0,39,12,449.0,19.0,40.0,215,2023-01-08 02:29:27,2.9.0,5.0,"Idiomatic, typesafe, and reactive Scala client for Apache Pulsar.",23,18,,,,,True,2,True,,,CleverCloud/pulsar4s,,,
23,squeryl,squeryl/squeryl,,db-clients,https://github.com/squeryl/squeryl,https://github.com/squeryl/squeryl,Apache-2.0,2010-01-30 16:07:07,2023-03-17 23:15:10,2023-03-11 00:05:18,1052,54.0,144,30,297.0,39.0,112.0,578,,,,A Scala DSL for talking with databases with minimum verbosity and maximum type safety.,60,17,,,,,True,2,True,,,,,,
