,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,updated_github_id
13,scio,spotify/scio,bigdata,https://github.com/spotify/scio,https://github.com/spotify/scio,Apache-2.0,2015-03-26 19:07:34,2025-09-03 18:40:41,2025-09-03 18:40:39,5582.0,45.0,523.0,113.0,4454.0,151.0,1177.0,2611,2025-08-27 17:25:09,0.14.19,12016.0,132.0,100.0,A Scala API for Apache Beam and Google Cloud Dataflow.,,,259.0,27,True,2,,,,,,,
14,scalameta,scalameta/scalameta,toolkits,https://github.com/scalameta/scalameta,https://github.com/scalameta/scalameta,BSD-3-Clause,2014-06-16 23:00:32,2025-09-08 19:02:16,2025-09-08 19:02:15,9117.0,44.0,232.0,41.0,3022.0,132.0,1157.0,1143,2025-08-01 18:11:30,4.13.9,,,100.0,"Library to read, analyze, transform and generate Scala programs.",3.0,3.0,131.0,27,True,1,,['scalajs'],,,,,
15,bloop,scalacenter/bloop,development-cycle,https://github.com/scalacenter/bloop,https://github.com/scalacenter/bloop,Apache-2.0,2017-11-11 09:39:34,2025-09-08 16:23:35,2025-09-08 16:21:02,6058.0,52.0,206.0,24.0,1913.0,102.0,678.0,928,2025-08-05 12:42:34,2.0.13,241055.0,2620.0,79.0,"Bloop is a build server and CLI tool to compile, test and run Scala fast from any editor or build tool.",,,152.0,27,True,2,,['scalajs'],,,,,
16,finagle,twitter/finagle,distributed,https://github.com/twitter/finagle,https://github.com/twitter/finagle,Apache-2.0,2010-10-19 22:10:09,2025-08-14 08:10:50,2025-08-14 08:10:49,8209.0,1.0,1448.0,552.0,551.0,65.0,357.0,8840,2024-05-07 19:46:22,finagle-24.5.0,,,84.0,"A fault tolerant, protocol-agnostic RPC system.",21.0,21.0,534.0,26,True,2,,,,,,-1.0,
17,smile,haifengl/smile,sci,https://github.com/haifengl/smile,https://github.com/haifengl/smile,,2014-11-20 16:28:12,2025-09-11 15:02:20,2025-09-11 15:02:14,4741.0,17.0,1140.0,267.0,176.0,9.0,646.0,6255,2025-09-07 00:48:31,4.4.1,13043.0,114.0,34.0,Statistical Machine Intelligence & Learning Engine.,21.0,21.0,72.0,26,False,1,,['scala3'],,,,,
18,shapeless,milessabin/shapeless,toolkits,https://github.com/milessabin/shapeless,https://github.com/milessabin/shapeless,Apache-2.0,2011-12-18 13:36:38,2025-09-09 09:55:19,2025-09-09 09:55:19,2775.0,10.0,531.0,100.0,1011.0,29.0,384.0,3402,2025-03-02 21:41:46,2.3.13,,,10.0,Generic programming for Scala.,145.0,145.0,156.0,26,True,1,,"['scala3', 'scalajs']",,,,-1.0,
19,metals,scalameta/metals,development-cycle,https://github.com/scalameta/metals,https://github.com/scalameta/metals,Apache-2.0,2017-11-03 14:18:53,2025-09-11 18:48:50,2025-09-11 18:34:58,9676.0,151.0,387.0,46.0,5268.0,289.0,1939.0,2239,2025-08-09 16:21:22,1.6.2,31.0,0.0,75.0,Scala language server with rich IDE features.,,,235.0,26,True,2,,['scala3'],,,,,
20,elastic4s,sksamuel/elastic4s,db-clients,https://github.com/Philippus/elastic4s,https://github.com/Philippus/elastic4s,Apache-2.0,2013-06-10 20:23:57,2025-09-11 16:21:40,2025-09-11 16:21:40,5197.0,44.0,680.0,73.0,2439.0,10.0,1169.0,1637,2025-07-31 21:15:32,9.1.0,,,68.0,"Elasticsearch Scala Client - Reactive, Non Blocking, Type Safe, HTTP Client.",,,420.0,26,True,1,com.sksamuel.elastic4s:elastic4s_2.13,['scala3'],https://search.maven.org/artifact/com.sksamuel.elastic4s/elastic4s_2.13,,,,Philippus/elastic4s
21,tapir,softwaremill/tapir,http,https://github.com/softwaremill/tapir,https://github.com/softwaremill/tapir,Apache-2.0,2018-12-09 16:43:49,2025-09-11 00:56:32,2025-09-11 00:56:31,9776.0,140.0,450.0,41.0,3855.0,185.0,796.0,1425,2025-09-08 21:45:43,1.11.44,,,100.0,Rapid development of self-documenting APIs.,,,336.0,26,True,1,,"['scala3', 'scalajs']",,,,,
22,scalapb,scalapb/scalapb,data,https://github.com/scalapb/ScalaPB,https://github.com/scalapb/ScalaPB,Apache-2.0,2014-10-02 01:11:41,2025-09-07 21:11:28,2025-09-07 21:03:19,2698.0,17.0,291.0,42.0,1347.0,52.0,590.0,1323,2025-08-23 17:49:13,1.0.0-alpha.2,612681.0,5835.0,100.0,Protocol buffer compiler for Scala.,,,133.0,26,True,1,,"['scala3', 'scalajs']",,,,-1.0,
