,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,updated_github_id
0,gitbucket,gitbucket/gitbucket,development-cycle,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2025-10-16 11:05:41,2025-10-16 11:05:41,6203.0,58.0,1253.0,447.0,2050.0,348.0,1496.0,9307,2025-09-23 00:24:16,4.44.0,466688.0,3456.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",21.0,21.0,199.0,34,True,1,,,,,,,
1,sbt,sbt/sbt,development-cycle,https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2025-10-08 14:08:30,2025-10-08 14:08:30,17405.0,216.0,952.0,164.0,3676.0,809.0,3669.0,4870,2025-10-05 20:00:07,1.11.7,29108886.0,421867.0,100.0,"sbt, the interactive build tool.",,,498.0,34,True,1,['scala3'],,,,,,
2,playframework,playframework/playframework,web-frameworks,https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2025-10-16 08:26:24,2025-10-03 11:37:17,14453.0,171.0,4077.0,615.0,9503.0,476.0,3400.0,12594,2025-09-11 14:13:44,3.0.9,421.0,4.0,100.0,The Community Maintained High Velocity Web Framework For Java and Scala.,89.0,21.0,989.0,33,True,1,"['scala3', 'scalajs']",com.typesafe.play:play_3,https://search.maven.org/artifact/com.typesafe.play/play_3,2025-09-11 09:26:53,68.0,-1.0,
3,zio,zio/zio,toolkits,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2025-10-16 06:10:45,2025-10-16 03:33:54,8445.0,111.0,1370.0,107.0,7409.0,160.0,2604.0,4283,2025-10-16 05:43:43,2.1.22,,,105.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",1323.0,,750.0,33,True,1,"['scala3', 'scalajs']",dev.zio:zio_2.13,https://search.maven.org/artifact/dev.zio/zio_2.13,2025-09-04 05:38:24,1323.0,,
4,kafka,apache/kafka,distributed,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2025-10-16 17:52:21,2025-10-16 17:52:21,16452.0,374.0,14728.0,1051.0,20711.0,238.0,,31093,,,,,,Mirror of Apache Kafka.,25.0,25.0,1600.0,29,True,1,,,,,,,
5,flink,apache/flink,bigdata,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2025-10-16 15:49:39,2025-10-16 08:38:47,37178.0,199.0,13809.0,932.0,27111.0,221.0,,25368,,,,,,Apache Flink.,21.0,21.0,2052.0,29,True,1,,,,,,,
6,akka,akka/akka,distributed,https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2025-10-16 15:11:20,2025-10-16 06:17:56,27288.0,29.0,3580.0,565.0,12095.0,895.0,7205.0,13224,2025-08-15 14:29:53,2.10.9,,,73.0,"A platform to build and run apps that are elastic, agile, and resilient. SDK, libraries, and hosted environments.",21.0,21.0,1061.0,29,False,1,['scala3'],,,,,,
7,spark-nlp,johnsnowlabs/spark-nlp,sci,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44,2025-10-16 16:30:23,2025-10-09 11:21:55,8952.0,68.0,732.0,99.0,13537.0,24.0,886.0,4056,2025-10-09 11:46:47,6.1.5,,,100.0,State of the Art Natural Language Processing.,613.0,613.0,116.0,29,True,1,,,,,,,
8,circe,circe/circe,json,https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2025-10-15 07:18:19,2025-10-15 07:13:12,3332.0,28.0,544.0,61.0,1840.0,118.0,456.0,2521,2025-09-30 17:11:52,0.14.15,,,78.0,Yet another JSON library for Scala.,946.0,,296.0,29,True,1,"['scala3', 'scalajs']",io.circe:circe-core_2.13,https://search.maven.org/artifact/io.circe/circe-core_2.13,2025-06-13 23:54:16,946.0,,
9,coursier,coursier/coursier,sbt,https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2025-10-16 12:20:38,2025-10-16 11:55:26,5055.0,64.0,321.0,55.0,2302.0,449.0,762.0,2096,2025-01-09 20:59:06,2.1.24,18125717.0,287709.0,100.0,Pure Scala Artifact Fetching.,,,154.0,29,True,1,['scalajs'],,,,,,
