,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,github_release_downloads,monthly_downloads,trending
14,Snowplow,snowplow/snowplow,,sci,,https://github.com/snowplow/snowplow,https://github.com/snowplow/snowplow,Apache-2.0,2012-03-01 13:02:21,2023-12-05 15:04:22,2023-12-05 15:04:05,6707.0,27.0,1212.0,266.0,491.0,59.0,3904.0,6635,2022-01-31 21:28:26,22.01,85.0,"The enterprise-grade behavioral data engine (web, mobile, server-side, webhooks), running cloud-natively on AWS and GCP.",21.0,21.0,102.0,27,,,,True,1,5447.0,43.0,
15,cats,typelevel/cats,,toolkits,"['scala3', 'scalajs']",https://github.com/typelevel/cats,https://github.com/typelevel/cats,,2015-01-28 20:26:48,2023-12-03 07:50:07,2023-12-03 07:46:15,6698.0,56.0,1247.0,185.0,3328.0,227.0,982.0,5088,2023-08-14 02:57:50,2.10.0,64.0,"Lightweight, modular, and extensible library for functional programming.",20.0,20.0,546.0,27,,,,False,1,,,
16,ammonite,com-lihaoyi/ammonite,,toolkits,['scala3'],https://github.com/com-lihaoyi/Ammonite,https://github.com/com-lihaoyi/Ammonite,MIT,2015-01-13 07:34:38,2023-11-26 22:44:23,2023-11-26 22:41:50,2744.0,11.0,367.0,65.0,582.0,124.0,681.0,2575,2023-09-28 05:09:12,2.5.11,100.0,Scala Scripting.,,,137.0,27,,,,True,1,881695.0,10622.0,
17,scio,spotify/scio,,bigdata,,https://github.com/spotify/scio,https://github.com/spotify/scio,Apache-2.0,2015-03-26 19:07:34,2023-12-06 19:05:48,2023-12-05 13:42:38,5076.0,105.0,513.0,119.0,3866.0,142.0,1121.0,2499,2023-11-22 08:29:31,0.13.6,100.0,A Scala API for Apache Beam and Google Cloud Dataflow.,,,217.0,27,,,,True,2,11139.0,141.0,
18,http4s,http4s/http4s,,http,"['scala3', 'scalajs']",https://github.com/http4s/http4s,https://github.com/http4s/http4s,Apache-2.0,2012-03-12 04:41:20,2023-12-05 09:07:50,2023-12-05 09:03:15,17274.0,120.0,792.0,73.0,5809.0,312.0,1142.0,2470,2023-11-14 17:53:53,0.23.24,100.0,"A minimal, idiomatic Scala interface for HTTP.",,,457.0,27,,,,True,1,,,
19,metals,scalameta/metals,,development-cycle,['scala3'],https://github.com/scalameta/metals,https://github.com/scalameta/metals,Apache-2.0,2017-11-03 14:18:53,2023-12-07 18:09:37,2023-12-07 17:16:44,8220.0,227.0,309.0,45.0,3974.0,280.0,1471.0,1959,2023-10-17 13:35:19,1.1.0,56.0,Scala language server with rich IDE features.,,,179.0,27,,,,True,2,29.0,0.0,
20,scalapb,scalapb/scalapb,,data,"['scala3', 'scalajs']",https://github.com/scalapb/ScalaPB,https://github.com/scalapb/ScalaPB,Apache-2.0,2014-10-02 01:11:41,2023-12-05 20:33:30,2023-12-05 20:33:30,2440.0,50.0,268.0,46.0,1058.0,16.0,551.0,1264,2023-10-17 23:52:06,0.11.14,100.0,Protocol buffer compiler for Scala.,,,123.0,27,,,,True,1,431357.0,4958.0,
21,tapir,softwaremill/tapir,,http,"['scala3', 'scalajs']",https://github.com/softwaremill/tapir,https://github.com/softwaremill/tapir,Apache-2.0,2018-12-09 16:43:49,2023-12-07 12:58:34,2023-12-07 08:03:58,8544.0,411.0,378.0,48.0,2609.0,131.0,641.0,1256,2023-12-05 14:18:08,1.9.4,100.0,"Declarative, type-safe web endpoints library.",,,271.0,27,,,,True,1,,,
22,scala-cli,VirtusLab/scala-cli,,development-cycle,['scala3'],https://github.com/VirtusLab/scala-cli,https://github.com/VirtusLab/scala-cli,Apache-2.0,2021-04-23 10:35:04,2023-12-07 13:29:03,2023-12-07 13:29:03,3805.0,212.0,100.0,21.0,1822.0,183.0,553.0,457,2023-11-29 16:10:07,1.1.0,43.0,"Scala CLI is a command-line tool to interact with the Scala language. It lets you compile, run, test, and package your..",,,72.0,27,,,,True,2,672237.0,24008.0,1.0
23,bloop,scalacenter/bloop,,development-cycle,['scalajs'],https://github.com/scalacenter/bloop,https://github.com/scalacenter/bloop,Apache-2.0,2017-11-11 09:39:34,2023-12-07 16:13:31,2023-12-07 16:08:28,5197.0,100.0,199.0,27.0,1472.0,123.0,597.0,860,2023-12-07 15:17:32,1.5.13,58.0,"Bloop is a build server and CLI tool to compile, test and run Scala fast from any editor or build tool.",,,141.0,26,,,,True,2,169205.0,2383.0,
