,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,updated_github_id
335,axle,axlelang/axle,,sci,,https://github.com/pingel-org/axle,https://github.com/pingel-org/axle,,2011-02-21 23:18:53,2023-05-28 04:37:06,2023-05-28 04:37:04,4482.0,,9.0,5.0,241.0,,21.0,67,,,,Axle Domain Specific Language for Scientific Cloud Computing and Visualization.,,,9.0,9,,,,False,3,,,,pingel-org/axle
336,glokka,xitrum-framework/glokka,,distributed,,https://github.com/xitrum-framework/glokka,https://github.com/xitrum-framework/glokka,MIT,2013-07-15 21:36:00,2021-01-16 16:55:48,2021-01-16 16:55:41,112.0,,4.0,9.0,1.0,4.0,26.0,56,,,,Library to register and lookup actors by names in an Akka cluster.,,,3.0,9,,,,False,3,,,,
337,lucene4s,outr/lucene4s,,db-clients,"['scala3', 'scalajs']",https://github.com/outr/lucene4s,https://github.com/outr/lucene4s,MIT,2016-10-11 18:40:58,2021-07-18 01:06:33,2021-05-17 19:36:10,153.0,,18.0,7.0,16.0,2.0,8.0,53,,,,Light-weight convenience wrapper around Lucene to simplify complex tasks and add Scala sugar.,,,5.0,9,,,,False,3,,,,
338,media4s,outr/media4s,,media,,https://github.com/outr/media4s,https://github.com/outr/media4s,MIT,2016-09-28 20:04:06,2023-12-29 17:38:03,2023-12-29 17:37:53,59.0,,4.0,6.0,4.0,,3.0,34,2023-02-13 02:15:20,1.0.18,1.0,"Scala command-line wrapper around ffmpeg, ffprobe, ImageMagick, and other tools relating to media.",,,3.0,9,,,,True,3,,,,
339,sparkplug,indix/sparkplug,,bigdata,,https://github.com/indix/sparkplug,https://github.com/indix/sparkplug,Apache-2.0,2017-10-13 11:35:57,2020-05-15 09:11:07,2020-05-15 09:01:41,90.0,,2.0,7.0,5.0,,,28,2020-05-15 09:11:07,0.6.0,8.0,Spark package to plug holes in data using SQL based rules.,,,8.0,9,,,,False,3,,,,
340,ReactiveCouchbase-rs-core,ReactiveCouchbase/ReactiveCouchbase-rs-core,,db-clients,,https://github.com/ReactiveCouchbase/reactivecouchbase-rs-core,https://github.com/ReactiveCouchbase/reactivecouchbase-rs-core,Apache-2.0,2017-02-08 08:16:45,2018-04-23 09:37:17,2018-04-23 09:35:53,131.0,,10.0,7.0,13.0,8.0,11.0,26,2017-09-29 15:00:23,1.0.0,1.0,New ReactiveCouchbase driver using reactive-streams.,,,8.0,9,,,,False,3,,,,
341,aws-request-signer,ticofab/aws-request-signer,,sec,,https://github.com/ticofab/aws-request-signer,https://github.com/ticofab/aws-request-signer,Apache-2.0,2015-12-18 10:09:29,2019-08-13 16:19:00,2019-08-13 16:18:59,76.0,,15.0,4.0,14.0,5.0,9.0,21,2015-12-27 21:01:56,0.1.0,1.0,Scala library to sign HTTP requests to AWS services.,,,10.0,9,,,,False,3,,,,
342,akka-persistence-gcp-datastore,innFactory/akka-persistence-gcp-datastore,,db-clients,,https://github.com/innFactory/akka-persistence-gcp-datastore,https://github.com/innFactory/akka-persistence-gcp-datastore,Apache-2.0,2019-11-29 19:52:00,2024-10-13 00:23:45,2022-03-15 00:18:23,292.0,,3.0,4.0,209.0,1.0,,19,,,,akka-persistence-gcp-datastore is a journal and snapshot store plugin for akka-persistence using google cloud..,,,4.0,9,,,,False,3,,,,
343,jose,blackdoor/jose,,sec,['scala3'],https://github.com/blackdoor/jose,https://github.com/blackdoor/jose,Unlicense,2018-11-05 17:36:11,2024-07-04 13:46:08,2023-07-14 15:27:24,85.0,,5.0,5.0,121.0,9.0,4.0,16,2021-05-21 01:22:10,0.4.5,21.0,Extensible JOSE library for Scala.,,,4.0,9,,,,True,3,,,,
344,synapsegrid,primetalk/synapsegrid,,reactive,,https://github.com/Primetalk/SynapseGrid,https://github.com/Primetalk/SynapseGrid,,2013-06-28 09:11:53,2021-01-26 18:39:49,2019-09-22 16:45:19,244.0,,8.0,17.0,4.0,5.0,7.0,124,,,,SynapseGrid is a framework for constructing dynamic low latency data flow systems.,,,6.0,8,,,,False,3,,,,
345,Freasy-Monad,Thangiee/Freasy-Monad,,toolkits,['scalajs'],https://github.com/Thangiee/Freasy-Monad,https://github.com/Thangiee/Freasy-Monad,MIT,2016-09-05 06:07:02,2018-06-15 23:31:10,2018-06-15 23:31:09,94.0,,8.0,7.0,1.0,,11.0,115,,,,Easy way to create Free Monad using Scala macros with first-class Intellij support.,,,4.0,8,,,,False,3,,,,
346,ScalaJack,gzoller/ScalaJack,,json,['scala3'],https://github.com/gzoller/ScalaJack,https://github.com/gzoller/ScalaJack,,2013-06-17 20:20:56,2024-09-08 03:30:56,2024-05-30 05:08:59,928.0,,9.0,13.0,185.0,2.0,51.0,112,,,,Fast JSON parser/generator for Scala.,,,13.0,8,,,,False,3,,,,
347,shade,monix/shade,,db-clients,,https://github.com/monix/shade,https://github.com/monix/shade,MIT,2013-06-24 11:30:05,2021-03-18 23:25:57,2018-03-24 04:39:05,133.0,,19.0,11.0,43.0,13.0,16.0,107,,,,Memcached client for Scala.,,,12.0,8,,,,False,3,,,,
348,clist,backuity/clist,,others,,https://github.com/backuity/clist,https://github.com/backuity/clist,Apache-2.0,2014-11-10 12:31:30,2019-06-11 07:53:38,2019-06-11 07:53:37,109.0,,10.0,3.0,11.0,5.0,16.0,105,,,,Command Line Interface Scala Toolkit.,,,8.0,8,,,,False,3,,,,
349,morpheus,outworkers/morpheus,,db-clients,,https://github.com/outworkers/morpheus,https://github.com/outworkers/morpheus,,2015-09-03 10:48:15,2019-06-12 10:57:50,2019-06-12 10:57:47,217.0,,4.0,5.0,18.0,,,102,2016-04-11 09:47:33,"org=com.websudos,name=morpheus,version=0.2.7",2.0,Reactive type-safe Scala driver for SQL databases.,,,5.0,8,,,,False,3,,,,
350,mgo,openmole/mgo,,sci,['scala3'],https://github.com/openmole/mgo,https://github.com/openmole/mgo,,2012-08-29 13:04:39,2024-12-11 10:56:31,2024-12-11 10:56:17,1255.0,7.0,4.0,14.0,1.0,9.0,2.0,72,2016-04-26 07:11:36,2.0,1.0,Purely functional genetic algorithms for multi-objective optimisation.,,,8.0,8,,,,False,3,,,,
351,jam,yakivy/jam,,di,"['scala3', 'scalajs']",https://github.com/yakivy/jam,https://github.com/yakivy/jam,MIT,2021-02-12 09:59:54,2024-03-13 20:09:28,2024-03-13 20:09:25,52.0,,4.0,3.0,2.0,,9.0,61,,,,Incredibly simple DI Scala library.,,,4.0,8,,,,True,3,,,,
352,xs4s,scalawilliam/xs4s,,others,['scala3'],https://github.com/ScalaWilliam/xs4s,https://github.com/ScalaWilliam/xs4s,,2014-05-14 08:22:44,2023-10-12 19:31:20,2021-07-27 17:45:22,89.0,,12.0,6.0,12.0,1.0,2.0,60,2021-08-01 12:19:22,0.9.1,7.0,XML Streaming for Scala including FS2/cats support.,,,5.0,8,,,,False,3,,,,
353,scalarelational,outr/scalarelational,,db-clients,,https://github.com/outr/scalarelational,https://github.com/outr/scalarelational,,2013-11-01 17:14:15,2024-04-18 14:19:11,2019-03-06 15:27:46,520.0,,9.0,12.0,52.0,15.0,49.0,58,,,,"Type-Safe framework for defining, modifying, and querying SQL databases.",,,7.0,8,,,,False,3,,,,
354,ostinato,marianogappa/ostinato,,others,,https://github.com/marianogappa/ostinato,https://github.com/marianogappa/ostinato,MIT,2015-11-02 09:35:53,2019-08-25 19:32:14,2019-08-25 19:31:59,271.0,,6.0,5.0,,6.0,5.0,53,2017-03-18 09:26:44,1.0.2,1.0,A chess library that runs on the server (Scala) and on the browser (ScalaJS).,,,2.0,8,,,,False,3,72.0,0.0,,
355,fields,jap-company/fields,,data,['scala3'],https://github.com/jap-company/fields,https://github.com/jap-company/fields,Apache-2.0,2022-05-29 10:37:51,2022-08-09 21:26:10,2022-08-09 21:18:26,45.0,,3.0,2.0,21.0,6.0,12.0,49,2022-08-09 21:26:35,0.4.16,27.0,Scala validation library.,,,1.0,8,,,,False,3,,,,
356,figlet4s,colofabrix/figlet4s,,others,,https://github.com/ColOfAbRiX/figlet4s,https://github.com/ColOfAbRiX/figlet4s,MIT,2020-08-06 21:12:42,2022-11-09 21:16:15,2022-11-08 17:43:17,192.0,,2.0,2.0,4.0,12.0,9.0,39,2022-11-09 21:10:43,0.3.2,5.0,ASCII-art banners in Scala.,,,1.0,8,,,,False,3,,,,
357,scaposer,xitrum-framework/scaposer,,others,,https://github.com/xitrum-framework/scaposer,https://github.com/xitrum-framework/scaposer,MIT,2011-09-09 01:02:13,2023-12-18 18:08:10,2019-07-04 11:49:52,113.0,,6.0,9.0,10.0,4.0,14.0,38,,,,GNU Gettext .po file loader for Scala.,,,9.0,8,,,,False,3,,,,
358,freedsl,ISCPIF/freedsl,,toolkits,,https://github.com/ISCPIF/freedsl,https://github.com/ISCPIF/freedsl,,2016-10-27 16:19:11,2018-09-12 13:19:12,2018-09-12 13:18:57,208.0,,1.0,7.0,1.0,,,36,,,,Practical effect composition library based on abstract wrapping type and the free monad.,,,2.0,8,,,,False,3,,,,
