,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,trending,github_release_downloads,monthly_downloads,updated_github_id
233,sbt-unidoc,sbt/sbt-unidoc,,sbt,,https://github.com/sbt/sbt-unidoc,https://github.com/sbt/sbt-unidoc,Apache-2.0,2013-05-16 06:40:23,2024-05-08 18:35:33,2024-05-08 18:35:33,174.0,1.0,27.0,12.0,100.0,25.0,35.0,124,2021-10-23 21:22:11,0.5.0,5.0,sbt plugin to create a unified Scaladoc or Javadoc API document across multiple subprojects.,,,23.0,14,,,,True,3,,,,
234,hepek,sake92/hepek,,templating,"['scala3', 'scalajs']",https://github.com/sake92/hepek,https://github.com/sake92/hepek,Apache-2.0,2018-02-04 18:22:55,2024-05-29 13:05:05,2024-05-29 12:48:54,507.0,6.0,10.0,5.0,256.0,14.0,23.0,104,2024-05-29 10:14:57,0.29.0,2.0,Typesafe HTML templates and static site generator in pure Scala.,,,6.0,14,,,,True,3,4.0,,,
235,franklin,azavea/franklin,,others,,https://github.com/azavea/franklin,https://github.com/azavea/franklin,Apache-2.0,2019-11-05 11:43:39,2024-05-29 13:31:28,2024-05-29 13:31:28,1124.0,55.0,18.0,12.0,1513.0,96.0,101.0,72,,,,A STAC/OGC API Features Web Service.,,,12.0,14,,,,True,2,,,,
236,chronoscala,chronoscala/chronoscala,,toolkits,"['scala3', 'scalajs']",https://github.com/chronoscala/chronoscala,https://github.com/chronoscala/chronoscala,MIT,2016-07-11 17:30:46,2024-05-20 08:33:35,2024-04-07 08:48:11,466.0,14.0,8.0,47.0,224.0,2.0,15.0,67,2023-11-11 10:00:27,2.0.10,11.0,A JSR-310 port of nscala_time.,,,10.0,14,,,,True,3,,,,
237,dregex,marianobarrios/dregex,,env,,https://github.com/marianobarrios/dregex,https://github.com/marianobarrios/dregex,BSD-2-Clause,2014-05-20 22:38:39,2024-05-23 21:00:44,2024-05-23 21:00:29,366.0,19.0,4.0,6.0,111.0,1.0,5.0,44,2024-04-06 22:41:19,0.9.0,5.0,dregex is a Java library that implements a regular expression engine using deterministic finite automata (DFA). It..,,,6.0,14,,,,True,1,,,,
238,stac4s,stac-utils/stac4s,,others,['scalajs'],https://github.com/stac-utils/stac4s,https://github.com/stac-utils/stac4s,Apache-2.0,2019-11-23 20:43:52,2024-05-29 20:10:47,2024-05-28 11:39:32,464.0,29.0,9.0,9.0,626.0,20.0,31.0,15,2024-05-13 00:53:22,0.9.1,25.0,a scala library with primitives to build applications using the SpatioTemporal Asset Catalogs specification.,,,15.0,14,,,,True,2,,,,
239,scaloid,pocorall/scaloid,,others,,https://github.com/pocorall/scaloid,https://github.com/pocorall/scaloid,,2012-10-08 05:53:22,2018-08-07 08:10:53,2018-08-06 09:36:17,895.0,,171.0,139.0,58.0,18.0,78.0,2100,2016-03-09 01:14:23,4.2,1.0,Scaloid makes your Android code easy to understand and maintain.,,,19.0,13,,,,False,2,,,,
240,sbt-revolver,spray/sbt-revolver,,sbt,,https://github.com/spray/sbt-revolver,https://github.com/spray/sbt-revolver,Apache-2.0,2011-12-15 10:04:49,2023-04-08 09:28:56,2023-04-08 09:16:34,170.0,,54.0,22.0,31.0,21.0,64.0,839,,,,An SBT plugin for dangerously fast development turnaround in Scala.,,,16.0,13,,,,True,3,,,,
241,better-monadic-for,oleg-py/better-monadic-for,,sbt,,https://github.com/oleg-py/better-monadic-for,https://github.com/oleg-py/better-monadic-for,MIT,2018-03-29 19:47:54,2024-05-07 13:24:27,2021-05-25 08:10:05,80.0,,32.0,21.0,19.0,11.0,27.0,699,,,1.0,Desugaring scala `for` without implicit `withFilter`s.,,,10.0,13,,,,False,3,,,,
242,scala-csv,tototoshi/scala-csv,,csv-yaml,['scala3'],https://github.com/tototoshi/scala-csv,https://github.com/tototoshi/scala-csv,,2012-03-08 17:02:19,2024-04-18 20:49:06,2024-04-18 20:49:05,498.0,4.0,142.0,28.0,223.0,28.0,64.0,686,,,,CSV Reader/Writer for Scala.,,,35.0,13,,,,False,2,,,,
