,name,github_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,maven_id,dependent_project_count,github_dependent_project_count,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,new_addition
14,ammonite,com-lihaoyi/ammonite,toolkits,['scala3'],https://github.com/com-lihaoyi/Ammonite,https://github.com/com-lihaoyi/Ammonite,MIT,2015-01-13 07:34:38,2023-07-18 15:50:17,2023-07-18 14:13:38,2733,25.0,367.0,66,572.0,128.0,673.0,2566,2023-06-16 11:15:05,2.5.9,857526.0,10586.0,100.0,Scala Scripting.,137.0,27,True,1,,,,,,,,
15,scio,spotify/scio,bigdata,,https://github.com/spotify/scio,https://github.com/spotify/scio,Apache-2.0,2015-03-26 19:07:34,2023-08-09 15:29:54,2023-08-08 06:51:53,4947,110.0,503.0,120,3730.0,132.0,1104.0,2469,2023-07-20 14:27:48,0.13.1,10882.0,141.0,100.0,A Scala API for Apache Beam and Google Cloud Dataflow.,201.0,27,True,2,,,,,,,,
16,http4s,http4s/http4s,http,"['scala3', 'scalajs']",https://github.com/http4s/http4s,https://github.com/http4s/http4s,Apache-2.0,2012-03-12 04:41:20,2023-08-10 02:44:25,2023-08-04 12:47:43,17083,179.0,777.0,75,5727.0,318.0,1130.0,2438,2023-07-19 21:15:06,0.23.23,,,100.0,"A minimal, idiomatic Scala interface for HTTP.",448.0,27,True,1,,,,,,,-1.0,
17,scala-cli,VirtusLab/scala-cli,development-cycle,['scala3'],https://github.com/VirtusLab/scala-cli,https://github.com/VirtusLab/scala-cli,Apache-2.0,2021-04-23 10:35:04,2023-08-10 09:30:43,2023-08-10 09:30:43,3565,215.0,87.0,22,1629.0,180.0,479.0,430,2023-08-09 20:13:17,1.0.4,489746.0,20406.0,40.0,"Scala CLI is a command-line tool to interact with the Scala language. It lets you compile, run, test, and package your..",64.0,27,True,2,,,,,,,,
18,shapeless,milessabin/shapeless,toolkits,"['scala3', 'scalajs']",https://github.com/milessabin/shapeless,https://github.com/milessabin/shapeless,Apache-2.0,2011-12-18 13:36:38,2023-07-25 04:56:23,2023-07-25 04:56:23,2690,15.0,537.0,107,913.0,34.0,380.0,3338,2022-09-12 22:32:36,2.3.10,,,7.0,Generic programming for Scala.,153.0,26,True,1,,105.0,105.0,,,,,
19,metals,scalameta/metals,development-cycle,['scala3'],https://github.com/scalameta/metals,https://github.com/scalameta/metals,Apache-2.0,2017-11-03 14:18:53,2023-08-10 16:41:07,2023-08-10 13:56:04,7932,224.0,293.0,47,3696.0,257.0,1381.0,1925,2023-07-19 15:02:43,1.0.0,29.0,0.0,54.0,Scala language server with rich IDE features.,171.0,26,True,2,,,,,,,,
20,tapir,softwaremill/tapir,http,"['scala3', 'scalajs']",https://github.com/softwaremill/tapir,https://github.com/softwaremill/tapir,Apache-2.0,2018-12-09 16:43:49,2023-08-10 14:31:32,2023-08-10 14:31:32,7993,371.0,355.0,51,2402.0,115.0,600.0,1234,2023-08-10 01:05:18,1.7.0,,,100.0,"Declarative, type-safe web endpoints library.",248.0,26,True,1,,,,,,,,
21,eclair,acinq/eclair,misc,,https://github.com/ACINQ/eclair,https://github.com/ACINQ/eclair,Apache-2.0,2015-08-19 11:47:01,2023-08-10 12:12:29,2023-08-10 10:23:50,2525,44.0,254.0,91,1917.0,43.0,667.0,1145,2023-06-19 08:45:19,0.9.0,43456.0,564.0,37.0,A scala implementation of the Lightning Network.,48.0,26,True,1,,,,,,,,
22,bloop,scalacenter/bloop,development-cycle,['scalajs'],https://github.com/scalacenter/bloop,https://github.com/scalacenter/bloop,Apache-2.0,2017-11-11 09:39:34,2023-08-09 12:39:20,2023-08-04 06:34:43,5069,151.0,193.0,29,1403.0,122.0,590.0,850,2023-07-17 15:59:58,1.5.9,159043.0,2373.0,54.0,"Bloop is a build server and CLI tool to compile, test and run Scala fast from any editor or build tool.",137.0,26,True,2,,,,,,,,
23,finagle,twitter/finagle,distributed,,https://github.com/twitter/finagle,https://github.com/twitter/finagle,Apache-2.0,2010-10-19 22:10:09,2023-08-07 00:23:54,2023-06-23 05:19:04,8126,1.0,1468.0,563,545.0,62.0,349.0,8692,2022-12-26 14:39:38,finagle-22.12.0,,,82.0,"A fault tolerant, protocol-agnostic RPC system.",518.0,25,True,2,,4.0,4.0,,,,1.0,
24,smile,haifengl/smile,sci,['scala3'],https://github.com/haifengl/smile,https://github.com/haifengl/smile,,2014-11-20 16:28:12,2023-07-07 00:59:13,2023-07-07 00:59:07,3132,33.0,1119.0,272,173.0,15.0,558.0,5788,2023-06-14 12:20:00,3.0.2,10778.0,121.0,25.0,Statistical Machine Intelligence & Learning Engine.,71.0,25,False,1,,4.0,4.0,,,,,
25,cats,typelevel/cats,toolkits,"['scala3', 'scalajs']",https://github.com/typelevel/cats,https://github.com/typelevel/cats,,2015-01-28 20:26:48,2023-08-10 05:26:57,2023-08-10 05:22:21,6595,121.0,1218.0,186,3291.0,226.0,976.0,4987,2022-11-12 21:20:14,2.9.0,,,63.0,"Lightweight, modular, and extensible library for functional programming.",542.0,25,False,1,,4.0,4.0,,,,,
26,scala-js,scala-js/scala-js,scala-js,['scalajs'],https://github.com/scala-js/scala-js,https://github.com/scala-js/scala-js,Apache-2.0,2013-02-18 16:33:55,2023-08-06 18:43:59,2023-08-06 18:30:01,7102,56.0,389.0,147,2676.0,27.0,2169.0,4471,2023-06-23 07:43:57,1.13.2,,,23.0,"Scala.js, the Scala to JavaScript compiler.",102.0,25,True,1,,,,,,,,
27,doobie,tpolecat/doobie,db-clients,['scala3'],https://github.com/tpolecat/doobie,https://github.com/tpolecat/doobie,MIT,2013-11-25 07:25:20,2023-08-07 22:23:06,2023-08-07 22:23:06,3335,92.0,345.0,68,1371.0,147.0,381.0,2072,2023-06-20 16:56:18,1.0.0-RC4,,,18.0,Functional JDBC layer for Scala.,164.0,25,True,1,,,,,,,,
28,elastic4s,sksamuel/elastic4s,db-clients,['scala3'],https://github.com/sksamuel/elastic4s,https://github.com/sksamuel/elastic4s,Apache-2.0,2013-06-10 20:23:57,2023-08-07 12:25:30,2023-07-08 22:40:00,4714,19.0,690.0,75,1759.0,15.0,1120.0,1631,2023-07-08 23:03:50,8.8.1,,,34.0,"Elasticsearch Scala Client - Reactive, Non Blocking, Type Safe, HTTP Client.",399.0,25,True,1,com.sksamuel.elastic4s:elastic4s_2.13,,,https://search.maven.org/artifact/com.sksamuel.elastic4s/elastic4s_2.13,,,,
29,sttp,softwaremill/sttp,http,"['scala3', 'scalajs']",https://github.com/softwaremill/sttp,https://github.com/softwaremill/sttp,Apache-2.0,2017-06-30 15:15:07,2023-08-10 00:42:21,2023-08-10 00:41:51,5308,189.0,273.0,43,1521.0,51.0,351.0,1383,2023-08-09 15:02:30,4.0.0-M3,,,93.0,The Scala HTTP client you always wanted!.,196.0,25,True,2,,,,,,,-1.0,
30,scalapb,scalapb/scalapb,data,"['scala3', 'scalajs']",https://github.com/scalapb/ScalaPB,https://github.com/scalapb/ScalaPB,Apache-2.0,2014-10-02 01:11:41,2023-08-07 20:40:36,2023-07-24 21:36:49,2386,22.0,268.0,46,1008.0,16.0,535.0,1261,2023-02-07 04:34:38,0.11.13,404262.0,4870.0,100.0,Protocol buffer compiler for Scala.,120.0,25,True,1,,,,,,,,
31,lagom,lagom/lagom,distributed,,https://github.com/lagom/lagom,https://github.com/lagom/lagom,Apache-2.0,2016-02-23 01:51:06,2023-08-10 06:28:03,2023-06-30 16:01:35,2426,10.0,633.0,153,2274.0,455.0,642.0,2634,2021-12-14 11:16:46,1.6.7,,,49.0,Reactive Microservices for the JVM.,149.0,24,True,2,,,,,,,,
32,slick,slick/slick,db-clients,['scala3'],https://github.com/slick/slick,https://github.com/slick/slick,BSD-2-Clause,2009-02-20 22:51:53,2023-08-10 16:36:20,2023-08-10 16:36:19,3237,111.0,615.0,148,1400.0,421.0,940.0,2610,2022-09-13 19:27:07,3.4.1,,,17.0,Slick (Scala Language Integrated Connection Kit) is a modern database query and access library for Scala.,201.0,24,True,1,,,,,,,,
33,algebird,twitter/algebird,sci,,https://github.com/twitter/algebird,https://github.com/twitter/algebird,Apache-2.0,2012-08-02 17:24:42,2023-08-09 08:28:42,2023-08-09 08:28:42,1882,25.0,348.0,236,900.0,97.0,166.0,2258,2023-07-10 21:51:16,0.13.10,,,30.0,Abstract Algebra for Scala.,114.0,24,True,2,,,,,,,,
34,fs2,typelevel/fs2,reactive,"['scala3', 'scalajs']",https://github.com/typelevel/fs2,https://github.com/typelevel/fs2,,2013-03-06 17:34:15,2023-08-04 00:20:22,2023-07-31 13:22:48,9193,101.0,582.0,94,2541.0,96.0,643.0,2251,2023-07-31 13:43:09,3.8.0,,,100.0,"Compositional, streaming I/O library for Scala.",305.0,24,False,1,,,,,,,,
35,sangria,sangria-graphql/sangria,misc,['scala3'],https://github.com/sangria-graphql/sangria,https://github.com/sangria-graphql/sangria,Apache-2.0,2015-07-05 21:29:30,2023-08-07 20:26:35,2023-07-08 05:56:05,2017,72.0,221.0,60,586.0,60.0,402.0,1949,2023-06-20 17:48:50,4.0.1,,,80.0,Scala GraphQL implementation.,64.0,24,True,1,,,,,,,,
36,refined,fthomas/refined,toolkits,"['scala3', 'scalajs']",https://github.com/fthomas/refined,https://github.com/fthomas/refined,MIT,2015-05-10 16:23:16,2023-08-05 15:30:47,2023-08-05 15:30:47,3091,59.0,154.0,27,998.0,70.0,149.0,1631,2023-06-16 17:05:18,0.11.0,,,68.0,Refinement types for Scala.,77.0,24,True,1,,,,,,,,
37,scalameta,scalameta/scalameta,toolkits,['scalajs'],https://github.com/scalameta/scalameta,https://github.com/scalameta/scalameta,BSD-3-Clause,2014-06-16 23:00:32,2023-08-03 20:17:05,2023-08-01 15:48:45,7916,242.0,216.0,41,2139.0,140.0,1032.0,1050,2023-08-03 20:23:13,4.8.7,,,100.0,"Library to read, analyze, transform and generate Scala programs.",115.0,24,True,1,,,,,,,,
38,quill,zio/zio-quill,db-clients,"['zio', 'scala3', 'scalajs']",https://github.com/zio/zio-quill,https://github.com/zio/zio-quill,Apache-2.0,2015-07-20 22:15:04,2023-08-08 10:13:47,2023-08-08 10:13:47,3416,74.0,347.0,66,1794.0,348.0,717.0,2129,2023-06-24 09:14:02,4.6.1,,,1.0,Compile-time Language Integrated Queries for Scala.,142.0,23,True,1,,,,,,,,
39,scalacheck,typelevel/scalacheck,test,"['scala3', 'scalajs']",https://github.com/typelevel/scalacheck,https://github.com/typelevel/scalacheck,BSD-3-Clause,2011-05-26 11:44:12,2023-08-09 20:13:49,2023-08-04 12:49:40,2039,94.0,401.0,57,658.0,60.0,286.0,1886,2022-09-15 23:24:43,1.17.0,,,10.0,Property-based testing for Scala.,135.0,23,True,1,,,,,,,,
40,giter8,foundweekends/giter8,development-cycle,,https://github.com/foundweekends/giter8,https://github.com/foundweekends/giter8,Apache-2.0,2010-08-10 04:08:48,2023-08-04 14:05:20,2023-07-30 06:19:00,1296,25.0,229.0,73,552.0,44.0,228.0,1708,2023-05-02 05:25:32,0.16.2,,,17.0,a command line tool to apply templates defined on GitHub.,82.0,23,True,3,,,,,,,,
41,akka-http,akka/akka-http,http,['scala3'],https://github.com/akka/akka-http,https://github.com/akka/akka-http,,2016-08-19 11:33:36,2023-08-01 12:33:59,2023-07-31 12:01:40,4381,10.0,603.0,75,2353.0,567.0,1367.0,1332,2023-05-05 09:13:49,10.5.2,,,57.0,The Streaming-first HTTP server/module of Akka.,353.0,23,False,2,,,,,,,,
