,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id
0,gitbucket,gitbucket/gitbucket,development-cycle,https://github.com/gitbucket/gitbucket,https://github.com/gitbucket/gitbucket,Apache-2.0,2013-04-10 16:41:35,2024-10-08 21:29:26,2024-10-08 21:29:26,5993.0,43.0,1250.0,454.0,1840.0,351.0,1449.0,9147,2024-05-18 07:27:15,4.41.0,740705.0,5832.0,100.0,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility.",21.0,21.0,198.0,34,True,1,1.0,,,,,,
1,playframework,playframework/playframework,web-frameworks,https://github.com/playframework/playframework,https://github.com/playframework/playframework,Apache-2.0,2011-09-07 09:24:08,2024-10-09 19:35:45,2024-10-02 09:18:33,13840.0,71.0,4093.0,629.0,8891.0,438.0,3367.0,12546,2024-07-24 10:19:22,3.0.5,,,74.0,The Community Maintained High Velocity Web Framework For Java and Scala.,83.0,21.0,979.0,33,True,1,,com.typesafe.play:play_3,"['scala3', 'scalajs']",https://search.maven.org/artifact/com.typesafe.play/play_3,2024-07-24 08:46:29,62.0,
2,sbt,sbt/sbt,development-cycle,https://github.com/sbt/sbt,https://github.com/sbt/sbt,Apache-2.0,2009-08-17 00:31:14,2024-10-10 15:59:11,2024-10-09 20:22:15,12066.0,44.0,935.0,170.0,3298.0,826.0,3461.0,4798,2024-09-16 02:24:29,1.10.2,20628935.0,267908.0,100.0,"sbt, the interactive build tool.",,,426.0,33,True,1,,,['scala3'],,,,
3,zio,zio/zio,toolkits,https://github.com/zio/zio,https://github.com/zio/zio,Apache-2.0,2018-05-19 16:40:37,2024-10-10 13:23:34,2024-10-10 12:37:51,7796.0,142.0,1284.0,112.0,6598.0,403.0,2208.0,4080,2024-10-10 13:06:24,2.1.11,,,100.0,"ZIO A type-safe, composable library for async and concurrent programming in Scala.",1192.0,,723.0,32,True,1,,dev.zio:zio_2.13,"['scala3', 'scalajs']",https://search.maven.org/artifact/dev.zio/zio_2.13,2024-08-29 03:34:33,1192.0,
4,akka,akka/akka,distributed,https://github.com/akka/akka,https://github.com/akka/akka,,2009-02-16 12:51:54,2024-10-08 17:18:06,2024-10-08 17:18:03,27113.0,56.0,3594.0,574.0,11882.0,877.0,7177.0,13041,2024-10-02 10:02:41,2.7.1,,,57.0,"Build highly concurrent, distributed, and resilient message-driven applications on the JVM.",21.0,21.0,1059.0,30,False,1,,,['scala3'],,,,
5,mill,com-lihaoyi/mill,development-cycle,https://github.com/com-lihaoyi/mill,https://github.com/com-lihaoyi/mill,MIT,2017-10-17 03:43:19,2024-10-10 14:54:25,2024-10-10 14:44:11,3836.0,349.0,333.0,48.0,2544.0,176.0,838.0,2048,2024-08-20 16:27:18,0.11.12,1766455.0,24534.0,100.0,Mill is a fast JVM build tool that supports Java and Scala. 2-3x faster than Gradle and 5-10x faster than Maven for..,,,231.0,30,True,2,,,,,,,
6,kafka,apache/kafka,distributed,https://github.com/apache/kafka,https://github.com/apache/kafka,Apache-2.0,2011-08-15 18:06:16,2024-10-10 18:03:26,2024-10-10 17:23:14,13948.0,672.0,13802.0,1061.0,17455.0,1144.0,,28567,,,,,,Mirror of Apache Kafka.,25.0,25.0,1460.0,29,True,1,,,,,,,
7,flink,apache/flink,bigdata,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10,2024-10-10 17:37:32,2024-10-10 17:37:32,36008.0,401.0,13280.0,947.0,25474.0,1226.0,,23917,,,,,,Apache Flink.,21.0,21.0,1924.0,29,True,1,,,,,,,
8,spark-nlp,johnsnowlabs/spark-nlp,sci,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44,2024-10-10 16:01:13,2024-09-28 18:56:29,8603.0,48.0,710.0,99.0,13341.0,36.0,854.0,3832,2024-09-25 20:20:27,5.5.0,,,100.0,State of the Art Natural Language Processing.,512.0,512.0,113.0,29,True,1,,,,,,,
9,circe,circe/circe,json,https://github.com/circe/circe,https://github.com/circe/circe,Apache-2.0,2015-07-31 15:12:09,2024-10-07 17:39:46,2024-10-07 17:37:35,3197.0,54.0,539.0,64.0,1761.0,118.0,447.0,2485,2024-09-06 14:45:40,0.14.10,,,73.0,Yet another JSON library for Scala.,854.0,,290.0,29,True,1,,io.circe:circe-core_2.13,"['scala3', 'scalajs']",https://search.maven.org/artifact/io.circe/circe-core_2.13,2024-09-06 14:45:40,854.0,
10,coursier,coursier/coursier,sbt,https://github.com/coursier/coursier,https://github.com/coursier/coursier,Apache-2.0,2015-06-16 18:32:53,2024-10-10 09:02:36,2024-10-10 08:29:18,4392.0,86.0,305.0,57.0,1957.0,405.0,730.0,2036,2024-10-09 16:19:35,2.1.14,13893135.0,235476.0,100.0,Pure Scala Artifact Fetching.,,,146.0,29,True,1,,,['scalajs'],,,,
11,spark,apache/spark,bigdata,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08,2024-10-10 15:32:42,2024-10-10 15:32:37,42403.0,830.0,28233.0,2023.0,48382.0,220.0,,39459,,,,,,Apache Spark - A unified analytics engine for large-scale data processing.,,,3129.0,28,True,1,-1.0,,,,,,
12,finagle,twitter/finagle,distributed,https://github.com/twitter/finagle,https://github.com/twitter/finagle,Apache-2.0,2010-10-19 22:10:09,2024-10-08 22:17:11,2024-10-08 22:17:10,8168.0,7.0,1452.0,555.0,549.0,61.0,357.0,8787,2024-05-07 19:46:22,finagle-24.5.0,,,84.0,"A fault tolerant, protocol-agnostic RPC system.",21.0,21.0,529.0,28,True,2,,,,,,,
13,bigdl,intel-analytics/bigdl,sci,https://github.com/intel-analytics/ipex-llm,https://github.com/intel-analytics/ipex-llm,Apache-2.0,2016-08-29 07:59:50,2024-10-10 07:44:36,2024-10-10 07:44:36,3502.0,355.0,1212.0,250.0,9596.0,987.0,1588.0,6574,2024-08-22 09:06:57,2.1.0,639.0,7.0,19.0,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, Baichuan, Mixtral, Gemma, Phi, MiniCPM,..",,,108.0,28,True,1,,,,,,,intel-analytics/ipex-llm
14,gatling,gatling/gatling,test,https://github.com/gatling/gatling,https://github.com/gatling/gatling,Apache-2.0,2011-05-31 12:40:25,2024-10-08 14:56:17,2024-10-08 14:56:04,10795.0,140.0,1193.0,233.0,841.0,44.0,3705.0,6442,,,,,,Modern Load Testing as Code.,23.0,23.0,240.0,28,True,1,,,,,,,
15,cats,typelevel/cats,toolkits,https://github.com/typelevel/cats,https://github.com/typelevel/cats,,2015-01-28 20:26:48,2024-10-10 16:57:10,2024-10-10 16:53:49,6930.0,54.0,1206.0,189.0,3423.0,246.0,995.0,5246,2024-05-28 15:37:17,2.12.0,,,66.0,"Lightweight, modular, and extensible library for functional programming.",20.0,20.0,561.0,27,False,1,,,"['scala3', 'scalajs']",,,,
16,ammonite,com-lihaoyi/ammonite,toolkits,https://github.com/com-lihaoyi/Ammonite,https://github.com/com-lihaoyi/Ammonite,MIT,2015-01-13 07:34:38,2024-09-28 14:59:42,2024-09-28 14:56:26,2845.0,25.0,368.0,65.0,733.0,147.0,697.0,2607,2024-09-25 06:47:46,3.0.0,946995.0,10640.0,100.0,Scala Scripting.,,,146.0,27,True,1,,,['scala3'],,,,
17,scio,spotify/scio,bigdata,https://github.com/spotify/scio,https://github.com/spotify/scio,Apache-2.0,2015-03-26 19:07:34,2024-10-04 19:07:36,2024-10-04 19:07:35,5400.0,62.0,513.0,116.0,4229.0,137.0,1160.0,2551,2024-09-16 15:25:15,0.14.8,11963.0,139.0,100.0,A Scala API for Apache Beam and Google Cloud Dataflow.,,,246.0,27,True,2,,,,,,,
18,http4s,http4s/http4s,http,https://github.com/http4s/http4s,https://github.com/http4s/http4s,Apache-2.0,2012-03-12 04:41:20,2024-10-10 13:20:16,2024-10-08 11:17:24,17643.0,73.0,788.0,72.0,5979.0,328.0,1156.0,2550,2024-09-09 17:50:09,0.23.28,,,100.0,"A minimal, idiomatic Scala interface for HTTP.",,,472.0,27,True,1,,,"['scala3', 'scalajs']",,,,
19,metals,scalameta/metals,development-cycle,https://github.com/scalameta/metals,https://github.com/scalameta/metals,Apache-2.0,2017-11-03 14:18:53,2024-10-10 17:54:43,2024-10-10 16:33:18,8908.0,208.0,330.0,46.0,4595.0,262.0,1721.0,2083,2024-08-02 13:04:48,1.3.5,31.0,0.0,65.0,Scala language server with rich IDE features.,,,199.0,27,True,2,,,['scala3'],,,,
20,scalameta,scalameta/scalameta,toolkits,https://github.com/scalameta/scalameta,https://github.com/scalameta/scalameta,BSD-3-Clause,2014-06-16 23:00:32,2024-10-08 17:11:14,2024-10-08 17:11:14,8760.0,231.0,223.0,39.0,2754.0,145.0,1090.0,1110,2024-09-24 13:24:32,4.10.1,,,100.0,"Library to read, analyze, transform and generate Scala programs.",3.0,3.0,124.0,27,True,1,,,['scalajs'],,,,
21,bloop,scalacenter/bloop,development-cycle,https://github.com/scalacenter/bloop,https://github.com/scalacenter/bloop,Apache-2.0,2017-11-11 09:39:34,2024-10-10 16:35:52,2024-10-10 16:32:53,5620.0,155.0,202.0,26.0,1702.0,97.0,640.0,902,2024-10-09 09:19:43,2.0.3,201788.0,2491.0,69.0,"Bloop is a build server and CLI tool to compile, test and run Scala fast from any editor or build tool.",,,150.0,27,True,2,,,['scalajs'],,,,
22,smile,haifengl/smile,sci,https://github.com/haifengl/smile,https://github.com/haifengl/smile,,2014-11-20 16:28:12,2024-10-02 11:06:05,2024-10-02 11:05:59,4023.0,34.0,1127.0,269.0,175.0,10.0,602.0,6022,2024-05-22 14:55:38,3.1.1,11734.0,113.0,28.0,Statistical Machine Intelligence & Learning Engine.,21.0,21.0,72.0,26,False,1,-1.0,,['scala3'],,,,
23,shapeless,milessabin/shapeless,toolkits,https://github.com/milessabin/shapeless,https://github.com/milessabin/shapeless,Apache-2.0,2011-12-18 13:36:38,2024-10-08 20:29:46,2024-10-08 20:29:46,2731.0,9.0,532.0,103.0,967.0,34.0,384.0,3390,2024-05-18 09:37:07,2.3.12,,,9.0,Generic programming for Scala.,132.0,132.0,154.0,26,True,2,,,"['scala3', 'scalajs']",,,,
24,elastic4s,sksamuel/elastic4s,db-clients,https://github.com/Philippus/elastic4s,https://github.com/Philippus/elastic4s,Apache-2.0,2013-06-10 20:23:57,2024-10-09 07:03:36,2024-10-09 07:03:36,4942.0,70.0,685.0,76.0,2006.0,11.0,1157.0,1640,2024-09-25 20:24:39,8.15.2,,,54.0,"Elasticsearch Scala Client - Reactive, Non Blocking, Type Safe, HTTP Client.",,,412.0,26,True,1,,com.sksamuel.elastic4s:elastic4s_2.13,['scala3'],https://search.maven.org/artifact/com.sksamuel.elastic4s/elastic4s_2.13,,,Philippus/elastic4s
25,tapir,softwaremill/tapir,http,https://github.com/softwaremill/tapir,https://github.com/softwaremill/tapir,Apache-2.0,2018-12-09 16:43:49,2024-10-10 00:16:07,2024-10-09 14:16:33,9162.0,151.0,409.0,44.0,3206.0,158.0,734.0,1357,2024-10-09 15:34:51,1.11.7,,,100.0,Rapid development of self-documenting APIs.,,,305.0,26,True,1,,,"['scala3', 'scalajs']",,,,
26,scalapb,scalapb/scalapb,data,https://github.com/scalapb/ScalaPB,https://github.com/scalapb/ScalaPB,Apache-2.0,2014-10-02 01:11:41,2024-10-02 00:59:22,2024-10-02 00:59:22,2558.0,32.0,280.0,44.0,1158.0,34.0,574.0,1301,2024-10-01 03:15:46,1.0.0-alpha.1,522570.0,5500.0,100.0,Protocol buffer compiler for Scala.,,,127.0,26,True,1,,,"['scala3', 'scalajs']",,,,
27,scala-cli,VirtusLab/scala-cli,development-cycle,https://github.com/VirtusLab/scala-cli,https://github.com/VirtusLab/scala-cli,Apache-2.0,2021-05-10 12:29:24,2024-10-08 06:53:52,2024-10-08 06:53:51,4324.0,183.0,128.0,21.0,2204.0,271.0,683.0,546,2024-10-01 11:17:59,1.5.1,1281249.0,33717.0,58.0,"Scala CLI is a command-line tool to interact with the Scala language. It lets you compile, run, test, and package your..",,,90.0,26,True,2,,,['scala3'],,,,
28,Snowplow,snowplow/snowplow,sci,https://github.com/snowplow/snowplow,https://github.com/snowplow/snowplow,Apache-2.0,2012-03-01 13:02:21,2024-09-02 14:31:11,2024-09-02 14:31:06,6749.0,1.0,1189.0,268.0,492.0,57.0,3906.0,6830,2022-01-31 21:28:26,22.01,6981.0,51.0,85.0,The leader in Next-Generation Customer Data Infrastructure.,21.0,21.0,103.0,25,True,2,,,,,,,
29,scala-js,scala-js/scala-js,scala-js,https://github.com/scala-js/scala-js,https://github.com/scala-js/scala-js,Apache-2.0,2013-02-18 16:33:55,2024-10-07 11:40:11,2024-10-07 11:40:11,7408.0,115.0,387.0,147.0,2785.0,46.0,2204.0,4591,2024-09-28 08:23:33,1.17.0,,,27.0,"Scala.js, the Scala to JavaScript compiler.",,,105.0,25,True,1,,,['scalajs'],,,,
30,slick,slick/slick,db-clients,https://github.com/slick/slick,https://github.com/slick/slick,BSD-2-Clause,2009-02-20 22:51:53,2024-10-10 04:26:10,2024-10-10 03:30:35,3491.0,55.0,609.0,142.0,1595.0,426.0,950.0,2648,2024-10-01 12:42:17,3.5.2,,,22.0,Slick (Scala Language Integrated Connection Kit) is a modern database query and access library for Scala.,,,204.0,25,True,1,,,['scala3'],,,,
