,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,trending,github_release_downloads,monthly_downloads
211,sbt-android,scala-android/sbt-android,,others,,https://github.com/scala-android/sbt-android,https://github.com/scala-android/sbt-android,,2012-02-24 04:11:36,2020-12-03 18:44:05,2019-10-18 20:27:53,1284,,90.0,59,77.0,17.0,253.0,743,,,,An easy-to-use sbt plugin for working with all Android projects.,,,35.0,14,,,,False,2,,,
212,scalatags,com-lihaoyi/scalatags,,templating,"['scala3', 'scalajs']",https://github.com/com-lihaoyi/scalatags,https://github.com/com-lihaoyi/scalatags,MIT,2012-11-01 21:35:17,2023-10-26 13:00:40,2023-10-26 13:00:39,603,1.0,116.0,36,135.0,31.0,109.0,724,,,,ScalaTags is a small XML/HTML construction library for Scala.,,,61.0,14,,,,True,3,,,
213,parboiled2,sirthias/parboiled2,,parsers,"['scala3', 'scalajs']",https://github.com/sirthias/parboiled2,https://github.com/sirthias/parboiled2,,2013-04-18 10:48:21,2023-10-25 22:37:48,2023-10-25 22:37:48,931,32.0,91.0,26,353.0,35.0,118.0,712,,,,A macro-based PEG parser generator for Scala 2.10+.,,,37.0,14,,,,False,3,,,
214,requests-scala,com-lihaoyi/requests-scala,,http,['scala3'],https://github.com/com-lihaoyi/requests-scala,https://github.com/com-lihaoyi/requests-scala,,2018-07-19 11:06:17,2023-10-01 07:37:13,2022-12-25 14:15:38,165,,68.0,12,79.0,28.0,37.0,685,2022-12-25 14:57:04,0.8.0,6.0,"A Scala port of the popular Python Requests HTTP client: flexible, intuitive, and straightforward to use.",,,29.0,14,,,,False,3,,,
215,scala-csv,tototoshi/scala-csv,,csv-yaml,['scala3'],https://github.com/tototoshi/scala-csv,https://github.com/tototoshi/scala-csv,,2012-03-08 17:02:19,2023-10-23 22:54:07,2023-10-23 22:54:03,482,20.0,139.0,27,208.0,30.0,64.0,682,,,,CSV Reader/Writer for Scala.,,,34.0,14,,,,False,2,,,
216,Laminar,raquo/Laminar,,scala-js,"['scala3', 'scalajs']",https://github.com/raquo/Laminar,https://github.com/raquo/Laminar,MIT,2017-04-06 06:06:49,2023-10-13 02:23:00,2023-10-13 02:22:57,562,5.0,43.0,23,36.0,18.0,75.0,671,,,,"Simple, expressive, and safe UI library for Scala.js.",,,13.0,14,,,,True,3,,,
217,casbah,mongodb/casbah,,db-clients,,https://github.com/mongodb/casbah,https://github.com/mongodb/casbah,,2010-10-29 18:39:30,2022-01-20 16:56:00,2022-01-20 16:55:58,1108,,133.0,63,64.0,7.0,,526,,,,Casbah is now officially end-of-life (EOL).,,,36.0,14,,,,False,3,,,
218,scalameter,scalameter/scalameter,,test,,https://github.com/scalameter/scalameter,https://github.com/scalameter/scalameter,,2012-11-18 20:56:32,2022-08-22 09:03:55,2022-08-22 09:03:55,798,,70.0,29,130.0,47.0,65.0,505,,,,Microbenchmarking and performance regression testing framework for the JVM platform.,,,48.0,14,,,,False,3,,,
219,sbt-pack,xerial/sbt-pack,,sbt,,https://github.com/xerial/sbt-pack,https://github.com/xerial/sbt-pack,,2012-11-19 06:44:58,2023-10-24 12:37:40,2023-10-24 12:37:39,878,30.0,72.0,14,360.0,29.0,69.0,484,2022-11-24 02:03:25,0.17,12.0,A sbt plugin for creating distributable Scala packages.,,,36.0,14,,,,False,3,,,
220,utest,com-lihaoyi/utest,,test,"['scala3', 'scalajs']",https://github.com/com-lihaoyi/utest,https://github.com/com-lihaoyi/utest,,2014-01-27 03:12:39,2023-10-04 13:29:05,2023-04-29 21:54:02,687,,80.0,15,176.0,28.0,106.0,481,2022-09-06 22:28:12,0.8.1,8.0,A simple testing framework for Scala.,,,48.0,14,,,,False,3,,,
221,splain,tek/splain,,sbt,,https://github.com/tek/splain,https://github.com/tek/splain,MIT,2016-12-18 00:02:41,2023-10-12 00:35:01,2023-10-12 00:35:01,349,6.0,30.0,10,52.0,14.0,54.0,367,2023-09-26 21:36:37,Release/1.0.3-2.13.12,30.0,better implicit errors for scala.,,,18.0,14,,,,True,3,,193.0,2.0
222,hamsters,scala-hamsters/hamsters,,toolkits,['scalajs'],https://github.com/scala-hamsters/hamsters,https://github.com/scala-hamsters/hamsters,Apache-2.0,2016-04-18 13:12:24,2020-12-19 17:54:15,2020-02-25 09:53:53,587,,26.0,22,70.0,5.0,61.0,294,,,,A mini Scala utility library.,,,24.0,14,,,,False,3,,,
223,scalaprops,scalaprops/scalaprops,,test,"['scala3', 'scalajs']",https://github.com/scalaprops/scalaprops,https://github.com/scalaprops/scalaprops,MIT,2015-05-05 03:19:11,2023-10-24 22:38:07,2023-10-24 22:38:07,1220,27.0,21.0,13,372.0,8.0,12.0,276,,,,property based testing library for Scala.,,,12.0,14,,,,True,3,,,
224,scalajs-angular,greencatsoft/scalajs-angular,,scala-js,['scalajs'],https://github.com/greencatsoft/scalajs-angular,https://github.com/greencatsoft/scalajs-angular,Apache-2.0,2014-07-20 06:46:33,2021-01-18 09:51:02,2021-01-18 09:49:36,349,,43.0,25,60.0,18.0,39.0,259,2015-02-04 12:43:03,0.3,2.0,AngularJS Binding for Scala.js.,,,18.0,14,,,,False,3,,,
225,chaos,mesosphere/chaos,,web-frameworks,,https://github.com/mesosphere/chaos,https://github.com/mesosphere/chaos,Apache-2.0,2013-06-25 14:53:40,2019-04-15 12:17:35,2019-04-15 12:17:21,224,,36.0,153,52.0,13.0,15.0,252,2017-04-05 09:50:47,0.8.8,1.0,A lightweight framework for writing REST services in Scala.,,,20.0,14,,,,False,3,,,
226,scalajs-bundler,scalacenter/scalajs-bundler,,scala-js,,https://github.com/scalacenter/scalajs-bundler,https://github.com/scalacenter/scalajs-bundler,,2016-09-21 12:18:53,2023-10-23 00:24:35,2023-05-03 03:11:16,534,,100.0,24,262.0,88.0,133.0,232,2022-11-14 16:00:20,0.21.1,13.0,,,,49.0,14,,,,False,3,,,
227,ox,softwaremill/ox,,toolkits,['scala3'],https://github.com/softwaremill/ox,https://github.com/softwaremill/ox,,2023-01-18 14:28:30,2023-10-26 17:11:40,2023-10-26 13:44:39,226,88.0,9.0,27,24.0,1.0,2.0,218,2023-09-21 02:52:34,0.0.14,11.0,Developer-friendly structured concurrency library for the JVM.,,,8.0,14,,,,False,3,,,
228,scrypto,input-output-hk/scrypto,,sec,['scalajs'],https://github.com/input-output-hk/scrypto,https://github.com/input-output-hk/scrypto,CC0-1.0,2015-12-22 17:38:21,2023-07-10 12:47:22,2023-03-01 09:26:40,1020,,52.0,24,85.0,8.0,15.0,197,2022-01-05 11:32:22,2.2.1,9.0,Cryptographic primitives for Scala.,,,24.0,14,,,,False,3,,,
229,nodejs,scalajs-io/nodejs,,scala-js,['scalajs'],https://github.com/scalajs-io/nodejs,https://github.com/scalajs-io/nodejs,Apache-2.0,2016-04-09 01:52:17,2023-05-20 00:10:23,2019-06-17 23:00:05,209,,25.0,15,8.0,5.0,14.0,162,2017-10-14 23:09:17,0.4.2,49.0,This project provides Scala.js type-safe bindings for Node.js (current) v8.7.0 and LTS v6.11.4 APIs. The platform..,,,4.0,14,,,,False,3,,7934.0,88.0
230,openai-scala-client,cequence-io/openai-scala-client,io.cequence:openai-scala-client_2.13,sci,['scala3'],https://github.com/cequence-io/openai-scala-client,https://github.com/cequence-io/openai-scala-client,MIT,2023-01-25 10:09:04,2023-10-22 16:30:43,2023-10-02 08:10:36,201,24.0,10.0,7,17.0,9.0,20.0,123,2023-10-03 15:47:39,0.5.0,11.0,Scala client for OpenAI API.,2.0,,3.0,14,https://search.maven.org/artifact/io.cequence/openai-scala-client_2.13,2023-10-01 20:34:34,2.0,True,3,,,
231,finagle-postgres,finagle/finagle-postgres,,db-clients,,https://github.com/finagle/finagle-postgres,https://github.com/finagle/finagle-postgres,Apache-2.0,2015-03-10 16:01:08,2023-09-05 22:07:32,2021-06-02 20:15:58,486,,40.0,9,287.0,15.0,25.0,83,2021-04-23 22:46:03,0.13,16.0,PostgreSQL protocol support for Finagle.,,,34.0,14,,,,False,3,,,
232,stac4s,stac-utils/stac4s,,others,['scalajs'],https://github.com/stac-utils/stac4s,https://github.com/stac-utils/stac4s,Apache-2.0,2019-11-23 20:43:52,2023-10-26 13:49:15,2023-10-26 13:49:15,406,12.0,9.0,9,564.0,20.0,31.0,15,2023-10-03 14:41:12,0.9.0,24.0,a scala library with primitives to build applications using the SpatioTemporal Asset Catalogs specification.,,,15.0,14,,,,True,2,,,
233,scaloid,pocorall/scaloid,,others,,https://github.com/pocorall/scaloid,https://github.com/pocorall/scaloid,,2012-10-08 05:53:22,2018-08-07 08:10:53,2018-08-06 09:36:17,895,,171.0,139,58.0,18.0,78.0,2100,2016-03-09 01:14:23,4.2,1.0,Scaloid makes your Android code easy to understand and maintain.,,,19.0,13,,,,False,2,,,
234,sbt-revolver,spray/sbt-revolver,,sbt,,https://github.com/spray/sbt-revolver,https://github.com/spray/sbt-revolver,Apache-2.0,2011-12-15 10:04:49,2023-04-08 09:28:56,2023-04-08 09:16:34,170,,54.0,22,31.0,21.0,64.0,837,,,,An SBT plugin for dangerously fast development turnaround in Scala.,,,16.0,13,,,,True,3,,,
235,tut,tpolecat/tut,,sbt,,https://github.com/tpolecat/tut,https://github.com/tpolecat/tut,MIT,2013-10-25 21:41:48,2021-04-12 21:20:42,2021-04-12 21:20:42,454,,62.0,19,150.0,63.0,52.0,595,,,,doc/tutorial generator for scala.,,,38.0,13,,,,False,3,,,
236,scala-clippy,softwaremill/scala-clippy,,sbt,,https://github.com/softwaremill/scala-clippy,https://github.com/softwaremill/scala-clippy,Apache-2.0,2015-12-19 20:13:21,2019-03-14 17:25:51,2019-03-14 11:17:52,260,,20.0,19,29.0,14.0,22.0,315,2019-03-14 17:25:51,0.6.1,20.0,Good advice for Scala compiler errors.,,,8.0,13,,,,False,3,,,
237,banana-rdf,banana-rdf/banana-rdf,,others,['scalajs'],https://github.com/banana-rdf/banana-rdf,https://github.com/banana-rdf/banana-rdf,,2012-04-30 03:02:56,2023-07-11 15:24:27,2021-10-29 02:29:24,1342,,66.0,32,194.0,99.0,90.0,294,,,,Banana RDF.,,,30.0,13,,,,False,2,,,
238,op-rabbit,spingo/op-rabbit,,others,,https://github.com/SpinGo/op-rabbit,https://github.com/SpinGo/op-rabbit,,2015-05-11 02:09:44,2021-10-28 21:40:36,2020-03-07 23:06:30,345,,74.0,14,59.0,37.0,107.0,238,2018-02-03 17:34:07,2.1.0,2.0,The Opinionated RabbitMQ Library for Scala and Akka.,,,38.0,13,,,,False,2,,,
239,fansi,com-lihaoyi/fansi,,others,"['scala3', 'scalajs']",https://github.com/com-lihaoyi/fansi,https://github.com/com-lihaoyi/fansi,,2016-05-26 00:43:32,2023-10-04 13:20:15,2023-08-31 08:55:10,137,1.0,24.0,7,62.0,10.0,10.0,221,2022-07-09 10:59:51,0.4.0,6.0,Scala/Scala.js library for manipulating Fancy Ansi colored strings.,,,14.0,13,,,,False,2,,,
240,borer,sirthias/borer,,json,"['scala3', 'scalajs']",https://github.com/sirthias/borer,https://github.com/sirthias/borer,MPL-2.0,2019-03-04 21:32:46,2023-10-25 05:37:01,2023-10-13 12:16:44,993,14.0,13.0,10,562.0,8.0,110.0,207,,,,Efficient CBOR and JSON (de)serialization in Scala.,,,9.0,13,,,,True,3,,,
241,scredis,Livestream/scredis,,db-clients,,https://github.com/Livestream/scredis,https://github.com/Livestream/scredis,Apache-2.0,2013-02-27 16:13:18,2018-06-21 20:42:37,2018-06-21 20:42:37,147,,17.0,35,8.0,1.0,51.0,153,2014-12-16 16:04:30,2.0.6,24.0,"Non-blocking, ultra-fast Scala Redis client built on top of Akka IO, used in production at Livestream.",,,7.0,13,,,,False,3,,,
242,doddle-model,picnicml/doddle-model,,sci,,https://github.com/picnicml/doddle-model,https://github.com/picnicml/doddle-model,Apache-2.0,2018-02-09 13:54:54,2023-09-13 22:53:52,2020-03-27 10:19:20,299,,23.0,16,140.0,30.0,29.0,140,,,11.0,doddle-model: machine learning in Scala.,,,8.0,13,,,,False,3,,,
243,onnx-scala,emergentorder/onnx-scala,,sci,"['scala3', 'scalajs']",https://github.com/EmergentOrder/onnx-scala,https://github.com/EmergentOrder/onnx-scala,AGPL-3.0,2018-08-15 00:20:30,2023-10-24 17:32:11,2023-10-21 15:06:45,1383,36.0,10.0,8,426.0,2.0,8.0,134,2022-12-22 18:12:39,0.17.0,13.0,"An ONNX (Open Neural Network eXchange) API and backend for typeful, functional deep learning and classical machine..",,,4.0,13,,,,True,3,,,
244,rtree2d,plokhotnyuk/rtree2d,,others,"['scala3', 'scalajs']",https://github.com/plokhotnyuk/rtree2d,https://github.com/plokhotnyuk/rtree2d,Apache-2.0,2018-05-07 15:52:10,2023-10-25 03:08:41,2023-10-25 03:08:41,702,18.0,11.0,11,457.0,8.0,10.0,126,2022-10-13 10:21:18,0.11.12,26.0,RTree2D is a 2D immutable R-tree for ultra-fast nearest and intersection queries in plane and spherical coordinates.,,,6.0,13,,,,True,2,,,
245,scruid,ing-bank/scruid,,db-clients,,https://github.com/ing-bank/scruid,https://github.com/ing-bank/scruid,Apache-2.0,2017-07-04 07:59:24,2021-07-04 10:22:44,2021-06-07 15:35:59,252,,26.0,16,77.0,7.0,31.0,115,2021-06-07 15:35:10,2.5.0,15.0,"Scala + Druid: Scruid. A library that allows you to compose queries in Scala, and parse the result back into typesafe..",,,19.0,13,,,,False,3,,,
246,clickhouse-scala-client,crobox/clickhouse-scala-client,,db-clients,,https://github.com/crobox/clickhouse-scala-client,https://github.com/crobox/clickhouse-scala-client,LGPL-3.0,2017-03-31 13:40:12,2023-10-03 15:06:41,2023-10-03 15:06:40,880,7.0,22.0,10,118.0,13.0,20.0,111,2023-08-29 11:58:56,1.0.18,48.0,Clickhouse Scala Client with Reactive Streams support.,,,17.0,13,,,,True,3,,,
247,laserdisc,laserdisc-io/laserdisc,,db-clients,['scalajs'],https://github.com/laserdisc-io/laserdisc,https://github.com/laserdisc-io/laserdisc,MIT,2018-06-05 09:07:12,2023-10-22 23:43:45,2023-10-22 23:43:45,673,20.0,14.0,6,742.0,14.0,11.0,90,2022-11-22 23:17:24,0.6.0,21.0,A Future-free Fs2 native pure FP Redis client.,,,11.0,13,,,,True,3,,,
248,sbt-api-mappings,ThoughtWorksInc/sbt-api-mappings,,sbt,,https://github.com/ThoughtWorksInc/sbt-api-mappings,https://github.com/ThoughtWorksInc/sbt-api-mappings,Apache-2.0,2015-07-10 16:28:55,2023-09-18 23:16:45,2023-07-15 18:48:14,500,,17.0,33,156.0,8.0,6.0,88,2022-03-19 19:01:11,3.0.2,8.0,An Sbt plugin that fills apiMappings for common Scala libraries.,,,12.0,13,,,,True,3,,,
249,gallia-core,galliaproject/gallia-core,,bigdata,,https://github.com/galliaproject/gallia-core,https://github.com/galliaproject/gallia-core,Apache-2.0,2021-02-05 18:36:52,2023-10-10 19:17:59,2023-10-10 19:17:56,430,48.0,4.0,7,,,1.0,79,2023-09-19 17:39:03,0.5.0,5.0,A schema-aware Scala library for data transformation.,,,1.0,13,,,,True,3,,,
250,franklin,azavea/franklin,,others,,https://github.com/azavea/franklin,https://github.com/azavea/franklin,Apache-2.0,2019-11-05 11:43:39,2023-10-26 13:50:32,2023-10-26 13:50:32,1014,49.0,18.0,14,1381.0,96.0,101.0,70,,,,A STAC/OGC API Features Web Service.,,,12.0,13,,,,True,2,,,
251,enableIf.scala,ThoughtWorksInc/enableIf.scala,,toolkits,,https://github.com/ThoughtWorksInc/enableIf.scala,https://github.com/ThoughtWorksInc/enableIf.scala,Apache-2.0,2016-04-13 14:26:48,2023-09-18 23:16:10,2023-07-02 02:55:58,438,,5.0,28,125.0,5.0,5.0,65,2022-04-02 07:19:04,1.1.8,3.0,"A library that toggles Scala code at compile-time, like #if in C/C++.",,,6.0,13,,,,True,3,,,
252,reactor-scala-extensions,spring-attic/reactor-scala-extensions,,reactive,,https://github.com/spring-attic/reactor-scala-extensions,https://github.com/spring-attic/reactor-scala-extensions,Apache-2.0,2017-04-18 11:51:30,2022-03-01 19:25:25,2022-03-01 19:25:25,1392,,16.0,8,42.0,,34.0,52,2020-08-10 14:28:32,0.8.0,21.0,A scala extension for Project Reactors Flux and Mono.,,,16.0,13,,,,False,3,,,
253,dregex,marianobarrios/dregex,,env,,https://github.com/marianobarrios/dregex,https://github.com/marianobarrios/dregex,BSD-2-Clause,2014-05-20 22:38:39,2023-10-21 09:40:19,2023-10-21 09:40:10,305,27.0,4.0,5,63.0,2.0,3.0,39,2021-12-30 23:56:20,0.7.0,3.0,Dregex is a Java library that implements a regular expression engine using deterministic finite automata (DFA). It..,,,6.0,13,,,,True,1,,,
254,fury,propensive/fury,,development-cycle,,https://github.com/propensive/fury,https://github.com/propensive/fury,Apache-2.0,2021-12-07 07:56:05,2023-10-25 19:38:55,2023-10-25 19:38:55,211,54.0,,4,9.0,11.0,20.0,13,2022-12-04 21:54:49,0.8.0,9.0,A build tool for Scala.,,,,13,,,,False,3,,1235.0,58.0
255,molecule,scalamolecule/molecule,,db-clients,"['scala3', 'scalajs']",https://github.com/scalamolecule/molecule,https://github.com/scalamolecule/molecule,Apache-2.0,2022-08-28 09:13:41,2023-10-16 18:48:55,2023-10-16 18:48:48,206,71.0,,3,,,,6,2023-10-16 18:35:37,0.7.0,8.0,Molecule translates custom Scala code to database queries for multiple databases.,,,,13,,,,False,3,,,
256,scala.rx,lihaoyi/scala.rx,,reactive,['scalajs'],https://github.com/lihaoyi/scala.rx,https://github.com/lihaoyi/scala.rx,,2012-09-26 15:18:46,2023-06-10 18:22:22,2022-02-14 22:51:54,323,,82.0,54,223.0,25.0,55.0,985,,,,An experimental library for Functional Reactive Programming in Scala.,,,21.0,12,,,,False,3,,,
257,better-monadic-for,oleg-py/better-monadic-for,,sbt,,https://github.com/oleg-py/better-monadic-for,https://github.com/oleg-py/better-monadic-for,MIT,2018-03-29 19:47:54,2021-12-31 00:10:05,2021-05-25 08:10:05,80,,31.0,21,18.0,11.0,26.0,692,,,1.0,Desugaring scala `for` without implicit `withFilter`s.,,,10.0,12,,,,False,3,,,
258,akka-quartz-scheduler,enragedginger/akka-quartz-scheduler,,others,['scala3'],https://github.com/enragedginger/akka-quartz-scheduler,https://github.com/enragedginger/akka-quartz-scheduler,,2013-04-13 02:48:41,2023-04-20 18:42:01,2022-07-24 14:56:33,191,,107.0,28,45.0,7.0,69.0,560,,,,Quartz Extension and utilities for cron-style scheduling in Akka.,,,41.0,12,,,,False,3,,,
259,accord,wix-incubator/accord,,data,['scalajs'],https://github.com/wix-incubator/accord,https://github.com/wix-incubator/accord,,2013-11-13 15:55:53,2022-11-23 10:05:39,2022-11-23 10:05:39,644,,54.0,285,36.0,24.0,93.0,534,,,,Accord: A sane validation library for Scala.,,,12.0,12,,,,False,3,,,
260,salat,salat/salat,,db-clients,,https://github.com/salat/salat,https://github.com/salat/salat,,2011-01-12 16:54:23,2019-03-03 13:32:54,2019-03-03 13:32:53,877,,109.0,55,82.0,37.0,97.0,488,,,,Salat is a simple serialization library for case classes.,,,43.0,12,,,,False,3,,,
261,scala-stm,nbronson/scala-stm,,others,,https://github.com/nbronson/scala-stm,https://github.com/nbronson/scala-stm,BSD-3-Clause,2010-07-08 23:40:04,2023-04-14 17:30:52,2018-03-14 17:04:15,496,,35.0,17,20.0,12.0,43.0,247,,,,"A library-based Software Transactional Memory (STM) for Scala, coupled with transactional sets and maps.",,,11.0,12,,,,False,3,,,
262,scala-ssh,sirthias/scala-ssh,,others,['scala3'],https://github.com/sirthias/scala-ssh,https://github.com/sirthias/scala-ssh,Apache-2.0,2011-10-28 14:07:59,2021-07-09 08:32:58,2021-07-09 08:32:58,157,,53.0,16,29.0,16.0,12.0,234,,,,Remote shell access via SSH for your Scala applications.,,,21.0,12,,,,False,3,,,
263,reactive,nafg/reactive,,web-frameworks,['scalajs'],https://github.com/nafg/reactive,https://github.com/nafg/reactive,,2010-05-27 23:21:42,2023-09-26 16:51:31,2021-02-28 04:06:13,1147,,41.0,18,143.0,29.0,53.0,215,,,,A simple FRP library and a web UI framework built on it.,,,11.0,12,,,,False,3,,,
264,squid,epfldata/squid,,toolkits,,https://github.com/epfldata/squid,https://github.com/epfldata/squid,Apache-2.0,2016-03-08 21:53:00,2020-11-23 16:20:35,2020-11-23 16:20:07,583,,12.0,16,18.0,17.0,33.0,196,,,4.0,Squid type-safe metaprogramming and compilation framework for Scala.,,,6.0,12,,,,False,3,,,
265,spoiwo,norbert-radyk/spoiwo,,csv-yaml,['scala3'],https://github.com/norbert-radyk/spoiwo,https://github.com/norbert-radyk/spoiwo,MIT,2014-01-05 13:42:05,2022-09-18 15:42:58,2022-09-18 15:42:58,256,,43.0,12,44.0,11.0,21.0,182,,,,Scala POI Wrapper for the spreadsheet generation in Excel:.,,,20.0,12,,,,True,3,,,
266,log4s,Log4s/log4s,,logging,"['scala3', 'scalajs']",https://github.com/Log4s/log4s,https://github.com/Log4s/log4s,,2013-04-28 07:57:48,2022-07-08 02:08:50,2022-07-08 02:08:50,378,,22.0,9,62.0,12.0,21.0,172,,,,High-performance SLF4J wrapper for Scala.,,,14.0,12,,,,False,3,,,
267,mainargs,com-lihaoyi/mainargs,,others,"['scala3', 'scalajs']",https://github.com/com-lihaoyi/mainargs,https://github.com/com-lihaoyi/mainargs,,2020-11-14 09:00:48,2023-09-19 15:37:06,2023-09-19 15:37:05,154,8.0,15.0,6,80.0,15.0,9.0,165,2023-09-17 19:16:31,0.5.4,9.0,"A small, convenient, dependency-free library for command-line argument parsing in Scala.",,,8.0,12,,,,False,3,,,
268,sbt-pgp,sbt/sbt-pgp,,sbt,,https://github.com/sbt/sbt-pgp,https://github.com/sbt/sbt-pgp,,2011-09-08 15:58:10,2022-12-06 03:24:26,2022-12-06 03:24:26,333,,52.0,7,86.0,18.0,97.0,141,2022-12-06 03:46:29,2.2.1,15.0,PGP plugin for sbt.,,,33.0,12,,,,False,3,,,
269,optimus,vagmcs/optimus,,sci,['scala3'],https://github.com/vagmcs/Optimus,https://github.com/vagmcs/Optimus,LGPL-3.0,2014-12-23 12:23:36,2023-02-04 17:10:50,2022-08-27 20:53:36,279,,26.0,8,19.0,,21.0,140,2022-08-28 16:54:49,3.4.3,1.0,Optimus is a mathematical programming library for Scala.,,,9.0,12,,,,True,3,,1775.0,126.0
270,fastring,atry/fastring,,env,['scalajs'],https://github.com/Atry/fastring,https://github.com/Atry/fastring,Apache-2.0,2012-11-25 07:09:25,2023-10-24 13:59:54,2023-07-15 18:09:07,532,,9.0,8,213.0,3.0,4.0,123,2018-03-26 01:49:18,1.0.0,4.0,Extremely fast string formatting.,,,7.0,12,,,,True,2,,,
271,lolhttp,criteo/lolhttp,,http,,https://github.com/criteo/lolhttp,https://github.com/criteo/lolhttp,Apache-2.0,2017-04-28 07:06:53,2023-10-24 16:18:26,2023-07-17 16:35:50,126,,18.0,19,199.0,29.0,8.0,93,2023-07-17 16:37:14,0.13.6,31.0,An HTTP Server and Client library for Scala.,,,20.0,12,,,,True,3,,,
272,fast-string-interpolator,plokhotnyuk/fast-string-interpolator,,env,"['scala3', 'scalajs']",https://github.com/plokhotnyuk/fast-string-interpolator,https://github.com/plokhotnyuk/fast-string-interpolator,Apache-2.0,2018-03-06 17:45:04,2023-10-17 00:44:07,2023-09-13 11:41:00,364,4.0,6.0,15,262.0,2.0,5.0,86,2022-10-13 08:37:27,0.6.3,11.0,Scala macro that generates ultra-fast string interpolators.,,,7.0,12,,,,True,2,,,
273,osm4scala,simplexspatial/osm4scala,,others,,https://github.com/simplexspatial/osm4scala,https://github.com/simplexspatial/osm4scala,MIT,2016-05-17 20:15:23,2023-08-10 05:13:53,2022-09-08 17:18:54,266,,15.0,5,40.0,24.0,47.0,75,2022-09-08 17:30:18,1.0.11,9.0,Scala and Spark library focused on reading OpenStreetMap Pbf files.,,,4.0,12,,,,True,3,,42.0,1.0
274,sttp-oauth2,ocadotechnology/sttp-oauth2,com.ocadotechnology:sttp-oauth2_2.13,sec,,https://github.com/ocadotechnology/sttp-oauth2,https://github.com/ocadotechnology/sttp-oauth2,Apache-2.0,2020-12-08 14:03:13,2023-10-22 14:29:38,2023-10-17 00:15:03,449,9.0,20.0,9,405.0,23.0,20.0,68,2023-01-13 08:42:46,0.16.0,30.0,OAuth2 client library implemented in Scala using sttp.,,,14.0,12,https://search.maven.org/artifact/com.ocadotechnology/sttp-oauth2_2.13,2023-02-28 11:24:45,,True,3,,,
275,sbt-ide-settings,Jetbrains/sbt-ide-settings,,sbt,,https://github.com/JetBrains/sbt-ide-settings,https://github.com/JetBrains/sbt-ide-settings,Apache-2.0,2015-02-13 12:06:38,2023-10-10 08:48:22,2023-10-10 08:08:15,40,6.0,7.0,22,2.0,8.0,6.0,57,2023-02-06 17:13:32,1.1.1,4.0,SBT plugin for tweaking various IDE settings.,,,7.0,12,,,,True,3,,,
276,scowl,phenoscape/scowl,,others,['scala3'],https://github.com/phenoscape/scowl,https://github.com/phenoscape/scowl,MIT,2013-05-10 18:08:52,2023-10-24 23:26:36,2022-03-30 19:07:24,243,,9.0,9,163.0,8.0,4.0,55,2022-03-30 16:58:35,1.4.1,9.0,A Scala DSL for programming with the OWL API.,,,3.0,12,,,,False,3,,,
277,spata,fingo/spata,,csv-yaml,['scala3'],https://github.com/fingo/spata,https://github.com/fingo/spata,Apache-2.0,2020-05-29 22:01:35,2023-09-23 19:39:50,2023-09-23 19:36:24,448,5.0,5.0,3,25.0,1.0,3.0,19,2023-06-01 15:39:17,3.1.0,10.0,"Functional, stream-based CSV processor for Scala.",,,3.0,12,,,,True,3,,,
278,curiodb,stephenmcd/curiodb,,distributed,,https://github.com/stephenmcd/curiodb,https://github.com/stephenmcd/curiodb,BSD-2-Clause,2015-04-26 01:47:43,2018-11-04 22:44:22,2018-11-04 22:44:21,139,,44.0,35,19.0,5.0,7.0,512,,,,Distributed NoSQL Database.,,,6.0,11,,,,False,3,,,
279,akka-tracing,levkhomich/akka-tracing,,distributed,,https://github.com/levkhomich/akka-tracing,https://github.com/levkhomich/akka-tracing,,2014-03-15 20:15:30,2018-01-31 15:10:20,2018-01-13 12:03:50,355,,35.0,28,18.0,22.0,75.0,315,,,,"A distributed tracing extension for Akka. Provides integration with Play framework, Spray and Akka HTTP.",,,8.0,11,,,,False,3,,,
280,scalacollider,sciss/scalacollider,,media,"['scala3', 'scalajs']",https://github.com/Sciss/ScalaCollider,https://github.com/Sciss/ScalaCollider,AGPL-3.0,2009-12-10 16:39:10,2021-11-18 09:19:03,2021-10-24 16:33:52,581,,19.0,15,5.0,8.0,,205,,,,A Scala sound synthesis library based on SuperCollider. Mirror of https://codeberg.org/sciss/ScalaCollider.,,,2.0,11,,,,False,2,,,
281,scalive,xitrum-framework/scalive,,test,,https://github.com/xitrum-framework/scalive,https://github.com/xitrum-framework/scalive,MIT,2014-01-28 08:11:24,2019-01-30 13:34:32,2019-01-30 13:34:25,125,,13.0,18,3.0,8.0,12.0,200,2019-01-30 13:24:43,1.7.0,8.0,Connect a Scala REPL to running JVM processes without any prior setup.,,,4.0,11,,,,False,3,,632.0,5.0
282,scala-forklift,lastland/scala-forklift,,db-clients,,https://github.com/lastland/scala-forklift,https://github.com/lastland/scala-forklift,,2015-08-18 16:26:21,2022-09-06 13:51:34,2020-04-24 19:30:57,274,,29.0,11,21.0,13.0,19.0,190,2016-08-10 07:04:47,0.2.3,3.0,"Type-safe data migration tool for Slick, Git and beyond.",,,10.0,11,,,,False,3,,,
