,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,trending,github_release_downloads,monthly_downloads
164,tensorflow_scala,eaplatanios/tensorflow_scala,,sci,,https://github.com/eaplatanios/tensorflow_scala,https://github.com/eaplatanios/tensorflow_scala,Apache-2.0,2017-04-01 18:00:29,2022-06-22 21:53:34,2022-06-22 21:50:29,2260,,99.0,70,51.0,29.0,120.0,930,2020-10-08 19:13:41,0.5.6,11.0,TensorFlow API for the Scala Programming Language.,,,12.0,16,,,,True,3,,,
165,rxscala,reactivex/rxscala,,reactive,,https://github.com/ReactiveX/RxScala,https://github.com/ReactiveX/RxScala,Apache-2.0,2014-08-19 03:45:33,2020-01-08 16:00:38,2019-12-29 15:39:19,857,,116.0,59,122.0,2.0,85.0,886,2019-12-29 15:41:19,0.27.0,15.0,RxScala Reactive Extensions for Scala a library for composing asynchronous and event-based programs using observable..,,,44.0,16,,,,False,2,,,
166,figaro,charles-river-analytics/figaro,,sci,,https://github.com/charles-river-analytics/figaro,https://github.com/charles-river-analytics/figaro,,2013-08-14 18:13:17,2022-06-01 16:25:49,2022-06-01 16:25:48,1478,,158.0,84,303.0,122.0,332.0,759,2017-08-24 18:00:35,5.0.0.0,16.0,Figaro Programming Language and Core Libraries.,,,29.0,16,,,,False,3,,1637.0,14.0
167,scalastyle,scalastyle/scalastyle,,development-cycle,,https://github.com/scalastyle/scalastyle,https://github.com/scalastyle/scalastyle,Apache-2.0,2011-10-20 19:26:37,2022-09-16 09:23:16,2019-03-04 20:14:47,629,,219.0,31,148.0,82.0,149.0,682,,,,scalastyle.,,,70.0,16,,,,False,3,,,
168,decline,bkirwi/decline,,others,"['scala3', 'scalajs']",https://github.com/bkirwi/decline,https://github.com/bkirwi/decline,Apache-2.0,2016-10-23 00:30:19,2023-10-12 22:50:52,2023-06-11 18:54:44,788,,64.0,8,426.0,27.0,59.0,610,2021-12-12 22:36:45,2.2.0,8.0,A composable command-line parser for Scala.,,,34.0,16,,,,True,2,,,
169,xitrum,xitrum-framework/xitrum,,web-frameworks,,https://github.com/xitrum-framework/xitrum,https://github.com/xitrum-framework/xitrum,MIT,2010-07-19 22:58:50,2023-02-28 06:06:49,2023-02-28 06:06:46,2082,,52.0,39,36.0,56.0,600.0,449,,,,Async and clustered Scala web framework and HTTP(S) server.,,,31.0,16,,,,True,3,,,
170,weaver-test,disneystreaming/weaver-test,,test,"['scala3', 'scalajs']",https://github.com/disneystreaming/weaver-test,https://github.com/disneystreaming/weaver-test,,2020-04-24 17:21:55,2023-10-24 16:49:29,2023-10-17 09:06:49,671,27.0,48.0,10,600.0,40.0,72.0,407,2023-04-14 16:20:16,0.8.3,36.0,A test framework that runs everything in parallel.,,,39.0,16,,,,False,3,,2308.0,57.0
171,xsbt-web-plugin,earldouglas/xsbt-web-plugin,,sbt,,https://github.com/earldouglas/xsbt-web-plugin,https://github.com/earldouglas/xsbt-web-plugin,BSD-3-Clause,2011-04-24 10:27:46,2023-10-21 23:57:29,2023-10-21 23:57:28,1028,32.0,98.0,19,579.0,12.0,247.0,384,,,,Servlet support for sbt.,,,33.0,16,,,,True,3,,,
172,sbt-git,sbt/sbt-git,,sbt,,https://github.com/sbt/sbt-git,https://github.com/sbt/sbt-git,BSD-2-Clause,2011-10-26 18:18:57,2023-10-19 06:44:59,2022-11-22 08:24:38,313,,96.0,16,128.0,27.0,81.0,343,2022-12-05 16:20:46,2.0.1,7.0,A git plugin for sbt.,,,50.0,16,,,,True,3,,,
173,diffson,gnieh/diffson,,json,"['scala3', 'scalajs']",https://github.com/gnieh/diffson,https://github.com/gnieh/diffson,Apache-2.0,2013-08-30 15:50:35,2023-10-24 19:27:52,2023-05-06 08:47:33,477,,52.0,12,336.0,10.0,43.0,295,2023-03-03 08:34:40,4.4.0,14.0,A scala diff/patch library for Json.,,,31.0,16,,,,True,3,,,
174,Dsl.scala,ThoughtWorksInc/Dsl.scala,,toolkits,"['scala3', 'scalajs']",https://github.com/ThoughtWorksInc/Dsl.scala,https://github.com/ThoughtWorksInc/Dsl.scala,Apache-2.0,2017-10-14 01:21:02,2023-10-25 07:12:22,2023-07-02 07:50:12,1821,,29.0,28,671.0,17.0,18.0,257,2023-01-26 02:47:03,2.0.0,17.0,A framework to create embedded Domain-Specific Languages in Scala.,,,5.0,16,,,,True,3,,,
175,each,ThoughtWorksInc/each,,toolkits,['scalajs'],https://github.com/ThoughtWorksInc/each,https://github.com/ThoughtWorksInc/each,Apache-2.0,2015-05-05 07:27:00,2023-10-25 07:13:39,2023-02-03 06:45:06,739,,27.0,29,139.0,10.0,28.0,254,2023-02-03 06:24:22,3.3.2,3.0,A macro library that converts native imperative syntax to scalazs monadic expressions.,,,15.0,16,,,,True,3,,,
176,pulsar4s,CleverCloud/pulsar4s,,db-clients,['scala3'],https://github.com/CleverCloud/pulsar4s,https://github.com/CleverCloud/pulsar4s,Apache-2.0,2018-01-04 06:29:12,2023-10-25 05:38:04,2023-01-08 02:27:21,711,,42.0,12,500.0,21.0,42.0,218,2023-01-08 02:29:27,2.9.0,5.0,"Idiomatic, typesafe, and reactive Scala client for Apache Pulsar.",,,23.0,16,,,,True,2,,,
177,youi,outr/youi,,web-frameworks,['scalajs'],https://github.com/outr/youi,https://github.com/outr/youi,MIT,2012-06-26 14:06:32,2023-10-22 00:34:51,2022-12-07 15:24:18,2690,,29.0,16,281.0,22.0,41.0,208,2019-01-30 18:17:20,0.9.0,12.0,"Next generation user interface and application development in Scala and Scala.js for web, mobile, and desktop.",,,11.0,16,,,,True,3,,,
178,sbt-doctest,tkawachi/sbt-doctest,,sbt,,https://github.com/tkawachi/sbt-doctest,https://github.com/tkawachi/sbt-doctest,MIT,2014-06-10 15:46:12,2023-10-25 22:05:00,2023-10-25 22:05:00,690,22.0,27.0,12,366.0,15.0,47.0,182,2015-12-17 13:37:24,0.3.5,1.0,Doctest for scala.,,,26.0,16,,,,True,3,,,
179,relate,lucidsoftware/relate,,db-clients,,https://github.com/lucidsoftware/relate,https://github.com/lucidsoftware/relate,Apache-2.0,2014-05-19 19:18:32,2023-10-03 07:07:05,2023-09-29 07:19:07,302,13.0,17.0,44,66.0,15.0,13.0,163,2023-09-28 15:20:32,3.2.0,15.0,Performant database access in Scala.,,,19.0,16,,,,True,2,,1587.0,15.0
180,cilib,ciren/cilib,,others,,https://github.com/ciren/cilib,https://github.com/ciren/cilib,Apache-2.0,2009-01-07 13:11:13,2022-08-05 05:12:53,2022-08-05 05:08:44,2338,,102.0,23,267.0,11.0,54.0,123,2018-03-21 12:08:40,2.0.1,5.0,"Typesafe, purely functional Computational Intelligence.",,,26.0,16,,,,True,2,,,
181,zio-redis,zio/zio-redis,,db-clients,"['zio', 'scala3']",https://github.com/zio/zio-redis,https://github.com/zio/zio-redis,Apache-2.0,2020-01-07 16:12:24,2023-10-25 14:31:57,2023-10-24 00:03:19,576,16.0,61.0,14,786.0,20.0,106.0,112,2023-03-28 12:22:41,0.2.0,2.0,A ZIO-based redis client.,,,40.0,16,,,,True,2,,,
182,zio-elasticsearch,lambdaworks/zio-elasticsearch,io.lambdaworks:zio-elasticsearch_3,db-clients,"['zio', 'scala3']",https://github.com/lambdaworks/zio-elasticsearch,https://github.com/lambdaworks/zio-elasticsearch,Apache-2.0,2022-08-07 09:04:07,2023-10-24 19:52:26,2023-10-24 19:49:00,321,51.0,17.0,13,299.0,11.0,34.0,56,2023-08-05 17:06:33,0.2.0,2.0,ZIO Elasticsearch is a type-safe and streaming-friendly ZIO native Elasticsearch client.,,,18.0,16,https://search.maven.org/artifact/io.lambdaworks/zio-elasticsearch_3,2023-08-05 17:06:33,,True,2,,,
183,scalaj-http,scalaj/scalaj-http,,http,,https://github.com/scalaj/scalaj-http,https://github.com/scalaj/scalaj-http,Apache-2.0,2010-08-23 20:05:19,2022-04-03 21:19:24,2022-04-03 21:19:24,300,,123.0,44,84.0,31.0,112.0,978,2016-04-02 20:58:24,2.3.0,1.0,Simple scala wrapper for HttpURLConnection. OAuth included.,,,29.0,15,,,,True,3,,,
184,simulacrum,typelevel/simulacrum,,toolkits,['scalajs'],https://github.com/typelevel/simulacrum,https://github.com/typelevel/simulacrum,BSD-3-Clause,2015-01-17 03:49:30,2023-01-21 08:35:21,2023-01-21 08:35:21,430,,62.0,34,161.0,28.0,45.0,938,2018-02-20 14:20:53,0.12.0,1.0,First class syntax support for type classes in Scala.,,,34.0,15,,,,True,3,,,
185,nscala-time,nscala-time/nscala-time,,toolkits,"['scala3', 'scalajs']",https://github.com/nscala-time/nscala-time,https://github.com/nscala-time/nscala-time,Apache-2.0,2012-12-06 09:39:55,2023-10-23 22:55:40,2023-10-23 22:55:39,648,8.0,86.0,27,250.0,6.0,49.0,873,,,,A new Scala wrapper for Joda Time based on scala-time.,,,25.0,15,,,,True,3,,,
186,vegas,vegas-viz/vegas,,bigdata,,https://github.com/vegas-viz/Vegas,https://github.com/vegas-viz/Vegas,MIT,2016-04-14 16:44:32,2022-01-30 23:39:05,2019-09-17 18:54:19,237,,104.0,45,77.0,54.0,54.0,731,2017-07-25 22:34:25,0.3.11,8.0,The missing MatPlotLib for Scala + Spark.,,,20.0,15,,,,False,3,,,
187,scalafx,scalafx/scalafx,,others,['scala3'],https://github.com/scalafx/scalafx,https://github.com/scalafx/scalafx,,2014-05-18 14:12:15,2023-09-29 22:31:31,2023-09-23 02:38:46,2034,8.0,67.0,34,58.0,27.0,298.0,644,2023-04-04 23:52:55,.20.0.0-R31,31.0,ScalaFX simplifies creation of JavaFX-based user interfaces in Scala.,,,56.0,15,,,,False,2,,264.0,2.0
188,play2-auth,t2v/play2-auth,,sec,,https://github.com/t2v/play2-auth,https://github.com/t2v/play2-auth,Apache-2.0,2012-04-23 16:27:14,2019-09-10 09:34:53,2017-10-18 15:44:31,261,,148.0,62,80.0,23.0,97.0,620,2015-08-27 05:10:50,release0.14.1,8.0,Play2.x Authentication and Authorization module.,,,22.0,15,,,,False,2,,,
189,testcontainers-scala,testcontainers/testcontainers-scala,,test,['scala3'],https://github.com/testcontainers/testcontainers-scala,https://github.com/testcontainers/testcontainers-scala,MIT,2017-01-16 08:12:30,2023-10-23 03:02:54,2023-10-23 03:02:50,665,9.0,114.0,20,160.0,31.0,72.0,597,2019-06-23 16:51:16,0.27.0,1.0,Docker containers for testing in scala.,,,76.0,15,,,,True,3,,,
190,scala-graph,scala-graph/scala-graph,,toolkits,['scalajs'],https://github.com/scala-graph/scala-graph,https://github.com/scala-graph/scala-graph,Apache-2.0,2013-01-29 16:21:11,2023-10-25 04:42:43,2023-06-17 17:48:48,681,,72.0,31,178.0,15.0,107.0,553,2022-05-28 07:23:56,1.13.5,1.0,Graph for Scala is intended to provide basic graph functionality seamlessly fitting into the Scala Collection Library...,,,18.0,15,,,,True,3,,,
191,cask,com-lihaoyi/cask,,web-frameworks,"['scala3', 'scalajs']",https://github.com/com-lihaoyi/cask,https://github.com/com-lihaoyi/cask,,2018-07-20 00:48:20,2023-10-26 14:44:14,2023-07-23 14:27:52,296,,46.0,12,49.0,9.0,34.0,470,2023-04-04 05:06:56,0.9.1,77.0,Cask: a Scala HTTP micro-framework.,,,14.0,15,,,,False,3,,22392.0,361.0
192,play-pac4j,pac4j/play-pac4j,,sec,,https://github.com/pac4j/play-pac4j,https://github.com/pac4j/play-pac4j,Apache-2.0,2012-11-10 08:19:26,2023-10-26 15:01:38,2023-10-19 11:42:32,929,10.0,102.0,25,412.0,1.0,,399,,,,"Security library for Play framework 2 in Java and Scala: OAuth, CAS, SAML, OpenID Connect, LDAP, JWT...",,,47.0,15,,,,True,2,,,
193,larray,xerial/larray,,toolkits,,https://github.com/xerial/larray,https://github.com/xerial/larray,Apache-2.0,2013-03-18 01:19:50,2022-11-30 18:43:55,2022-11-25 09:52:48,465,,41.0,27,26.0,22.0,33.0,398,2016-12-14 04:07:48,0.4.0,3.0,Large off-heap arrays and mmap files for Scala and Java.,,,11.0,15,,,,True,3,,,
194,atto,tpolecat/atto,,parsers,"['scala3', 'scalajs']",https://github.com/tpolecat/atto,https://github.com/tpolecat/atto,MIT,2013-09-04 20:34:40,2023-10-25 07:27:47,2022-07-07 03:03:10,588,,59.0,13,364.0,19.0,11.0,357,2021-05-14 18:36:22,0.9.5,2.0,friendly little parsers.,,,31.0,15,,,,True,3,,,
195,tsec,jmcardon/tsec,,sec,['scala3'],https://github.com/jmcardon/tsec,https://github.com/jmcardon/tsec,MIT,2017-08-04 20:25:11,2021-11-26 17:57:19,2021-08-24 04:44:55,841,,56.0,10,332.0,65.0,55.0,352,2019-04-23 03:46:29,0.1.0,11.0,Type-safe general-cryptography library - https://jmcardon.github.io/tsec/.,,,30.0,15,,,,False,2,,,
196,kantan.csv,nrinaudo/kantan.csv,,csv-yaml,['scalajs'],https://github.com/nrinaudo/kantan.csv,https://github.com/nrinaudo/kantan.csv,Apache-2.0,2015-07-22 06:51:22,2023-10-24 22:51:58,2022-09-06 14:24:02,1028,,35.0,9,191.0,45.0,134.0,346,2019-06-04 07:25:39,0.5.1,12.0,CSV handling library for Scala.,,,9.0,15,,,,True,2,,,
197,scala-guice,codingwell/scala-guice,,di,['scala3'],https://github.com/codingwell/scala-guice,https://github.com/codingwell/scala-guice,Apache-2.0,2012-03-17 06:02:25,2023-05-13 19:14:00,2023-05-13 19:14:00,278,,46.0,14,44.0,12.0,49.0,340,2023-03-12 18:12:58,5.1.1,8.0,Scala extensions for Google Guice.,,,26.0,15,,,,True,3,,,
198,scala-activerecord,aselab/scala-activerecord,,db-clients,,https://github.com/aselab/scala-activerecord,https://github.com/aselab/scala-activerecord,MIT,2012-04-10 04:26:31,2021-01-08 00:05:38,2021-01-08 00:05:30,513,,31.0,35,12.0,20.0,62.0,322,2020-10-07 00:17:01,0.6.1,8.0,ActiveRecord-like ORM library for Scala.,,,9.0,15,,,,False,3,,,
199,scaldi,scaldi/scaldi,,di,,https://github.com/scaldi/scaldi,https://github.com/scaldi/scaldi,Apache-2.0,2010-05-17 17:14:02,2023-10-25 05:04:27,2022-06-08 15:18:06,506,,24.0,8,203.0,23.0,49.0,288,2021-07-27 19:27:16,0.6.2,16.0,Lightweight Scala Dependency Injection Library.,,,13.0,15,,,,True,3,,,
200,sbt-dependency-check,albuch/sbt-dependency-check,,sbt,,https://github.com/albuch/sbt-dependency-check,https://github.com/albuch/sbt-dependency-check,Apache-2.0,2016-01-12 09:14:44,2023-10-24 13:14:17,2023-05-06 07:09:46,621,,35.0,10,230.0,4.0,79.0,258,2023-03-05 11:31:58,5.1.0,46.0,SBT Plugin for OWASP DependencyCheck. Monitor your dependencies and report if there are any publicly known..,,,18.0,15,,,,True,3,,,
