,name,github_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id,trending
254,scala.rx,lihaoyi/scala.rx,reactive,['scalajs'],https://github.com/lihaoyi/scala.rx,https://github.com/lihaoyi/scala.rx,,2012-09-26 15:18:46,2023-06-10 18:22:22,2022-02-14 22:51:54,323.0,,79.0,53.0,223.0,29.0,55.0,989.0,,,,,,An experimental library for Functional Reactive Programming in Scala.,21.0,12,False,3.0,,,,,,,,
255,sbt-revolver,spray/sbt-revolver,sbt,,https://github.com/spray/sbt-revolver,https://github.com/spray/sbt-revolver,Apache-2.0,2011-12-15 10:04:49,2024-10-18 06:08:21,2024-10-18 06:08:20,171.0,,55.0,20.0,34.0,27.0,65.0,864.0,,,,,,An SBT plugin for dangerously fast development turnaround in Scala.,17.0,12,True,3.0,,,,,,,,
256,better-monadic-for,oleg-py/better-monadic-for,sbt,,https://github.com/oleg-py/better-monadic-for,https://github.com/oleg-py/better-monadic-for,MIT,2018-03-29 19:47:54,2024-05-07 13:24:27,2021-05-25 08:10:05,80.0,,32.0,21.0,19.0,13.0,27.0,713.0,,,,,1.0,Desugaring scala `for` without implicit `withFilter`s.,10.0,12,False,3.0,,,,,,,,
257,akka-quartz-scheduler,enragedginger/akka-quartz-scheduler,others,['scala3'],https://github.com/enragedginger/akka-quartz-scheduler,https://github.com/enragedginger/akka-quartz-scheduler,,2013-04-13 02:48:41,2023-11-27 09:23:13,2022-07-24 14:56:33,191.0,,113.0,27.0,47.0,10.0,69.0,558.0,,,,,,Quartz Extension and utilities for cron-style scheduling in Akka.,41.0,12,False,3.0,,,,,,,,
258,accord,wix-incubator/accord,data,['scalajs'],https://github.com/wix-incubator/accord,https://github.com/wix-incubator/accord,,2013-11-13 15:55:53,2022-11-23 10:05:39,2022-11-23 10:05:39,644.0,,55.0,263.0,36.0,24.0,93.0,533.0,,,,,,Accord: A sane validation library for Scala.,12.0,12,False,3.0,,,,,,,,
259,casbah,mongodb/casbah,db-clients,,https://github.com/mongodb/casbah,https://github.com/mongodb/casbah,,2010-10-29 18:39:30,2022-01-20 16:56:00,2022-01-20 16:55:58,1108.0,,128.0,60.0,64.0,7.0,,513.0,,,,,,Casbah is now officially end-of-life (EOL).,36.0,12,False,3.0,,,,,,,,
260,salat,salat/salat,db-clients,,https://github.com/salat/salat,https://github.com/salat/salat,,2011-01-12 16:54:23,2019-03-03 13:32:54,2019-03-03 13:32:53,877.0,,106.0,54.0,82.0,35.0,98.0,488.0,,,,,,Salat is a simple serialization library for case classes.,43.0,12,False,3.0,,,,,,,,
261,scala-stm,nbronson/scala-stm,others,,https://github.com/nbronson/scala-stm,https://github.com/nbronson/scala-stm,BSD-3-Clause,2010-07-08 23:40:04,2023-04-14 17:30:52,2018-03-14 17:04:15,496.0,,41.0,17.0,20.0,9.0,43.0,252.0,,,,,,"A library-based Software Transactional Memory (STM) for Scala, coupled with transactional sets and maps.",11.0,12,False,3.0,,,,,,,,
262,borer,sirthias/borer,json,"['scala3', 'scalajs']",https://github.com/sirthias/borer,https://github.com/sirthias/borer,MPL-2.0,2019-03-04 21:32:46,2026-01-12 15:23:15,2026-01-12 15:23:15,1077.0,3.0,16.0,9.0,683.0,11.0,119.0,240.0,,,,,,Efficient CBOR and JSON (de)serialization in Scala.,11.0,12,True,3.0,,,,,,,,
263,scala-ssh,sirthias/scala-ssh,others,['scala3'],https://github.com/sirthias/scala-ssh,https://github.com/sirthias/scala-ssh,Apache-2.0,2011-10-28 14:07:59,2021-07-09 08:32:58,2021-07-09 08:32:58,157.0,,52.0,14.0,29.0,19.0,12.0,234.0,,,,,,Remote shell access via SSH for your Scala applications.,22.0,12,False,3.0,,,,,,,,
